"","deploy_num","halodule","zostera","ruppia","algae","oyster","saltmarsh","other","richness","shannonD","evenness","seagrass","richness_comb","shannonD_comb","evenness_comb","total_cover","avg_blade_length","avg_shoot_density","max10","depth_m_avg","sal_avg","total_abund_sum","comm_richness_sum","comm_shannonD_sum","comm_evenness_sum","carnivore","herbivore","omnivore","soniferous_S","carn_2","detritivore","herb_2","invertivore","omni_2","piscivore","planktivore","num_bai_chr","num_ort_chr","num_ops_tau","seagrass_area","seagrass_core.area","seagrass_perimeter","seagrass_perim.area.ratio","saltmarsh_area","saltmarsh_core.area","saltmarsh_perimeter","saltmarsh_perim.area.ratio","oyster_area","oyster_core.area","oyster_perimeter","oyster_perim.area.ratio","habitat_total","NNratio","dist2adjPatch","richness_landscape","avg_temp","avgTempAll","avgTempNight","medTemp","minTemp","maxTemp","avg_spl_low","avg_spl_high","TFPercentPresenceNight","TFAvgPresentNight","TFMaxRate","PerchPercentPresenceNight","PerchAvgPresentNight","PerchMaxRate"
"deploy_num",1,-0.218217890235992,NA,NA,-0.418146602990716,-0.0924555257086076,0.516257504078971,-0.218217890235992,NA,-0.234451207732125,-0.234451207732125,-0.218217890235992,NA,-0.234451207732125,-0.234451207732125,0.239846507501933,-0.218217890235992,NA,-0.218217890235992,-0.138920288788125,-0.554700196225229,0.422241627041583,-0.038662233651353,-0.320735857895191,NA,0.156512066217899,NA,0.416200155895503,-0.0924500327042049,NA,0.447906687501376,NA,0.156512066217899,-0.106886833864196,NA,-0.218217890235992,-0.654653670707977,NA,NA,0.0284166114706285,0.451322120340172,-0.152406860174916,0.0324419121023068,-0.079582335692498,-0.081158901775694,-0.22170833435011,-0.2919341844637,-0.163667248229091,-0.524735238969733,-0.0718411558710883,-0.000371049623885124,-0.0998142353451434,-0.455475996207814,-0.00694748834098615,0.333333333333333,0.712451428708966,0.636824352124978,0.70080707120177,0.686081651466529,0.708891990513898,0.0152891023942004,-0.0751188408927225,0.385817458576023,-0.43027878855852,-0.621330750287403,-0.560971128004861,-0.872922020455233,-0.599373124120426,-0.763051970719059
"halodule",-0.218217890235992,1,NA,NA,-0.327365369892132,-0.382438240442548,-0.0819363340217001,1,NA,-0.224972407318008,-0.224972407318008,1,NA,-0.224972407318008,-0.224972407318008,-0.472158743638972,1,NA,1,-0.384765941115593,0.544704779401922,0.141630087514186,0.531517836730181,0.748970183189539,NA,0.337040721288275,NA,0.066777253899648,0.544704779401922,NA,-0.0769301238179151,NA,0.337040721288275,0.967107829471919,NA,1,-0.142857142857143,NA,NA,0.0488936931717663,-0.149668204190172,0.0805366277705035,0.276725175467091,0.627723258528863,0.717563362709507,-0.269548206101946,-0.420492958309688,-0.470362687080279,-0.454529796907157,-0.460619424608694,0.652534519228565,0.429545122456134,-0.327272068626902,0.202264789433257,0.218217890235992,0.295232323546708,0.237322761470029,0.25393586282593,0.228774924172138,0.217025059565705,0.0537987351475403,-0.372866023033685,-0.542969266266281,-0.211990290786185,-0.24216704836443,-0.222122061356599,-0.146398136206818,-0.232043947232424,-0.228476634008785
"zostera",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruppia",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"algae",-0.418146602990716,-0.327365369892132,NA,NA,1,0.78213274026075,-0.333378295842478,-0.327365369892132,NA,-0.0373378083465315,-0.0373378083465315,-0.327365369892132,NA,-0.0373378083465315,-0.0373378083465315,0.694854754161277,-0.327365369892132,NA,-0.327365369892132,0.338368735461931,-0.254781480952173,-0.150302959378536,-0.0671744248262209,-0.120239442060522,NA,-0.223066957642872,NA,-0.105319472129998,-0.0439924512077675,NA,-0.0587712428214963,NA,-0.223066957642872,-0.333186899348786,NA,-0.327365369892132,0.0854116796763312,NA,NA,0.588124674036921,0.109549275570986,0.717461848708125,0.340491764905915,0.123322475763637,0.0808850605574662,0.199165152545075,-0.23426281424414,0.83634471412885,0.81553936424485,0.773978213331802,-0.369511791954328,0.384094805491957,-0.171579576693623,-0.109887040999693,0.0919049921753409,-0.40113907144477,-0.317913502771349,-0.258594606263669,-0.336771220282811,-0.0444331852433251,-0.32680026911321,0.751905896057548,0.557188683149215,0.762201542930262,0.790939104702604,0.809100503852734,0.631496853572263,0.923237619067965,0.835005461038171
"oyster",-0.0924555257086076,-0.382438240442548,NA,NA,0.78213274026075,1,-0.528988056471928,-0.382438240442548,NA,-0.12694700072713,-0.12694700072713,-0.382438240442548,NA,-0.12694700072713,-0.12694700072713,0.796064601228952,-0.382438240442548,NA,-0.382438240442548,0.613452364875819,-0.267517507120675,0.285262862981193,0.154722931207612,-0.189940787451843,NA,-0.156326408223651,NA,0.348254578423749,0.143247945468671,NA,0.402394602017127,NA,-0.15632640822365,-0.270116117608346,NA,-0.382438240442548,-0.170051995811223,NA,NA,0.733609973411768,0.267039948130102,0.8192689585177,0.294357072246436,0.289781311315842,0.201955047618238,0.4807324202427,-0.320755299926655,0.969192175907565,0.715825209436594,0.959391098138234,-0.238063633032936,0.576828283987058,-0.297833036442384,-0.147224250004603,0.0897583126319521,-0.114107909937078,-0.0578879952512025,0.00619164797035392,-0.0606136056339785,0.137015343882298,-0.188439521610432,0.750851653129643,0.672675096211685,0.752869830686553,0.696155113563142,0.73285663975419,0.362226111566469,0.704246823481334,0.591521097859623
"saltmarsh",0.516257504078971,-0.0819363340217001,NA,NA,-0.333378295842478,-0.528988056471928,1,-0.0819363340217001,NA,-0.415752241933221,-0.415752241933221,-0.0819363340217001,NA,-0.415752241933221,-0.415752241933221,0.090959202293536,-0.0819363340217001,NA,-0.0819363340217001,-0.227982013453043,-0.501233250844028,-0.163553261238403,-0.172192463281011,0.0688196829874267,NA,0.43107645039309,NA,-0.287059852686115,-0.181279457952942,NA,-0.273887890142904,NA,0.431076450393089,-0.160901555343024,NA,-0.0819363340217001,-0.177178568440089,NA,NA,-0.191869398949196,0.451713181933228,-0.413620639325811,-0.319498192350964,-0.364992985920347,-0.294500172294926,-0.698919752065678,-0.093961030767797,-0.449226463195688,-0.35428431805784,-0.453812568898412,-0.357514677357926,-0.438905441440316,-0.202142408793201,0.00624048163453712,0.132006166604528,0.260669260699544,0.163948976307979,0.218031476259506,0.192963876680784,0.362895106102245,-0.106705462075772,-0.237086147779528,0.00343327164633111,-0.358277300735424,-0.40491760721236,-0.391610954498735,-0.395703481486296,-0.345884117585877,-0.394115090382045
"other",-0.218217890235992,1,NA,NA,-0.327365369892132,-0.382438240442548,-0.0819363340217001,1,NA,-0.224972407318009,-0.224972407318009,1,NA,-0.224972407318009,-0.224972407318009,-0.472158743638972,1,NA,1,-0.384765941115594,0.544704779401922,0.141630087514186,0.531517836730181,0.748970183189539,NA,0.337040721288275,NA,0.066777253899648,0.544704779401922,NA,-0.0769301238179151,NA,0.337040721288276,0.967107829471919,NA,1,-0.142857142857143,NA,NA,0.0488936931717663,-0.149668204190172,0.0805366277705035,0.276725175467091,0.627723258528863,0.717563362709508,-0.269548206101946,-0.420492958309688,-0.470362687080279,-0.454529796907157,-0.460619424608694,0.652534519228565,0.429545122456134,-0.327272068626902,0.202264789433257,0.218217890235992,0.295232323546708,0.237322761470029,0.25393586282593,0.228774924172138,0.217025059565706,0.0537987351475403,-0.372866023033685,-0.542969266266281,-0.211990290786185,-0.24216704836443,-0.222122061356599,-0.146398136206818,-0.232043947232424,-0.228476634008785
"richness",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"shannonD",-0.234451207732125,-0.224972407318008,NA,NA,-0.0373378083465315,-0.12694700072713,-0.415752241933221,-0.224972407318009,NA,1,1,-0.224972407318008,NA,1,1,-0.461302632661283,-0.224972407318008,NA,-0.224972407318008,-0.140712791987765,0.278699612131508,-0.443284365398923,-0.68278045036492,-0.641144322868274,NA,-0.933580187051898,NA,-0.24005395432001,-0.59669974054402,NA,-0.208636281833637,NA,-0.933580187051898,-0.265867626924485,NA,-0.224972407318009,0.369960041619446,NA,NA,-0.697845987098958,-0.902704280653955,-0.486406587167318,-0.143376046436809,-0.0683927646157924,-0.125792428940844,0.490554748986931,0.371021772100449,-0.0433260369047343,-0.0466696276966422,0.0117421533698336,0.226585557064316,-0.174714154306684,0.412209878975664,0.473391205864221,-0.549981940301291,-0.342523081777329,-0.245885204826502,-0.290061745332694,-0.240726666182452,-0.394016640218583,-0.189813793013861,0.162696806936454,0.0920780988992898,-0.162328999518836,-0.0770660218470975,-0.145086379281739,0.0795039629737231,-0.110069313718675,-0.0462348352978683
"evenness",-0.234451207732125,-0.224972407318008,NA,NA,-0.0373378083465315,-0.12694700072713,-0.415752241933221,-0.224972407318009,NA,1,1,-0.224972407318008,NA,1,1,-0.461302632661283,-0.224972407318008,NA,-0.224972407318008,-0.140712791987765,0.278699612131508,-0.443284365398923,-0.68278045036492,-0.641144322868274,NA,-0.933580187051898,NA,-0.24005395432001,-0.59669974054402,NA,-0.208636281833637,NA,-0.933580187051898,-0.265867626924485,NA,-0.224972407318009,0.369960041619446,NA,NA,-0.697845987098958,-0.902704280653955,-0.486406587167318,-0.143376046436809,-0.0683927646157924,-0.125792428940844,0.490554748986931,0.371021772100449,-0.0433260369047343,-0.0466696276966422,0.0117421533698336,0.226585557064316,-0.174714154306684,0.412209878975664,0.473391205864221,-0.549981940301291,-0.342523081777329,-0.245885204826502,-0.290061745332694,-0.240726666182452,-0.394016640218583,-0.189813793013861,0.162696806936454,0.0920780988992898,-0.162328999518836,-0.0770660218470975,-0.145086379281739,0.0795039629737231,-0.110069313718675,-0.0462348352978683
"seagrass",-0.218217890235992,1,NA,NA,-0.327365369892132,-0.382438240442548,-0.0819363340217001,1,NA,-0.224972407318008,-0.224972407318008,1,NA,-0.224972407318008,-0.224972407318008,-0.472158743638972,1,NA,1,-0.384765941115593,0.544704779401922,0.141630087514186,0.531517836730181,0.748970183189539,NA,0.337040721288275,NA,0.066777253899648,0.544704779401922,NA,-0.0769301238179151,NA,0.337040721288275,0.967107829471919,NA,1,-0.142857142857143,NA,NA,0.0488936931717663,-0.149668204190172,0.0805366277705035,0.276725175467091,0.627723258528863,0.717563362709507,-0.269548206101946,-0.420492958309688,-0.470362687080279,-0.454529796907157,-0.460619424608694,0.652534519228565,0.429545122456134,-0.327272068626902,0.202264789433257,0.218217890235992,0.295232323546708,0.237322761470029,0.25393586282593,0.228774924172138,0.217025059565705,0.0537987351475403,-0.372866023033685,-0.542969266266281,-0.211990290786185,-0.24216704836443,-0.222122061356599,-0.146398136206818,-0.232043947232424,-0.228476634008785
"richness_comb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"shannonD_comb",-0.234451207732125,-0.224972407318008,NA,NA,-0.0373378083465315,-0.12694700072713,-0.415752241933221,-0.224972407318009,NA,1,1,-0.224972407318008,NA,1,1,-0.461302632661283,-0.224972407318008,NA,-0.224972407318008,-0.140712791987765,0.278699612131508,-0.443284365398923,-0.68278045036492,-0.641144322868274,NA,-0.933580187051898,NA,-0.24005395432001,-0.59669974054402,NA,-0.208636281833637,NA,-0.933580187051898,-0.265867626924485,NA,-0.224972407318009,0.369960041619446,NA,NA,-0.697845987098958,-0.902704280653955,-0.486406587167318,-0.143376046436809,-0.0683927646157924,-0.125792428940844,0.490554748986931,0.371021772100449,-0.0433260369047343,-0.0466696276966422,0.0117421533698336,0.226585557064316,-0.174714154306684,0.412209878975664,0.473391205864221,-0.549981940301291,-0.342523081777329,-0.245885204826502,-0.290061745332694,-0.240726666182452,-0.394016640218583,-0.189813793013861,0.162696806936454,0.0920780988992898,-0.162328999518836,-0.0770660218470975,-0.145086379281739,0.0795039629737231,-0.110069313718675,-0.0462348352978683
"evenness_comb",-0.234451207732125,-0.224972407318008,NA,NA,-0.0373378083465315,-0.12694700072713,-0.415752241933221,-0.224972407318009,NA,1,1,-0.224972407318008,NA,1,1,-0.461302632661283,-0.224972407318008,NA,-0.224972407318008,-0.140712791987765,0.278699612131508,-0.443284365398923,-0.68278045036492,-0.641144322868274,NA,-0.933580187051898,NA,-0.24005395432001,-0.59669974054402,NA,-0.208636281833637,NA,-0.933580187051898,-0.265867626924485,NA,-0.224972407318009,0.369960041619446,NA,NA,-0.697845987098958,-0.902704280653955,-0.486406587167318,-0.143376046436809,-0.0683927646157924,-0.125792428940844,0.490554748986931,0.371021772100449,-0.0433260369047343,-0.0466696276966422,0.0117421533698336,0.226585557064316,-0.174714154306684,0.412209878975664,0.473391205864221,-0.549981940301291,-0.342523081777329,-0.245885204826502,-0.290061745332694,-0.240726666182452,-0.394016640218583,-0.189813793013861,0.162696806936454,0.0920780988992898,-0.162328999518836,-0.0770660218470975,-0.145086379281739,0.0795039629737231,-0.110069313718675,-0.0462348352978683
"total_cover",0.239846507501933,-0.472158743638972,NA,NA,0.694854754161277,0.796064601228952,0.090959202293536,-0.472158743638972,NA,-0.461302632661283,-0.461302632661283,-0.472158743638972,NA,-0.461302632661283,-0.461302632661283,1,-0.472158743638972,NA,-0.472158743638972,0.545815370793298,-0.660229601053439,0.214802932584408,0.0775608227979103,-0.141794736445463,NA,0.136928979113962,NA,0.197061977995603,0.0591108922343376,NA,0.26495237523521,NA,0.136928979113963,-0.400134565007022,NA,-0.472158743638972,-0.330019798427993,NA,NA,0.742006614211531,0.636309910661907,0.687728773370548,0.137925031874793,0.107277636865116,0.0584155720466102,0.0494827631963527,-0.470883958993594,0.816019405071258,0.589225523436624,0.799258755845217,-0.521230110740824,0.389620113860868,-0.515792382499983,-0.162180018157479,0.21408002589791,0.0537092692536714,0.0497741275021665,0.166821842957277,0.0664902093300308,0.431146297280122,-0.307520377570929,0.716302967305323,0.783943790260237,0.638645136639608,0.538421369664262,0.592516520701732,0.1537541705986,0.596325708501086,0.426573095681585
"avg_blade_length",-0.218217890235992,1,NA,NA,-0.327365369892132,-0.382438240442548,-0.0819363340217001,1,NA,-0.224972407318008,-0.224972407318008,1,NA,-0.224972407318008,-0.224972407318008,-0.472158743638972,1,NA,1,-0.384765941115593,0.544704779401922,0.141630087514186,0.531517836730181,0.748970183189538,NA,0.337040721288275,NA,0.066777253899648,0.544704779401922,NA,-0.0769301238179151,NA,0.337040721288276,0.967107829471919,NA,1,-0.142857142857143,NA,NA,0.0488936931717663,-0.149668204190172,0.0805366277705035,0.276725175467091,0.627723258528863,0.717563362709507,-0.269548206101946,-0.420492958309688,-0.470362687080279,-0.454529796907157,-0.460619424608694,0.652534519228565,0.429545122456134,-0.327272068626902,0.202264789433257,0.218217890235992,0.295232323546708,0.237322761470029,0.25393586282593,0.228774924172138,0.217025059565706,0.0537987351475403,-0.372866023033685,-0.542969266266281,-0.211990290786185,-0.24216704836443,-0.222122061356599,-0.146398136206818,-0.232043947232424,-0.228476634008785
"avg_shoot_density",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"max10",-0.218217890235992,1,NA,NA,-0.327365369892132,-0.382438240442548,-0.0819363340217001,1,NA,-0.224972407318008,-0.224972407318008,1,NA,-0.224972407318008,-0.224972407318008,-0.472158743638972,1,NA,1,-0.384765941115594,0.544704779401922,0.141630087514186,0.531517836730181,0.748970183189538,NA,0.337040721288275,NA,0.066777253899648,0.544704779401922,NA,-0.0769301238179151,NA,0.337040721288276,0.967107829471919,NA,1,-0.142857142857143,NA,NA,0.0488936931717663,-0.149668204190172,0.0805366277705035,0.276725175467091,0.627723258528863,0.717563362709507,-0.269548206101946,-0.420492958309688,-0.470362687080279,-0.454529796907157,-0.460619424608694,0.652534519228565,0.429545122456134,-0.327272068626902,0.202264789433257,0.218217890235992,0.295232323546708,0.237322761470029,0.25393586282593,0.228774924172138,0.217025059565706,0.0537987351475403,-0.372866023033685,-0.542969266266281,-0.211990290786185,-0.24216704836443,-0.222122061356599,-0.146398136206818,-0.232043947232424,-0.228476634008785
"depth_m_avg",-0.138920288788125,-0.384765941115593,NA,NA,0.338368735461931,0.613452364875819,-0.227982013453043,-0.384765941115594,NA,-0.140712791987765,-0.140712791987765,-0.384765941115593,NA,-0.140712791987765,-0.140712791987765,0.545815370793298,-0.384765941115593,NA,-0.384765941115594,1,-0.0266743078097672,-0.0767672918725958,-0.0656910782755653,-0.131149981268589,NA,-0.0244887926037509,NA,-0.0766840905763441,-0.0740952994715756,NA,-0.0214314617981428,NA,-0.0244887926037506,-0.384438786502898,NA,-0.384765941115593,0.00699574438391987,NA,NA,0.278362445320925,0.158355000420615,0.296211411370553,-0.414977223902702,0.202007587428641,0.0940408855137034,0.603379502501931,-0.0527695888700345,0.685677303157301,0.557206365560797,0.704684963297013,-0.286515559515422,0.36856831738175,-0.0665947046013424,0.189139532481182,-0.438133218485626,-0.163070127799054,-0.137792039543342,-0.113467478669696,-0.137775958127408,-0.0512672587276326,-0.0771367456318607,0.514979073324266,0.401196541299865,0.777212014945415,0.741305922390937,0.730233712797444,0.397887396689228,0.524972100136698,0.505299266047454
"sal_avg",-0.554700196225229,0.544704779401922,NA,NA,-0.254781480952173,-0.267517507120675,-0.501233250844028,0.544704779401922,NA,0.278699612131508,0.278699612131508,0.544704779401922,NA,0.278699612131508,0.278699612131508,-0.660229601053439,0.544704779401922,NA,0.544704779401922,-0.0266743078097672,1,-0.328601638172396,0.0321689228893667,0.215928526792121,NA,-0.09312188861408,NA,-0.331240563980023,-0.0256410256410256,NA,-0.409814793265694,NA,-0.0931218886140804,0.43790531941371,NA,0.544704779401922,0.0605227532668802,NA,NA,-0.282618304343418,-0.598305538938166,-0.126581467909153,0.143633007731589,0.329956857071982,0.312096440635025,0.462093215574682,0.280193024317328,-0.322110406552244,-0.288229199617234,-0.278600311091249,0.744806772573404,0.161401917211792,0.318230472320886,0.281575746003321,-0.0924500327042049,0.0489275060152353,0.13512966128559,-0.011862622298267,0.0803073120780532,-0.360261226246859,0.528464093367263,-0.43897716168116,-0.620029773300361,0.0898116524495851,0.102596315622703,0.0941040710023138,0.138090476493547,0.0010822155260001,0.0606501853074541
"total_abund_sum",0.422241627041583,0.141630087514186,NA,NA,-0.150302959378536,0.285262862981193,-0.163553261238403,0.141630087514186,NA,-0.443284365398923,-0.443284365398923,0.141630087514186,NA,-0.443284365398923,-0.443284365398923,0.214802932584408,0.141630087514186,NA,0.141630087514186,-0.0767672918725958,-0.328601638172396,1,0.783683265032379,0.333418622368383,NA,0.421461960001757,NA,0.972691982678104,0.774254076316389,NA,0.95190788119364,NA,0.421461960001758,0.379954349001139,NA,0.141630087514186,-0.219024911247896,NA,NA,0.541217533318303,0.555570638148995,0.414494679380664,0.231807721696477,0.126654463911421,0.157802811421334,-0.225572085893288,-0.309546309883871,0.113018979486935,-0.0182775312065927,0.0855221281181988,-0.0430101149899933,0.215533014417361,-0.281749680265351,-0.547548743508924,0.377001345074535,0.264874305736583,0.158026205444278,0.224206343419892,0.187157905442813,0.288184663606371,0.00523188256314128,-0.0720433959760361,0.0229110784191933,-0.268761421564616,-0.31243656992549,-0.277516025985167,-0.294649629490587,-0.314085878525452,-0.300614345879105
"comm_richness_sum",-0.038662233651353,0.531517836730181,NA,NA,-0.0671744248262209,0.154722931207612,-0.172192463281011,0.531517836730181,NA,-0.68278045036492,-0.68278045036492,0.531517836730181,NA,-0.68278045036492,-0.68278045036492,0.0775608227979103,0.531517836730181,NA,0.531517836730181,-0.0656910782755653,0.0321689228893667,0.783683265032379,1,0.815355156393389,NA,0.723051890054217,NA,0.661758948581002,0.975790660977457,NA,0.585318760502716,NA,0.723051890054218,0.670151113998813,NA,0.531517836730181,-0.0759311195328831,NA,NA,0.641633611726235,0.546899015401536,0.536066054723391,0.272897930738512,0.266709599910692,0.336777511963378,-0.344593135966644,-0.308038381025636,-0.00537856920639517,0.0605911339893484,-0.0813250994908678,0.0568849605718577,0.32207702536497,-0.221800029909089,-0.565022687665189,0.425284570164883,0.132263373594981,0.0308495817702112,0.0622889867539529,0.0263048632574962,0.109548781236899,0.143861602895829,-0.249732122083023,-0.36385744469644,-0.0599629207738106,-0.0540931023925308,-0.0215134903965983,0.0391534306826667,-0.0540811195198276,0.00765461334125124
"comm_shannonD_sum",-0.320735857895191,0.748970183189539,NA,NA,-0.120239442060522,-0.189940787451843,0.0688196829874267,0.748970183189539,NA,-0.641144322868274,-0.641144322868274,0.748970183189539,NA,-0.641144322868274,-0.641144322868274,-0.141794736445463,0.748970183189538,NA,0.748970183189538,-0.131149981268589,0.215928526792121,0.333418622368383,0.815355156393389,1,NA,0.740311228822449,NA,0.170802837018288,0.831640104643939,NA,0.0636121478471498,NA,0.74031122882245,0.750658962476438,NA,0.748970183189538,0.136341466271964,NA,NA,0.363199796544858,0.338728791300782,0.278305973146593,0.0471235472234652,0.291151466663037,0.396667899741297,-0.514146369782597,-0.281461147957356,-0.25151991052032,0.00356936476095349,-0.343505357058859,0.06337503237973,0.244005312051492,-0.160938915502376,-0.286293042591976,0.206105647290709,-0.0361607980638894,-0.142421790267098,-0.110321552256842,-0.153812735178596,-0.0089706144480354,0.0232345315132255,-0.329517719893717,-0.581863869697896,-0.0407550479664333,0.0200520679112243,0.0227447132359259,0.220419504635899,0.0125063037654808,0.115813769371322
"comm_evenness_sum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"carnivore",0.156512066217899,0.337040721288275,NA,NA,-0.223066957642872,-0.156326408223651,0.43107645039309,0.337040721288275,NA,-0.933580187051898,-0.933580187051898,0.337040721288275,NA,-0.933580187051898,-0.933580187051898,0.136928979113962,0.337040721288275,NA,0.337040721288275,-0.0244887926037509,-0.09312188861408,0.421461960001757,0.723051890054217,0.740311228822449,NA,1,NA,0.199473895429077,0.632054942172176,NA,0.152075172972422,NA,1,0.361268437652417,NA,0.337040721288275,-0.209375054350234,NA,NA,0.478363785591219,0.792415470657316,0.249918691718111,0.0485058718236947,-0.0825582197684593,-0.00380083433205717,-0.565313525766828,-0.125415170302145,-0.251866537733674,-0.114600814288857,-0.32023160846507,-0.146291809135793,-0.053174413425474,-0.15604004418189,-0.552885915379198,0.49898333032308,0.285763563297009,0.180425076735831,0.172429981979285,0.166435873928255,0.179422290540948,0.361535455011106,-0.479858927998541,-0.425533700703568,-0.0731880903753369,-0.106476605899425,-0.0594164750745242,-0.0970775648982782,-0.100953821791359,-0.078561117405729
"herbivore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
