,deploy_num,halodule,saltmarsh,total_cover,depth_m_avg,total_abund_sum,carnivore,num_bai_chr,seagrass_perimeter,saltmarsh_perimeter,oyster_core.area,oyster_perim.area.ratio,habitat_total,dist2adjPatch,richness_landscape,TFAvgPresentNight,PerchAvgPresentNight
deploy_num,1,-0.21821789,0.516257504,0.239846508,-0.138920289,0.422241627,0.156512066,-0.654653671,-0.15240686,-0.221708334,-0.524735239,-0.00037105,-0.099814235,-0.006947488,0.333333333,-0.62133075,-0.599373124
halodule,-0.21821789,1,-0.081936334,-0.472158744,-0.384765941,0.141630088,0.337040721,-0.142857143,0.080536628,-0.269548206,-0.454529797,0.652534519,0.429545122,0.202264789,0.21821789,-0.242167048,-0.232043947
saltmarsh,0.516257504,-0.081936334,1,0.090959202,-0.227982013,-0.163553261,0.43107645,-0.177178568,-0.413620639,-0.698919752,-0.354284318,-0.357514677,-0.438905441,0.006240482,0.132006167,-0.404917607,-0.345884118
total_cover,0.239846508,-0.472158744,0.090959202,1,0.545815371,0.214802933,0.136928979,-0.330019798,0.687728773,0.049482763,0.589225523,-0.521230111,0.389620114,-0.162180018,0.214080026,0.53842137,0.596325709
depth_m_avg,-0.138920289,-0.384765941,-0.227982013,0.545815371,1,-0.076767292,-0.024488793,0.006995744,0.296211411,0.603379503,0.557206366,-0.28651556,0.368568317,0.189139532,-0.438133218,0.741305922,0.5249721
total_abund_sum,0.422241627,0.141630088,-0.163553261,0.214802933,-0.076767292,1,0.42146196,-0.219024911,0.414494679,-0.225572086,-0.018277531,-0.043010115,0.215533014,-0.547548744,0.377001345,-0.31243657,-0.314085879
carnivore,0.156512066,0.337040721,0.43107645,0.136928979,-0.024488793,0.42146196,1,-0.209375054,0.249918692,-0.565313526,-0.114600814,-0.146291809,-0.053174413,-0.552885915,0.49898333,-0.106476606,-0.100953822
num_bai_chr,-0.654653671,-0.142857143,-0.177178568,-0.330019798,0.006995744,-0.219024911,-0.209375054,1,-0.327424166,-0.097680288,0.495569008,-0.478805212,-0.424246992,-0.169498436,-0.654653671,0.205596513,0.137805987
seagrass_perimeter,-0.15240686,0.080536628,-0.413620639,0.687728773,0.296211411,0.414494679,0.249918692,-0.327424166,1,0.125023619,0.518331264,-0.032324922,0.678188093,-0.321264818,0.500148674,0.561637742,0.662053113
saltmarsh_perimeter,-0.221708334,-0.269548206,-0.698919752,0.049482763,0.603379503,-0.225572086,-0.565313526,-0.097680288,0.125023619,1,0.192833911,0.342132417,0.34421286,0.385565806,-0.335652239,0.477424096,0.317124451
oyster_core.area,-0.524735239,-0.454529797,-0.354284318,0.589225523,0.557206366,-0.018277531,-0.114600814,0.495569008,0.518331264,0.192833911,1,-0.666981327,0.158279646,-0.28061342,-0.284226836,0.820456317,0.81454657
oyster_perim.area.ratio,-0.00037105,0.652534519,-0.357514677,-0.521230111,-0.28651556,-0.043010115,-0.146291809,-0.478805212,-0.032324922,0.342132417,-0.666981327,1,0.397504051,0.431090673,0.252637158,-0.286213269,-0.298660621
habitat_total,-0.099814235,0.429545122,-0.438905441,0.389620114,0.368568317,0.215533014,-0.053174413,-0.424246992,0.678188093,0.34421286,0.158279646,0.397504051,1,0.401732279,0.092206402,0.421303933,0.394317823
dist2adjPatch,-0.006947488,0.202264789,0.006240482,-0.162180018,0.189139532,-0.547548744,-0.552885915,-0.169498436,-0.321264818,0.385565806,-0.28061342,0.431090673,0.401732279,1,-0.491165857,0.065459172,-0.035687004
richness_landscape,0.333333333,0.21821789,0.132006167,0.214080026,-0.438133218,0.377001345,0.49898333,-0.654653671,0.500148674,-0.335652239,-0.284226836,0.252637158,0.092206402,-0.491165857,1,-0.244066219,-0.020060941
TFAvgPresentNight,-0.62133075,-0.242167048,-0.404917607,0.53842137,0.741305922,-0.31243657,-0.106476606,0.205596513,0.561637742,0.477424096,0.820456317,-0.286213269,0.421303933,0.065459172,-0.244066219,1,0.946422105
PerchAvgPresentNight,-0.599373124,-0.232043947,-0.345884118,0.596325709,0.5249721,-0.314085879,-0.100953822,0.137805987,0.662053113,0.317124451,0.81454657,-0.298660621,0.394317823,-0.035687004,-0.020060941,0.946422105,1
