,deploy_num,halodule,zostera,ruppia,algae,oyster,other,richness,shannonD,evenness,seagrass,richness_comb,shannonD_comb,total_cover,avg_blade_length,avg_shoot_density,max10,depth_m_avg,sal_avg,total_abund_sum,comm_richness_sum,comm_shannonD_sum,comm_evenness_sum,carnivore,herbivore,omnivore,soniferous_S,carn_2,detritivore,herb_2,invertivore,omni_2,piscivore,planktivore,num_bai_chr,num_ort_chr,num_ops_tau,seagrass_area,seagrass_core.area,seagrass_perimeter,seagrass_perim.area.ratio,saltmarsh_area,saltmarsh_core.area,saltmarsh_perimeter,saltmarsh_perim.area.ratio,oyster_area,oyster_core.area,oyster_perimeter,oyster_perim.area.ratio,habitat_total,NNratio,dist2adjPatch,richness_landscape,avg_temp,avgTempAll,avgTempNight,medTemp,minTemp,maxTemp,avg_spl_low,avg_spl_high,TFPercentPresenceNight,TFAvgPresentNight,TFMaxRate,PerchPercentPresenceNight,PerchAvgPresentNight,PerchMaxRate
deploy_num,1,-0.232082128,0.175916591,0.016312978,-0.013739214,-0.264820449,-0.441367415,-0.049487166,-0.018191306,-0.029757794,-0.141969794,-0.264820449,-0.264820449,-0.145315589,0.875486576,-0.34139352,0.764233476,0.521841985,-0.613410014,-0.256583659,0.518359522,0.902850789,0.833093265,-0.280345461,-0.264820449,0.328452558,0.819682342,0.265299984,0.083529967,-0.013419287,-0.316817401,0.434245383,0.065500099,0.085161843,0.004468311,-0.006695647,-0.264820449,-0.040308086,-0.023582942,-0.048743673,0.082608082,0.098779383,0.054034953,0.32108247,0.196523472,0.086962177,0.107621629,0.156346713,0.109986846,0.036295516,0.236498774,-0.047278983,0.382518426,0.592757611,0.703780979,0.708761717,0.716279455,0.554070299,0.634172897,-0.025972128,0.795635643,-0.570299739,-0.78176339,-0.639199333,-0.700881128,-0.634195837,-0.714211593
halodule,-0.232082128,1,-0.140125219,0.04637459,-0.190927547,0.305938831,0.009427847,0.397215402,0.152357433,0.07455916,0.859779013,0.305938831,0.305938831,0.848710953,0.062006332,0.68444865,0.341805005,-0.409484878,0.140839153,0.448347355,0.274257833,-0.034983527,-0.178372458,0.461893181,-0.202543317,-0.094854288,-0.112616156,0.281093393,0.357691953,0.366029712,0.420565996,0.349783876,-0.200117966,0.152466777,0.54616052,0.448039052,-0.202543317,0.337329399,0.419778764,0.263791407,-0.41076105,-0.145719175,-0.110893696,-0.29013046,-0.094154664,-0.03918608,0.042830251,-0.226701821,-0.518386961,0.176191412,-0.203162717,0.536377335,-0.420109028,0.298514301,0.232126921,0.214038992,0.246387002,0.029977771,0.217864409,-0.386694577,-0.060137073,0.146578667,0.33282306,0.29118487,-0.290970267,-0.087073682,-0.161175643
zostera,0.175916591,-0.140125219,1,0.139274321,0.235890089,-0.019582135,-0.198697051,0.201211756,0.41850968,0.408232992,0.259708448,-0.019582135,-0.019582135,0.280699927,-0.070271677,-0.273379045,-0.100176378,0.203028072,-0.121119623,0.0128539,-0.214253797,0.186272029,0.320958994,0.023390427,0.18089511,-0.175952154,-0.026663787,-0.405929352,0.361425253,0.227050786,-0.020865008,-0.520355896,0.60662652,-0.376903913,0.223310581,0.279609314,0.18089511,0.376960198,0.163483147,0.571715328,0.451541305,0.230433794,0.219736857,0.234442194,-0.331407671,0.042790314,-0.087689342,0.182773625,0.055115807,0.427392177,0.103229853,0.288958135,-0.169666193,0.116715764,0.18424465,0.158920441,0.119752119,0.570775522,-0.017768359,0.477098871,0.368116525,0.151797278,0.054616059,0.178007672,-0.242228147,-0.162565545,-0.189125564
ruppia,0.016312978,0.04637459,0.139274321,1,-0.051014958,-0.14334227,-0.14334227,0.562515686,0.767909709,0.616417551,0.429034154,-0.14334227,-0.14334227,0.4256965,-0.05532936,0.037895247,0.054694195,0.127222228,0.227394121,0.020256304,-0.072490006,0.253318829,0.311596714,0.033860942,-0.14334227,-0.22227315,0.287110347,-0.186002322,0.717358468,-0.08374021,-0.091017613,-0.23916356,0.135867982,-0.130466044,0.378600142,0.704877627,-0.14334227,0.64714729,0.66183288,0.538231282,-0.030363197,0.422655925,0.495474614,-0.100986121,-0.272504927,-0.105712868,0.091220491,-0.214932434,-0.452711848,0.721804985,0.341404558,0.017296366,-0.041458161,0.030454405,0.29105251,0.281883922,0.287102596,0.307943372,0.188041633,-0.427593885,0.085927572,-0.250016664,-0.05799377,-0.197528358,-0.262194498,-0.293606145,-0.288220522
algae,-0.013739214,-0.190927547,0.235890089,-0.051014958,1,0.706383077,0.033740948,0.061628172,-0.158876252,-0.216032802,-0.108015094,0.706383077,0.706383077,-0.01966152,-0.091669652,0.03891312,-0.192063897,0.021334933,-0.160042734,-0.002051615,-0.257647007,-0.184823365,-0.102579005,0.006412422,-0.10339968,-0.142448012,-0.128899752,-0.361716675,-0.245510074,-0.368116595,0.067380727,-0.281930286,0.409720617,-0.286566381,-0.238813541,-0.298085132,-0.10339968,-0.309867963,-0.316777642,-0.261910106,0.099062205,0.816479019,0.78512196,0.817118961,-0.04602455,0.66576866,0.317808231,0.810706663,0.304484548,0.310196456,-0.295173209,-0.351037004,0.059862973,0.011714797,-0.119620978,-0.145176623,-0.147322116,-0.061058993,-0.008027355,0.017511062,0.265034445,0.377497777,0.358895476,0.376237162,-0.212224499,-0.023165563,-0.068700811
oyster,-0.264820449,0.305938831,-0.019582135,-0.14334227,0.706383077,1,-0.090909091,0.356753034,-0.024666076,-0.096785108,0.217212377,1,1,0.283360349,-0.053504048,0.534105422,0.004932331,0.071801424,-0.019766107,0.391306506,-0.061259908,-0.405501631,-0.437236319,0.409920791,-0.090909091,-0.19832707,-0.220779221,-0.012388717,-0.157188103,-0.144497195,0.473503789,-0.205886748,0.314771166,-0.128298272,-0.112102411,-0.128365162,-0.090909091,-0.201754421,-0.121463184,-0.254270217,-0.272719691,0.638160134,0.609360884,0.677990344,-0.026947824,0.849244619,0.644234168,0.784306487,0.056420238,0.323289037,-0.120744886,-0.252559045,-0.090909091,0.116644272,-0.128893988,-0.158666133,-0.159472222,-0.186387636,0.029528801,-0.160497826,0.132517968,0.69601795,0.702419702,0.737015754,-0.144758919,-0.013249712,-0.081213875
other,-0.441367415,0.009427847,-0.198697051,-0.14334227,0.033740948,-0.090909091,1,-0.254823596,-0.155956484,-0.098006247,-0.107428948,-0.090909091,-0.090909091,-0.104962014,-0.412761426,0.411799675,-0.404906569,-0.424281141,0.198451715,-0.211308381,-0.376310861,-0.544701602,-0.528983921,-0.203343122,-0.090909091,-0.195658381,-0.532467532,-0.147572026,-0.356278706,-0.144497195,-0.15875533,-0.205886748,-0.248739113,-0.125276712,-0.17509229,-0.321167013,-0.090909091,-0.058581506,-0.071520856,-0.054818016,-0.004626281,-0.212853192,-0.207919425,-0.194231474,0.518115662,-0.166894185,-0.161473306,-0.157404634,0.326833817,-0.188382807,-0.092598068,-0.134969168,0.272727273,-0.636337477,-0.625475517,-0.607519459,-0.579046197,-0.590969671,-0.585365046,0.231700706,-0.542451122,-0.156606238,0.111046429,-0.063422721,0.254593149,0.708768429,0.730117923
richness,-0.049487166,0.397215402,0.201211756,0.562515686,0.061628172,0.356753034,-0.254823596,1,0.600117532,0.366626515,0.613517876,0.356753034,0.356753034,0.623049172,0.172517054,0.372565519,0.241109417,0.259813097,0.322238826,0.562125512,0.06377992,0.051039484,0.034364483,0.561559542,-0.254823596,0.177368433,0.080087416,0.296815532,0.739994283,0.503657236,0.469950359,-0.200528367,0.328975758,0.29419679,0.689135224,0.750224149,-0.254823596,0.762639039,0.803639026,0.60421467,-0.213631522,0.402506156,0.428671328,0.162083788,-0.067161891,0.386390193,0.487657205,0.237436487,-0.297677751,0.874434439,0.265896784,0.075720942,-0.050964719,0.336237563,0.413634489,0.382946667,0.402070079,0.299208385,0.4274878,-0.427643502,0.159151563,0.125862805,0.380111731,0.300382948,-0.446578468,-0.275133476,-0.400200448
shannonD,-0.018191306,0.152357433,0.41850968,0.767909709,-0.158876252,-0.024666076,-0.155956484,0.600117532,1,0.945279791,0.538542465,-0.024666076,-0.024666076,0.527077473,-0.034518305,0.247533537,0.123628488,0.408613007,0.063663458,0.230950773,0.091198151,0.107740564,0.092727047,0.260560584,0.197801015,-0.434035673,0.286468478,-0.191742375,0.697168464,0.027706724,0.157742666,-0.422295471,0.513609609,-0.333232362,0.277641862,0.701739841,0.197801015,0.689451295,0.676044516,0.598262973,-0.07498695,0.228114195,0.275531986,-0.104526288,-0.312400577,0.069659836,0.330974159,-0.110639099,-0.333683852,0.673465855,0.689832741,0.138842463,-0.087366295,0.014398784,0.181240904,0.165031748,0.150108054,0.284926487,-0.002103702,0.060364841,0.234458032,0.086436885,0.086494997,0.109645191,-0.221095164,-0.10783283,-0.14157243
evenness,-0.029757794,0.07455916,0.408232992,0.616417551,-0.216032802,-0.096785108,-0.098006247,0.366626515,0.945279791,1,0.414121654,-0.096785108,-0.096785108,0.396923633,-0.073076712,0.201040031,0.094095326,0.417440076,-0.076143291,0.211209465,0.158115152,0.042959624,-0.000489755,0.244291759,0.436432485,-0.500894091,0.266187721,-0.258559388,0.53667913,-0.056767952,0.169882401,-0.433645944,0.541973517,-0.399915248,0.103202373,0.549162107,0.436432485,0.480345167,0.458955339,0.424211075,-0.053599589,0.096016006,0.137230971,-0.167830178,-0.274610886,-0.009742248,0.233239366,-0.164799959,-0.18122573,0.425667976,0.711839335,0.088894716,-0.046149634,-0.069852765,0.05202636,0.050300975,0.015539488,0.235878927,-0.176144618,0.285080877,0.227421754,0.164404693,0.055389923,0.135444121,-0.086799581,0.075842266,0.040081122
