index,site,mudflat_area,mudflat_core.area,mudflat_perimeter,mudflat_perim.area.ratio,mudflat_shape.index,seagrass_area,seagrass_core.area,seagrass_perimeter,seagrass_perim.area.ratio,seagrass_shape.index,saltmarsh_area,saltmarsh_core.area,saltmarsh_perimeter,saltmarsh_perim.area.ratio,saltmarsh_shape.index,oyster_area,oyster_core.area,oyster_perimeter,oyster_perim.area.ratio,oyster_shape.index,sand_area,sand_core.area,sand_perimeter,sand_perim.area.ratio,sand_shape.index,channel_area,channel_core.area,channel_perimeter,channel_perim.area.ratio,channel_shape.index,land_area,land_core.area,land_perimeter,land_perim.area.ratio,land_shape.index,total_hab_area
1,C7,115055,72898,53818,0.467758898,39.63033873,0,0,0,0,0,46128,25899,40674,0.881763788,47.29534884,30182,9563,33640,1.114571599,48.33333333,205069,185445,24586,0.119891354,13.56843267,0,0,0,0,0,389059,355542,37644,0.096756533,15.08173077,2753962
2,SG10,0,0,0,0,0,31332,16236,20154,0.643240138,28.38591549,0,0,0,0,0,0,0,0,0,0,754164,733201,23810,0.031571382,6.853770869,0,0,0,0,0,0,0,0,0,0,2753962
3,SG12,0,0,0,0,0,47725,20495,41302,0.865416448,47.25629291,1359,669,784,0.576894776,5.297297297,1098,98,2082,1.896174863,15.53731343,735316,688481,46134,0.062740373,13.44230769,0,0,0,0,0,0,0,0,0,0,2753962
4,MF2,0,0,0,0,0,241,0,754,3.128630705,11.78125,49350,41389,8314,0.168470111,9.341573034,6937,1289,10668,1.537840565,31.94011976,728962,716604,13012,0.017850039,3.809133489,0,0,0,0,0,0,0,0,0,0,2753962
5,C2,0,0,0,0,0,49814,7491,88644,1.779499739,99.15436242,216105,160105,61396,0.284102635,33.00860215,83395,11318,125350,1.503087715,108.4342561,436163,318945,143470,0.328936659,54.30355791,0,0,0,0,0,0,0,0,0,0,2753962
6,SG2,0,0,0,0,0,30904,17806,17754,0.574488739,25.21875,72376,60311,14324,0.19791091,13.28756957,24105,5521,28080,1.164903547,45.14469453,572162,522216,56306,0.098409192,18.60740251,85929,70600,21036,0.244806759,17.91822828,0,0,0,0,0,2753962
7,SG4,0,0,0,0,0,27287,8256,30014,1.099937699,45.33836858,0,0,0,0,0,2053,213,4020,1.958110083,22.08791209,361449,277616,115620,0.319879153,48.05486284,232253,163886,90800,0.390952969,47.09543568,162437,155821,7588,0.046713495,4.701363073,2753962
8,MF1,169500,149890,32114,0.189463127,19.48665049,9408,2805,10906,1.15922619,28.10824742,6414,4124,2596,0.404739632,8.062111801,1569,51,3490,2.224346718,21.8125,598579,562953,39272,0.065608717,12.68475452,0,0,0,0,0,0,0,0,0,0,2753962
9,CB,0,0,0,0,0,19660,2474,32118,1.633672431,57.14946619,308538,276351,32740,0.106113347,14.73447345,1117,19,2720,2.435094002,20.29850746,456150,400621,65788,0.144224488,24.34789045,0,0,0,0,0,0,0,0,0,0,2753962
10,SB,0,0,0,0,0,99230,44933,87824,0.885054923,69.5911252,59771,57226,2568,0.042963979,2.625766871,0,0,0,0,0,626461,539476,91678,0.146342709,28.95704359,0,0,0,0,0,0,0,0,0,0,2753962
11,SC,0,0,0,0,0,131292,50923,139788,1.064710721,96.40551724,0,0,0,0,0,0,0,0,0,0,654169,520882,143238,0.218961767,44.26390606,0,0,0,0,0,0,0,0,0,0,2753962
12,MFA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432747,413288,24678,0.057026392,9.376139818,352702,331802,26120,0.074056853,10.99326599,0,0,0,0,0,2753962
13,C8,188012,124048,78292,0.416420228,45.09907834,1255,212,2020,1.609561753,14.22535211,64788,25516,64552,0.99635735,63.28627451,9388,498,20804,2.216020452,53.6185567,328268,293086,40070,0.122064898,17.48254799,0,0,0,0,0,193790,159966,46124,0.238010217,26.17707151,2753962
14,SG6,0,0,0,0,0,34516,8598,50658,1.467667169,68.08870968,9868,7416,2780,0.281718687,6.984924623,2195,442,2652,1.208200456,14.10638298,738917,682381,56378,0.07629815,16.38895349,0,0,0,0,0,0,0,0,0,0,2753962
15,SG9,0,0,0,0,0,70287,34787,50826,0.723120919,47.85875706,3988,2325,2104,0.527582748,8.283464567,3740,501,6290,1.681818182,25.56910569,707486,660394,54302,0.076753462,16.13250149,0,0,0,0,0,0,0,0,0,0,2753962
16,MF7,0,0,0,0,0,68401,41494,33964,0.496542448,32.40839695,40623,28567,15222,0.374713832,18.83910891,11528,3075,12662,1.098369188,29.44651163,636035,604535,38762,0.060943187,12.14348371,0,0,0,0,0,28912,20062,10744,0.371610404,15.75366569,2753962
17,C4,0,0,0,0,0,0,0,0,0,0,248440,182866,69980,0.281677669,35.09528586,43530,3345,80366,1.846220997,96.13157895,242276,209819,41814,0.172588288,21.22538071,251212,153607,131478,0.52337468,65.54237288,0,0,0,0,0,2753962
18,C5,0,0,0,0,0,11401,2153,20310,1.781422682,47.45327103,134866,107758,30276,0.224489493,20.59591837,31497,3479,50666,1.608597644,71.36056338,607710,564057,47956,0.078912639,15.37051282,0,0,0,0,0,0,0,0,0,0,2753962
19,S14,0,0,0,0,0,37118,25517,14700,0.396034269,19.04145078,0,0,0,0,0,0,0,0,0,0,748369,732417,18650,0.024920861,5.387059503,0,0,0,0,0,0,0,0,0,0,2753962
20,S15,0,0,0,0,0,101151,50463,69924,0.691283329,54.88540031,19388,15150,4488,0.231483392,8.043010753,12144,5757,9460,0.778985507,21.40271493,649373,585127,77810,0.119823276,24.13461538,0,0,0,0,0,3446,1678,2562,0.743470691,10.8559322,2753962
21,C3,0,0,0,0,0,37595,9071,55026,1.463652081,70.90979381,162547,123009,44682,0.274886648,27.68401487,53007,5752,80794,1.524213783,87.62906725,532329,443553,99656,0.187207535,34.12876712,0,0,0,0,0,0,0,0,0,0,2753962
22,C6,0,0,0,0,0,19738,13023,8102,0.410477252,14.41637011,33346,21117,17166,0.514784382,23.45081967,9883,2705,11264,1.139734898,28.30150754,673957,659900,17118,0.025399247,5.212545676,0,0,0,0,0,48559,38027,11682,0.240573323,13.24489796,2753962
23,SG1,156314,122460,55164,0.35290505,34.86978508,28142,4563,40830,1.450856371,60.75892857,50282,39533,12394,0.246489798,13.80178174,8166,243,18632,2.281655645,51.46961326,542582,467548,93948,0.173149865,31.86838535,0,0,0,0,0,0,0,0,0,0,2753962
24,SG17,0,0,0,0,0,16307,9573,9514,0.583430429,18.58203125,12427,7476,6148,0.494729219,13.78475336,5020,1443,5914,1.178087649,20.82394366,746114,732375,13262,0.017774764,3.837384259,0,0,0,0,0,5612,2470,4714,0.839985745,15.71333333,2753962
