,zostera,oyster,saltmarsh,richness,shannonD,seagrass,richness_comb,depth_m_avg,sal_avg,comm_shannonD_sum,herbivore,omnivore,seagrass_core.area,seagrass_perimeter,seagrass_perim.area.ratio,saltmarsh_perim.area.ratio,habitat_total,NNratio,dist2adjPatch,avgTempNight,PerchAvgPresentNight
zostera,1,-0.270069895,-0.315386605,0.411431084,0.298280933,0.627992755,-0.110691099,-0.006049251,-0.08292058,0.402138693,0.266688919,-0.01044477,0.412791565,0.573413898,0.011409443,-0.332493448,-0.109956281,-0.043085936,0.043240526,0.171223067,-0.247676158
oyster,-0.270069895,1,0.199435495,0.061999329,0.162042961,-0.399237811,0.506479723,0.479922067,-0.169164383,-0.173831352,-0.094164129,0.187416484,-0.269839222,0.204209966,0.196063745,0.089847182,0.698954596,0.036913825,-0.144276493,0.028907786,0.252101415
saltmarsh,-0.315386605,0.199435495,1,0.070807511,0.120346541,-0.463574628,0.588943085,0.121415512,-0.235550769,-0.072553536,-0.109495622,-0.123046278,-0.304606198,-0.272080948,-0.065572677,0.256657347,0.275293768,0.135470793,-0.142362423,0.106176233,-0.152727757
richness,0.411431084,0.061999329,0.070807511,1,0.610076912,0.626182937,0.612870097,0.117387801,-0.026294705,0.603621445,0.028116078,0.247650153,0.424887581,0.498328774,-0.16897729,-0.001187191,0.269231878,0.177390559,-0.31923662,0.328016603,-0.520287265
shannonD,0.298280933,0.162042961,0.120346541,0.610076912,1,0.265539471,0.492996534,0.260943824,-0.014326068,0.1294077,0.159297552,-0.185823962,0.253819291,0.330216837,-0.100362495,0.092230728,0.362877377,0.536036676,-0.13331864,0.142065606,-0.300580632
seagrass,0.627992755,-0.399237811,-0.463574628,0.626182937,0.265539471,1,-0.12608155,-0.243715336,0.071343876,0.526833912,0.107429349,0.058764764,0.685594533,0.558933496,-0.190835177,-0.347643517,-0.238933708,-0.139560054,0.031669534,0.235697128,-0.338078555
richness_comb,-0.110691099,0.506479723,0.588943085,0.612870097,0.492996534,-0.12608155,1,0.259294633,-0.181871977,0.202355996,-0.061541083,0.086872232,-0.246938465,0.011162623,-0.043048709,0.300137826,0.590871482,0.281566015,-0.369753763,0.139740418,-0.319036599
depth_m_avg,-0.006049251,0.479922067,0.121415512,0.117387801,0.260943824,-0.243715336,0.259294633,1,-0.24130279,0.022608036,0.090070475,0.007526419,-0.133590091,0.047686448,-0.219569464,0.142889184,0.354094232,0.317908519,-0.106513533,0.167035088,0.091142889
sal_avg,-0.08292058,-0.169164383,-0.235550769,-0.026294705,-0.014326068,0.071343876,-0.181871977,-0.24130279,1,-0.165051523,-0.016264687,-0.050142897,0.20820872,0.287422759,0.229668951,0.001911241,0.05404608,0.007725181,-0.025690037,-0.086365701,0.103409847
comm_shannonD_sum,0.402138693,-0.173831352,-0.072553536,0.603621445,0.1294077,0.526833912,0.202355996,0.022608036,-0.165051523,1,-0.013099891,0.298068233,0.338658495,0.42315637,-0.082552702,-0.19664575,0.104217529,-0.009728133,-0.192310706,0.366755228,-0.450164356
herbivore,0.266688919,-0.094164129,-0.109495622,0.028116078,0.159297552,0.107429349,-0.061541083,0.090070475,-0.016264687,-0.013099891,1,-0.085168498,-0.090546617,-0.026704558,0.030795044,-0.235773997,-0.182764389,0.076951935,-0.060553235,-0.118536657,0.124790262
omnivore,-0.01044477,0.187416484,-0.123046278,0.247650153,-0.185823962,0.058764764,0.086872232,0.007526419,-0.050142897,0.298068233,-0.085168498,1,0.102310538,0.209712695,0.066680911,0.015324204,0.116928198,-0.233934459,-0.1371433,0.35070098,-0.214853023
