,deploy_num,zostera,algae,saltmarsh,other,richness,richness_comb,depth_m_avg,sal_avg,herbivore,omnivore,soniferous_S,seagrass_core.area,seagrass_perim.area.ratio,saltmarsh_core.area,saltmarsh_perim.area.ratio,oyster_perimeter,oyster_perim.area.ratio,NNratio,dist2adjPatch,AvgPresent
deploy_num,1,0.099457788,-0.036582859,0.356182142,-0.081450799,0.197385508,0.224661684,0.258768413,-0.566163634,-0.183140309,0.378840514,0.310317965,0.080655271,-0.141736427,0.103214891,0.051333039,0.127715141,0.060060243,0.028551136,-0.065393089,-0.465126073
zostera,0.099457788,1,0.378304058,-0.315386605,-0.127328688,0.411431084,-0.110691099,-0.006049251,-0.08292058,0.266688919,-0.01044477,0.500619213,0.412791565,0.011409443,-0.250336384,-0.332493448,-0.255244441,-0.165090389,-0.043085936,0.043240526,-0.128063803
algae,-0.036582859,0.378304058,1,-0.174531442,-0.126383257,0.329479179,0.243889397,0.038522862,-0.178165435,-0.015188163,-0.033362194,0.254015178,-0.017560296,0.017619512,0.065705588,-0.137502344,0.192613114,0.077123116,-0.186890075,-0.238133883,-0.03946764
saltmarsh,0.356182142,-0.315386605,-0.174531442,1,0.159366938,0.070807511,0.588943085,0.121415512,-0.235550769,-0.109495622,-0.123046278,-0.427252466,-0.304606198,-0.065572677,0.357698032,0.256657347,0.272267509,0.198124701,0.135470793,-0.142362423,-0.015745077
other,-0.081450799,-0.127328688,-0.126383257,0.159366938,1,0.030010787,0.229908925,-0.163438371,0.182287828,-0.046408209,0.039146437,-0.083065504,-0.159169269,0.186720949,0.669406224,-0.136554846,-0.131225385,0.327710812,-0.131474362,-0.026934584,0.022664935
richness,0.197385508,0.411431084,0.329479179,0.070807511,0.030010787,1,0.612870097,0.117387801,-0.026294705,0.028116078,0.247650153,0.565648892,0.424887581,-0.16897729,0.087171966,-0.001187191,0.076974028,-0.133881698,0.177390559,-0.31923662,-0.175916545
richness_comb,0.224661684,-0.110691099,0.243889397,0.588943085,0.229908925,0.612870097,1,0.259294633,-0.181871977,-0.061541083,0.086872232,-0.110151656,-0.246938465,-0.043048709,0.560206851,0.300137826,0.564140709,0.25726985,0.281566015,-0.369753763,-0.04678196
depth_m_avg,0.258768413,-0.006049251,0.038522862,0.121415512,-0.163438371,0.117387801,0.259294633,1,-0.24130279,0.090070475,0.007526419,0.042164205,-0.133590091,-0.219569464,0.233643646,0.142889184,0.547605021,0.222263336,0.317908519,-0.106513533,0.02836874
sal_avg,-0.566163634,-0.08292058,-0.178165435,-0.235550769,0.182287828,-0.026294705,-0.181871977,-0.24130279,1,-0.016264687,-0.050142897,-0.221833221,0.20820872,0.229668951,0.01669948,0.001911241,-0.192505052,0.029960931,0.007725181,-0.025690037,0.083529728
herbivore,-0.183140309,0.266688919,-0.015188163,-0.109495622,-0.046408209,0.028116078,-0.061541083,0.090070475,-0.016264687,1,-0.085168498,0.146303901,-0.090546617,0.030795044,-0.147910312,-0.235773997,-0.11406113,0.187097109,0.076951935,-0.060553235,0.077245253
omnivore,0.378840514,-0.01044477,-0.033362194,-0.123046278,0.039146437,0.247650153,0.086872232,0.007526419,-0.050142897,-0.085168498,1,0.229257614,0.102310538,0.066680911,0.055168273,0.015324204,0.096091159,0.138146007,-0.233934459,-0.1371433,-0.097335488
soniferous_S,0.310317965,0.500619213,0.254015178,-0.427252466,-0.083065504,0.565648892,-0.110151656,0.042164205,-0.221833221,0.146303901,0.229257614,1,0.550117491,-0.174447362,-0.322834393,-0.299508047,-0.368981158,-0.32600795,0.026725319,-0.144912075,-0.340087749
seagrass_core.area,0.080655271,0.412791565,-0.017560296,-0.304606198,-0.159169269,0.424887581,-0.246938465,-0.133590091,0.20820872,-0.090546617,0.102310538,0.550117491,1,-0.246793053,-0.31777171,-0.243071767,-0.316706408,-0.529524256,0.103505592,0.008535005,-0.316925808
seagrass_perim.area.ratio,-0.141736427,0.011409443,0.017619512,-0.065572677,0.186720949,-0.16897729,-0.043048709,-0.219569464,0.229668951,0.030795044,0.066680911,-0.174447362,-0.246793053,1,0.250892356,-0.080068044,0.147101938,0.417707264,-0.149182755,-0.353689691,0.161916534
saltmarsh_core.area,0.103214891,-0.250336384,0.065705588,0.357698032,0.669406224,0.087171966,0.560206851,0.233643646,0.01669948,-0.147910312,0.055168273,-0.322834393,-0.31777171,0.250892356,1,-0.122784956,0.58562353,0.401546623,-0.141966526,-0.14791648,0.187588069
saltmarsh_perim.area.ratio,0.051333039,-0.332493448,-0.137502344,0.256657347,-0.136554846,-0.001187191,0.300137826,0.142889184,0.001911241,-0.235773997,0.015324204,-0.299508047,-0.243071767,-0.080068044,-0.122784956,1,0.130382224,0.454719158,0.662191076,-0.41622079,-0.166369481
oyster_perimeter,0.127715141,-0.255244441,0.192613114,0.272267509,-0.131225385,0.076974028,0.564140709,0.547605021,-0.192505052,-0.11406113,0.096091159,-0.368981158,-0.316706408,0.147101938,0.58562353,0.130382224,1,0.261798092,0.061905086,-0.198580449,0.245513286
oyster_perim.area.ratio,0.060060243,-0.165090389,0.077123116,0.198124701,0.327710812,-0.133881698,0.25726985,0.222263336,0.029960931,0.187097109,0.138146007,-0.32600795,-0.529524256,0.417707264,0.401546623,0.454719158,0.261798092,1,0.131851499,-0.544469812,0.114993641
NNratio,0.028551136,-0.043085936,-0.186890075,0.135470793,-0.131474362,0.177390559,0.281566015,0.317908519,0.007725181,0.076951935,-0.233934459,0.026725319,0.103505592,-0.149182755,-0.141966526,0.662191076,0.061905086,0.131851499,1,-0.38215483,-0.349452434
dist2adjPatch,-0.065393089,0.043240526,-0.238133883,-0.142362423,-0.026934584,-0.31923662,-0.369753763,-0.106513533,-0.025690037,-0.060553235,-0.1371433,-0.144912075,0.008535005,-0.353689691,-0.14791648,-0.41622079,-0.198580449,-0.544469812,-0.38215483,1,-0.12089511
AvgPresent,-0.465126073,-0.128063803,-0.03946764,-0.015745077,0.022664935,-0.175916545,-0.04678196,0.02836874,0.083529728,0.077245253,-0.097335488,-0.340087749,-0.316925808,0.161916534,0.187588069,-0.166369481,0.245513286,0.114993641,-0.349452434,-0.12089511,1
