,deploy_num,zostera,ruppia,saltmarsh,evenness,richness_comb,total_cover,depth_m_avg,sal_avg,total_abund_sum,herbivore,omnivore,soniferous_S,seagrass_core.area,seagrass_perimeter,seagrass_perim.area.ratio,saltmarsh_perim.area.ratio,oyster_perimeter,oyster_perim.area.ratio,NNratio,dist2adjPatch,avg_temp,avg_spl_high
deploy_num,1,0.099457788,0.010933746,0.356182142,0.110123113,0.224661684,0.139769926,0.258768413,-0.566163634,-0.104073296,-0.183140309,0.378840514,0.310317965,0.080655271,0.002467337,-0.141736427,0.051333039,0.127715141,0.060060243,0.028551136,-0.065393089,0.655712403,0.556571602
zostera,0.099457788,1,0.296929214,-0.315386605,0.143468726,-0.110691099,0.465315144,-0.006049251,-0.08292058,0.463294884,0.266688919,-0.01044477,0.500619213,0.412791565,0.573413898,0.011409443,-0.332493448,-0.255244441,-0.165090389,-0.043085936,0.043240526,0.214669743,0.263290149
ruppia,0.010933746,0.296929214,1,-0.167327395,0.310343429,-0.094044939,0.40076148,0.019234332,0.189937349,0.254711363,-0.066441963,-0.100841094,0.404538351,0.605474763,0.501825858,-0.066491497,-0.242990383,-0.188033746,-0.426059727,0.130465125,-0.025793925,0.100688501,0.101825608
saltmarsh,0.356182142,-0.315386605,-0.167327395,1,0.24016277,0.588943085,-0.022703016,0.121415512,-0.235550769,-0.396429988,-0.109495622,-0.123046278,-0.427252466,-0.304606198,-0.272080948,-0.065572677,0.256657347,0.272267509,0.198124701,0.135470793,-0.142362423,0.079134797,0.09119469
evenness,0.110123113,0.143468726,0.310343429,0.24016277,1,0.611478416,0.310436959,0.271451887,-0.103737718,0.024356703,0.228432442,-0.186930885,0.014739902,-0.017681502,0.120094358,-0.075670649,0.229563594,0.323065637,0.112243639,0.563582973,-0.171473057,0.032970995,0.320602831
richness_comb,0.224661684,-0.110691099,-0.094044939,0.588943085,0.611478416,1,0.399433522,0.259294633,-0.181871977,-0.051572395,-0.061541083,0.086872232,-0.110151656,-0.246938465,0.011162623,-0.043048709,0.300137826,0.564140709,0.25726985,0.281566015,-0.369753763,0.207385826,0.325353144
total_cover,0.139769926,0.465315144,0.40076148,-0.022703016,0.310436959,0.399433522,1,0.043001294,-0.119330074,0.590424303,0.024991493,0.123756506,0.520723055,0.515990506,0.660310308,-0.134706157,-0.255223137,0.161503715,-0.390175417,-0.095881947,-0.116967793,0.387331799,0.538089356
depth_m_avg,0.258768413,-0.006049251,0.019234332,0.121415512,0.271451887,0.259294633,0.043001294,1,-0.24130279,-0.068227892,0.090070475,0.007526419,0.042164205,-0.133590091,0.047686448,-0.219569464,0.142889184,0.547605021,0.222263336,0.317908519,-0.106513533,0.121066943,0.423359846
sal_avg,-0.566163634,-0.08292058,0.189937349,-0.235550769,-0.103737718,-0.181871977,-0.119330074,-0.24130279,1,0.220196903,-0.016264687,-0.050142897,-0.221833221,0.20820872,0.287422759,0.229668951,0.001911241,-0.192505052,0.029960931,0.007725181,-0.025690037,-0.048731789,-0.434018697
total_abund_sum,-0.104073296,0.463294884,0.254711363,-0.396429988,0.024356703,-0.051572395,0.590424303,-0.068227892,0.220196903,1,0.413378929,0.283436057,0.61568692,0.512822244,0.417821671,-0.122200096,-0.241597993,-0.32474985,-0.164787429,-0.104576292,-0.115818535,0.404508472,0.202520816
herbivore,-0.183140309,0.266688919,-0.066441963,-0.109495622,0.228432442,-0.061541083,0.024991493,0.090070475,-0.016264687,0.413378929,1,-0.085168498,0.146303901,-0.090546617,-0.026704558,0.030795044,-0.235773997,-0.11406113,0.187097109,0.076951935,-0.060553235,-0.015889919,0.061003167
