,zostera,ruppia,oyster,saltmarsh,richness,evenness,richness_comb,depth_m_avg,sal_avg,total_abund_sum,herbivore,omnivore,soniferous_S,num_bai_chr,seagrass_core.area,seagrass_perimeter,seagrass_perim.area.ratio,saltmarsh_core.area,saltmarsh_perim.area.ratio,NNratio,dist2adjPatch,avgTempNight,PerchAvgPresentNight
zostera,1,0.296929214,-0.270069895,-0.315386605,0.411431084,0.143468726,-0.110691099,-0.006049251,-0.08292058,0.463294884,0.266688919,-0.01044477,0.500619213,0.447172849,0.412791565,0.573413898,0.011409443,-0.250336384,-0.332493448,-0.043085936,0.043240526,0.171223067,-0.247676158
ruppia,0.296929214,1,-0.14389834,-0.167327395,0.386694094,0.310343429,-0.094044939,0.019234332,0.189937349,0.254711363,-0.066441963,-0.100841094,0.404538351,0.468178134,0.605474763,0.501825858,-0.066491497,-0.04880082,-0.242990383,0.130465125,-0.025793925,0.221798456,-0.204551515
oyster,-0.270069895,-0.14389834,1,0.199435495,0.061999329,0.275861442,0.506479723,0.479922067,-0.169164383,-0.325773229,-0.094164129,0.187416484,-0.331580913,-0.219213896,-0.269839222,0.204209966,0.196063745,0.535361675,0.089847182,0.036913825,-0.144276493,0.028907786,0.252101415
saltmarsh,-0.315386605,-0.167327395,0.199435495,1,0.070807511,0.24016277,0.588943085,0.121415512,-0.235550769,-0.396429988,-0.109495622,-0.123046278,-0.427252466,-0.254601372,-0.304606198,-0.272080948,-0.065572677,0.357698032,0.256657347,0.135470793,-0.142362423,0.106176233,-0.152727757
richness,0.411431084,0.386694094,0.061999329,0.070807511,1,0.504898169,0.612870097,0.117387801,-0.026294705,0.591048859,0.028116078,0.247650153,0.565648892,0.513941398,0.424887581,0.498328774,-0.16897729,0.087171966,-0.001187191,0.177390559,-0.31923662,0.328016603,-0.520287265
evenness,0.143468726,0.310343429,0.275861442,0.24016277,0.504898169,1,0.611478416,0.271451887,-0.103737718,0.024356703,0.228432442,-0.186930885,0.014739902,0.025827798,-0.017681502,0.120094358,-0.075670649,0.308645418,0.229563594,0.563582973,-0.171473057,0.068284988,-0.249245253
richness_comb,-0.110691099,-0.094044939,0.506479723,0.588943085,0.612870097,0.611478416,1,0.259294633,-0.181871977,-0.051572395,-0.061541083,0.086872232,-0.110151656,-0.107448574,-0.246938465,0.011162623,-0.043048709,0.560206851,0.300137826,0.281566015,-0.369753763,0.139740418,-0.319036599
depth_m_avg,-0.006049251,0.019234332,0.479922067,0.121415512,0.117387801,0.271451887,0.259294633,1,-0.24130279,-0.068227892,0.090070475,0.007526419,0.042164205,-0.232670771,-0.133590091,0.047686448,-0.219569464,0.233643646,0.142889184,0.317908519,-0.106513533,0.167035088,0.091142889
sal_avg,-0.08292058,0.189937349,-0.169164383,-0.235550769,-0.026294705,-0.103737718,-0.181871977,-0.24130279,1,0.220196903,-0.016264687,-0.050142897,-0.221833221,0.234790029,0.20820872,0.287422759,0.229668951,0.01669948,0.001911241,0.007725181,-0.025690037,-0.086365701,0.103409847
total_abund_sum,0.463294884,0.254711363,-0.325773229,-0.396429988,0.591048859,0.024356703,-0.051572395,-0.068227892,0.220196903,1,0.413378929,0.283436057,0.61568692,0.628489171,0.512822244,0.417821671,-0.122200096,-0.343198936,-0.241597993,-0.104576292,-0.115818535,0.242782745,-0.211341516
herbivore,0.266688919,-0.066441963,-0.094164129,-0.109495622,0.028116078,0.228432442,-0.061541083,0.090070475,-0.016264687,0.413378929,1,-0.085168498,0.146303901,-0.103485626,-0.090546617,-0.026704558,0.030795044,-0.147910312,-0.235773997,0.076951935,-0.060553235,-0.118536657,0.124790262
omnivore,-0.01044477,-0.100841094,0.187416484,-0.123046278,0.247650153,-0.186930885,0.086872232,0.007526419,-0.050142897,0.283436057,-0.085168498,1,0.229257614,0.35368206,0.102310538,0.209712695,0.066680911,0.055168273,0.015324204,-0.233934459,-0.1371433,0.35070098,-0.214853023
soniferous_S,0.500619213,0.404538351,-0.331580913,-0.427252466,0.565648892,0.014739902,-0.110151656,0.042164205,-0.221833221,0.61568692,0.146303901,0.229257614,1,0.389487924,0.550117491,0.3774557,-0.174447362,-0.322834393,-0.299508047,0.026725319,-0.144912075,0.364430355,-0.446480589
