,deploy_num,zostera,ruppia,saltmarsh,richness,evenness,richness_comb,max10,depth_m_avg,sal_avg,herbivore,omnivore,num_bai_chr,seagrass_core.area,seagrass_perimeter,seagrass_perim.area.ratio,saltmarsh_area,saltmarsh_perim.area.ratio,oyster_perimeter,oyster_perim.area.ratio,NNratio,dist2adjPatch,avg_temp,avg_spl_low
deploy_num,1,0.099457788,0.010933746,0.356182142,0.197385508,0.110123113,0.224661684,0.223789054,0.258768413,-0.566163634,-0.183140309,0.378840514,-0.005775302,0.080655271,0.002467337,-0.141736427,0.126938233,0.051333039,0.127715141,0.060060243,0.028551136,-0.065393089,0.655712403,-0.211463119
zostera,0.099457788,1,0.296929214,-0.315386605,0.411431084,0.143468726,-0.110691099,0.499023046,-0.006049251,-0.08292058,0.266688919,-0.01044477,0.447172849,0.412791565,0.573413898,0.011409443,-0.280311611,-0.332493448,-0.255244441,-0.165090389,-0.043085936,0.043240526,0.214669743,-0.141655464
ruppia,0.010933746,0.296929214,1,-0.167327395,0.386694094,0.310343429,-0.094044939,0.3055092,0.019234332,0.189937349,-0.066441963,-0.100841094,0.468178134,0.605474763,0.501825858,-0.066491497,-0.085228453,-0.242990383,-0.188033746,-0.426059727,0.130465125,-0.025793925,0.100688501,-0.307911591
saltmarsh,0.356182142,-0.315386605,-0.167327395,1,0.070807511,0.24016277,0.588943085,-0.457535896,0.121415512,-0.235550769,-0.109495622,-0.123046278,-0.254601372,-0.304606198,-0.272080948,-0.065572677,0.385440966,0.256657347,0.272267509,0.198124701,0.135470793,-0.142362423,0.079134797,-0.029843706
richness,0.197385508,0.411431084,0.386694094,0.070807511,1,0.504898169,0.612870097,0.582052752,0.117387801,-0.026294705,0.028116078,0.247650153,0.513941398,0.424887581,0.498328774,-0.16897729,0.082255553,-0.001187191,0.076974028,-0.133881698,0.177390559,-0.31923662,0.408630681,-0.58543111
evenness,0.110123113,0.143468726,0.310343429,0.24016277,0.504898169,1,0.611478416,-0.03516852,0.271451887,-0.103737718,0.228432442,-0.186930885,0.025827798,-0.017681502,0.120094358,-0.075670649,0.353494466,0.229563594,0.323065637,0.112243639,0.563582973,-0.171473057,0.032970995,-0.071743947
richness_comb,0.224661684,-0.110691099,-0.094044939,0.588943085,0.612870097,0.611478416,1,-0.125580823,0.259294633,-0.181871977,-0.061541083,0.086872232,-0.107448574,-0.246938465,0.011162623,-0.043048709,0.6049232,0.300137826,0.564140709,0.25726985,0.281566015,-0.369753763,0.207385826,-0.252455194
max10,0.223789054,0.499023046,0.3055092,-0.457535896,0.582052752,-0.03516852,-0.125580823,1,-0.073758264,-0.134970329,0.067306282,0.23057489,0.516029959,0.522444208,0.359359557,-0.164172857,-0.391795688,-0.230827439,-0.446060514,-0.275688833,-0.089662518,-0.098355337,0.468791211,-0.52043167
depth_m_avg,0.258768413,-0.006049251,0.019234332,0.121415512,0.117387801,0.271451887,0.259294633,-0.073758264,1,-0.24130279,0.090070475,0.007526419,-0.232670771,-0.133590091,0.047686448,-0.219569464,0.295245457,0.142889184,0.547605021,0.222263336,0.317908519,-0.106513533,0.121066943,0.267627017
sal_avg,-0.566163634,-0.08292058,0.189937349,-0.235550769,-0.026294705,-0.103737718,-0.181871977,-0.134970329,-0.24130279,1,-0.016264687,-0.050142897,0.234790029,0.20820872,0.287422759,0.229668951,-0.001078329,0.001911241,-0.192505052,0.029960931,0.007725181,-0.025690037,-0.048731789,-0.136125463
herbivore,-0.183140309,0.266688919,-0.066441963,-0.109495622,0.028116078,0.228432442,-0.061541083,0.067306282,0.090070475,-0.016264687,1,-0.085168498,-0.103485626,-0.090546617,-0.026704558,0.030795044,-0.157704368,-0.235773997,-0.11406113,0.187097109,0.076951935,-0.060553235,-0.015889919,0.151675733
omnivore,0.378840514,-0.01044477,-0.100841094,-0.123046278,0.247650153,-0.186930885,0.086872232,0.23057489,0.007526419,-0.050142897,-0.085168498,1,0.35368206,0.102310538,0.209712695,0.066680911,0.045984826,0.015324204,0.096091159,0.138146007,-0.233934459,-0.1371433,0.355680484,-0.182865483
num_bai_chr,-0.005775302,0.447172849,0.468178134,-0.254601372,0.513941398,0.025827798,-0.107448574,0.516029959,-0.232670771,0.234790029,-0.103485626,0.35368206,1,0.693680074,0.627974554,-0.120960396,-0.269457332,-0.176119256,-0.273103394,-0.401215336,-0.166926229,0.14112398,0.337319913,-0.378198921
seagrass_core.area,0.080655271,0.412791565,0.605474763,-0.304606198,0.424887581,-0.017681502,-0.246938465,0.522444208,-0.133590091,0.20820872,-0.090546617,0.102310538,0.693680074,1,0.683421938,-0.246793053,-0.354141876,-0.243071767,-0.316706408,-0.529524256,0.103505592,0.008535005,0.352053297,-0.389772887
seagrass_perimeter,0.002467337,0.573413898,0.501825858,-0.272080948,0.498328774,0.120094358,0.011162623,0.359359557,0.047686448,0.287422759,-0.026704558,0.209712695,0.627974554,0.683421938,1,0.15991002,0.007064153,-0.324674416,0.093300421,-0.281136421,-0.057573801,-0.038872124,0.327236316,-0.139414603
seagrass_perim.area.ratio,-0.141736427,0.011409443,-0.066491497,-0.065572677,-0.16897729,-0.075670649,-0.043048709,-0.164172857,-0.219569464,0.229668951,0.030795044,0.066680911,-0.120960396,-0.246793053,0.15991002,1,0.236626153,-0.080068044,0.147101938,0.417707264,-0.149182755,-0.353689691,-0.100191584,0.31900107
