,halodule,zostera,ruppia,algae,oyster,saltmarsh,other,richness,shannonD,evenness,seagrass,richness_comb,shannonD_comb,evenness_comb,total_cover,avg_blade_length,avg_shoot_density,max10,depth_m_avg,sal_avg,total_abund_sum,comm_richness_sum,comm_shannonD_sum,comm_evenness_sum,carnivore,herbivore,omnivore,soniferous_S,carn_2,detritivore,herb_2,invertivore,omni_2,piscivore,planktivore,num_bai_chr,num_ort_chr,num_ops_tau,seagrass_area,seagrass_core.area,seagrass_perimeter,seagrass_perim.area.ratio,saltmarsh_area,saltmarsh_core.area,saltmarsh_perimeter,saltmarsh_perim.area.ratio,oyster_area,oyster_core.area,oyster_perimeter,oyster_perim.area.ratio,habitat_total,NNratio,dist2adjPatch,richness_landscape,avg_temp,avg_spl_low,avg_spl_high,BI_low,BI_high
halodule,1,0.999557456,NA,0.919523327,-0.356501706,-0.452767677,-0.113351876,0.548621522,-0.132198309,-0.311601278,0.999995654,0.14770093,-0.52156422,-0.52156422,0.540336923,0.848565498,0.999557456,0.923549095,-0.175009656,0.10043284,0.996947295,0.839424559,0.03162791,-0.1570606,0.999727794,NA,-0.159942999,0.809772274,0.999557456,0.430132713,NA,0.999732431,-0.15174471,0.999557456,0.349884565,0.962112012,0.999557456,NA,0.247096025,0.838855624,-0.136575282,-0.244547663,-0.279544419,-0.238107573,-0.414235497,-0.240079753,-0.155885825,0.049304277,-0.228552217,-0.423814933,-0.237700165,-0.184369578,-0.436359041,-0.481029848,0.338358614,-0.555890949,0.052339118,-0.522448392,0.453700126
zostera,0.999557456,1,NA,0.924469555,-0.344615377,-0.456471385,-0.142857143,0.544704779,-0.127995042,-0.307650509,0.999640809,0.142857143,-0.518119758,-0.518119758,0.549215175,0.832451038,1,0.911732939,-0.161903596,0.078811041,0.997025382,0.830588924,0.007340777,-0.172342417,0.999912095,NA,-0.161463573,0.800132264,1,0.432834099,NA,0.999901214,-0.180117894,1,0.321862806,0.963859393,1,NA,0.246273298,0.841144313,-0.137654841,-0.252940897,-0.296823691,-0.258679715,-0.410301946,-0.227674121,-0.140811163,0.063575452,-0.214061368,-0.441727253,-0.249303499,-0.176733044,-0.440376236,-0.487950036,0.326720654,-0.535210494,0.070676203,-0.503429022,0.473060201
ruppia,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
algae,0.919523327,0.924469555,NA,1,-0.044266316,-0.401188557,-0.283025163,0.631472569,-0.065517918,-0.233748494,0.920049858,0.283025163,-0.433442863,-0.433442863,0.760462674,0.685063159,0.924469555,0.780215643,-0.059717304,-0.050596849,0.918286706,0.77651209,-0.010024481,-0.114315091,0.925141818,NA,-0.208415653,0.733835219,0.924469555,0.365918815,NA,0.925177032,-0.324742226,0.924469555,0.153146189,0.895255844,0.924469555,NA,0.45123645,0.867835504,0.129427164,-0.104345281,-0.257149156,-0.249511968,-0.231616953,-0.191796705,0.178526831,0.368330636,0.083063176,-0.619973207,-0.114073363,-0.124498573,-0.514007725,-0.39214622,0.232066529,-0.342902755,0.265599164,-0.288313392,0.445038501
oyster,-0.356501706,-0.344615377,NA,-0.044266316,1,0.009435381,-0.351323802,0.151683673,0.077201055,0.137769246,-0.355337794,0.351323802,0.207090623,0.207090623,0.53578053,-0.511122186,-0.344615377,-0.480443517,0.548736084,-0.405726105,-0.317758819,-0.130935052,-0.060300172,0.029741055,-0.340846272,NA,0.366844351,-0.152352167,-0.344615377,0.186303987,NA,-0.34061789,-0.238654013,-0.344615377,-0.494088508,-0.384904434,-0.344615377,NA,0.625769344,0.085679456,0.789211717,0.319395968,0.333468788,0.222384073,0.709932315,-0.057275311,0.949664452,0.664116138,0.950734634,-0.287179944,0.589413442,-0.032041137,-0.136524774,0.289386909,-0.008831477,0.57374685,0.60188976,0.72590329,0.14828029
saltmarsh,-0.452767677,-0.456471385,NA,-0.401188557,0.009435381,1,0.181718296,0.193388335,0.749925458,0.803851664,-0.453152624,0.456471385,0.832856951,0.832856951,-0.094328027,-0.314764102,-0.456471385,-0.367824431,-0.368468705,-0.220046719,-0.471513018,-0.504385712,-0.0912505,-0.041876765,-0.459208677,NA,-0.118122358,-0.48900797,-0.456471385,-0.387398787,NA,-0.459370581,0.143911639,-0.456471385,-0.035469767,-0.446539593,-0.456471385,NA,-0.430214137,-0.599042954,-0.213656447,0.108339519,0.437777454,0.422165576,0.389685156,-0.098949097,0.020945917,-0.147231143,0.101371508,0.119626623,0.316359356,-0.02123779,0.613467764,0.072613909,0.078398175,0.135925195,0.292988628,0.281212457,-0.359011466
other,-0.113351876,-0.142857143,NA,-0.283025163,-0.351323802,0.181718296,1,0.060522753,-0.123450164,-0.092029317,-0.116280484,0.142857143,-0.048215515,-0.048215515,-0.365768534,0.42949382,-0.142857143,0.276322618,-0.41531792,0.709299366,-0.130349816,0.187552338,0.807137661,0.53053729,-0.134253631,NA,0.071281143,0.21821789,-0.142857143,-0.145340418,NA,-0.133735921,0.967107829,-0.142857143,0.891095032,-0.181640694,-0.142857143,NA,-0.004182052,-0.183927192,0.053557028,0.311668601,0.612946514,0.717618941,-0.078303412,-0.383586026,-0.483519617,-0.482974764,-0.454709304,0.65257612,0.418008568,-0.231436448,0.19008626,0.292770022,0.345353017,-0.619499287,-0.619164992,-0.568304148,-0.70476042
richness,0.548621522,0.544704779,NA,0.631472569,0.151683673,0.193388335,0.060522753,1,0.559773009,0.436350505,0.548255029,0.907841299,0.260652986,0.260652986,0.766528879,0.530887148,0.544704779,0.554041032,-0.16998877,-0.033389028,0.559728631,0.64701748,0.328444999,0.241482301,0.549223672,NA,0.081869602,0.647150229,0.544704779,0.372404936,NA,0.549492123,0.076308616,0.544704779,0.307653775,0.562255498,0.544704779,NA,0.301372286,0.493452266,0.13556011,-0.156949044,0.341061127,0.324736972,0.352976045,-0.201193612,0.344329543,0.433474371,0.288403407,-0.586238748,0.413614863,0.028163101,-0.207667031,-0.454794027,0.299242967,-0.49562843,0.32229047,-0.223923887,0.090536711
shannonD,-0.132198309,-0.127995042,NA,-0.065517918,0.077201055,0.749925458,-0.123450164,0.559773009,1,0.983050903,-0.131786966,0.724638094,0.914589769,0.914589769,0.202653429,-0.185898725,-0.127995042,-0.175523117,-0.127217315,-0.253065483,-0.13820611,-0.19763339,-0.078794222,0.132396186,-0.13093731,NA,-0.086727345,-0.16743367,-0.127995042,-0.134754536,NA,-0.131113368,-0.138703393,-0.127995042,-0.176780401,-0.008923485,-0.127995042,NA,-0.432737823,-0.350728161,-0.343254382,-0.421665313,0.230753107,0.170714843,0.557844628,0.277477714,0.23323658,0.293706458,0.243715744,-0.437829718,0.185449324,0.406356163,0.354976151,-0.505541565,-0.180064689,-0.03033276,0.334981401,0.166306774,-0.136548435
evenness,-0.311601278,-0.307650509,NA,-0.233748494,0.137769246,0.803851664,-0.092029317,0.436350505,0.983050903,1,-0.311222048,0.668803367,0.97322496,0.97322496,0.092899574,-0.332230785,-0.307650509,-0.336932043,-0.092122687,-0.257357125,-0.316897044,-0.343144694,-0.076951402,0.158877715,-0.310457044,NA,-0.05335833,-0.308541354,-0.307650509,-0.209293033,NA,-0.310623941,-0.09977535,-0.307650509,-0.229098847,-0.186733667,-0.307650509,NA,-0.460689025,-0.491973577,-0.303869081,-0.357784786,0.276251192,0.211600007,0.611036549,0.308295816,0.249794387,0.270027086,0.273388538,-0.33839499,0.224002905,0.422523964,0.42196577,-0.394812667,-0.233147751,0.069834445,0.308313281,0.252613657,-0.21845001
