"","halodule","zostera","ruppia","algae","oyster","saltmarsh","other","richness","shannonD","evenness","seagrass","richness_comb","shannonD_comb","evenness_comb","total_cover","avg_blade_length","avg_shoot_density","max10","depth_m_avg","sal_avg","total_abund_sum","comm_richness_sum","comm_shannonD_sum","comm_evenness_sum","carnivore","herbivore","omnivore","soniferous_S","carn_2","detritivore","herb_2","invertivore","omni_2","piscivore","planktivore","num_bai_chr","num_ort_chr","num_ops_tau","seagrass_area","seagrass_core.area","seagrass_perimeter","seagrass_perim.area.ratio","saltmarsh_area","saltmarsh_core.area","saltmarsh_perimeter","saltmarsh_perim.area.ratio","oyster_area","oyster_core.area","oyster_perimeter","oyster_perim.area.ratio","habitat_total","NNratio","dist2adjPatch","richness_landscape","avg_temp","avg_spl_low","avg_spl_high","ToadCallRate","ToadCallRateNorm"
"halodule",1,-0.140125219441848,0.0463745904082087,-0.190927547188451,0.305938831192327,NA,0.00942784749017892,0.397215402421122,0.152357433153734,0.0745591602183119,0.859779012507817,0.305938831192327,0.305938831192327,NA,0.848710952676868,0.0620063316382055,0.684448650029487,0.341805005171502,-0.409484877765301,0.1408391527951,0.448347354536879,0.274257833091725,-0.0349835274043115,-0.178372457535435,0.461893181327019,-0.202543316959363,-0.0948542884155664,-0.112616156283798,0.281093393402436,0.357691953132548,0.366029711859274,0.420565995567678,0.349783875684301,-0.200117966306117,0.152466776792887,0.546160519736902,0.448039051783771,-0.202543316959363,0.337329398707214,0.419778763938416,0.26379140687491,-0.410761050180974,-0.145719175128115,-0.11089369635137,-0.290130459891719,-0.0941546639324223,-0.0391860798451616,0.0428302511129497,-0.226701821105965,-0.518386961069124,0.176191411905589,-0.203162716613522,0.536377335406839,-0.420109028271211,0.298514301358976,-0.386694577181673,-0.0664706233493671,0.254048033675189,0.158680819983291
"zostera",-0.140125219441848,1,0.139274321225037,0.235890089205147,-0.0195821352840162,NA,-0.198697051028727,0.201211755652759,0.418509680369505,0.408232992179548,0.259708448012894,-0.0195821352840162,-0.0195821352840162,NA,0.280699927253299,-0.0702716769155886,-0.273379044651351,-0.100176377881449,0.203028071649105,-0.121119623360524,0.0128538998048884,-0.214253797177423,0.186272028695493,0.320958994068274,0.0233904266691857,0.180895109861439,-0.175952154192264,-0.0266637866055094,-0.405929351740928,0.361425253067403,0.227050786138806,-0.0208650076070703,-0.520355896230215,0.606626519589751,-0.376903913179825,0.223310580503653,0.279609313558152,0.180895109861439,0.376960198211902,0.16348314666156,0.571715328331458,0.451541305004856,0.230433794282978,0.219736856899981,0.234442193972307,-0.331407670522445,0.0427903143181986,-0.0876893416284344,0.182773625479672,0.0551158072580118,0.427392176730692,0.103229852946777,0.288958135378717,-0.169666193125151,0.116715763948813,0.477098871397302,0.359573665981566,-0.0130935306603828,0.0601808688900551
"ruppia",0.0463745904082087,0.139274321225037,1,-0.0510149580408689,-0.143342269708913,NA,-0.143342269708913,0.562515685820103,0.767909709237607,0.616417551097413,0.429034153923182,-0.143342269708913,-0.143342269708913,NA,0.425696499708327,-0.0553293602674485,0.0378952469147926,0.0546941952351579,0.127222228468258,0.227394120898423,0.0202563036446651,-0.0724900058389358,0.25331882876912,0.311596713811831,0.0338609419910285,-0.143342269708913,-0.222273149982657,0.287110346862275,-0.186002321913577,0.717358467616553,-0.0837402097458153,-0.0910176132097225,-0.239163559670106,0.135867981742314,-0.130466043720897,0.378600141559944,0.704877627402123,-0.143342269708913,0.647147290124634,0.661832879857355,0.538231281594833,-0.0303631969242481,0.422655924787047,0.495474613611497,-0.100986121186748,-0.272504927372057,-0.105712868204427,0.0912204908120396,-0.214932433675018,-0.452711848004069,0.721804985328049,0.341404557988573,0.0172963657104839,-0.0414581611823508,0.0304544050932958,-0.427593884704335,0.0800099844617215,-0.102654665300463,-0.242234154307501
"algae",-0.190927547188451,0.235890089205147,-0.0510149580408689,1,0.706383077434362,NA,0.0337409482287594,0.0616281716963433,-0.158876252480298,-0.216032801651936,-0.108015093785024,0.706383077434362,0.706383077434362,NA,-0.0196615199045867,-0.0916696522054922,0.0389131197658595,-0.192063896559402,0.0213349334762741,-0.160042734185122,-0.00205161505405974,-0.2576470068376,-0.184823365085763,-0.102579005339756,0.00641242249986847,-0.103399680055878,-0.142448011735248,-0.128899751528304,-0.361716674757204,-0.245510074244345,-0.368116595340243,0.0673807269687049,-0.281930286258076,0.409720616936076,-0.286566381329221,-0.238813540737598,-0.298085132192905,-0.103399680055878,-0.3098679627757,-0.31677764191796,-0.261910105850311,0.0990622054185152,0.816479018727847,0.78512196025021,0.817118961438911,-0.0460245500104576,0.665768659516083,0.317808231433705,0.810706663229068,0.304484548381597,0.310196455803103,-0.295173208567281,-0.351037004060057,0.0598629726639292,0.011714796732899,0.0175110618978187,0.264951257871541,0.346757667290183,0.505395510529036
"oyster",0.305938831192327,-0.0195821352840162,-0.143342269708913,0.706383077434362,1,NA,-0.0909090909090909,0.356753034006338,-0.0246660759819434,-0.096785108417929,0.217212377249363,1,1,NA,0.283360349374215,-0.0535040479388359,0.534105421521562,0.00493233144307071,0.0718014238145933,-0.0197661070679319,0.391306505635941,-0.061259907676888,-0.405501631036976,-0.437236319145242,0.409920790880951,-0.0909090909090909,-0.198327070278905,-0.220779220779221,-0.0123887169039992,-0.157188102561318,-0.144497194767576,0.473503789423646,-0.205886747762289,0.314771165815172,-0.128298272477875,-0.112102411372965,-0.128365161628384,-0.0909090909090909,-0.201754420869335,-0.12146318410249,-0.254270217103668,-0.27271969137926,0.638160134051338,0.609360884390687,0.67799034444205,-0.0269478237866024,0.849244618930124,0.644234168147256,0.784306486566133,0.0564202375580975,0.323289037021391,-0.120744885838885,-0.252559045321297,-0.0909090909090909,0.116644271930359,-0.160497826282294,0.135015547553646,0.703016164567788,0.825528779788339
"saltmarsh",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"other",0.00942784749017892,-0.198697051028727,-0.143342269708913,0.0337409482287594,-0.0909090909090909,NA,1,-0.254823595718813,-0.155956484197713,-0.0980062467076825,-0.107428948322905,-0.0909090909090909,-0.0909090909090909,NA,-0.104962014231548,-0.412761425639911,0.411799675384074,-0.404906568712267,-0.424281140722597,0.198451714962043,-0.211308380989085,-0.37631086144374,-0.544701602232362,-0.528983920653523,-0.203343121663205,-0.0909090909090909,-0.195658380887834,-0.532467532467532,-0.147572026128596,-0.356278705971958,-0.144497194767576,-0.1587553298934,-0.205886747762289,-0.2487391128519,-0.125276712190305,-0.175092289672587,-0.321167012613282,-0.0909090909090909,-0.0585815062209978,-0.0715208560026515,-0.0548180161590585,-0.00462628097406877,-0.212853191727723,-0.207919425043172,-0.194231473519788,0.518115661793525,-0.166894184534849,-0.161473306318494,-0.157404633985597,0.326833817237409,-0.188382807129619,-0.0925980684466512,-0.134969168447541,0.272727272727273,-0.636337477156863,0.231700705746264,-0.569529389952563,0.00672704219432335,-0.161349639547049
"richness",0.397215402421122,0.201211755652759,0.562515685820103,0.0616281716963433,0.356753034006338,NA,-0.254823595718813,1,0.600117531708755,0.366626514864668,0.613517875656991,0.356753034006338,0.356753034006338,NA,0.623049171967414,0.172517053537873,0.372565518728946,0.241109416664586,0.259813097317144,0.322238825599034,0.56212551230349,0.0637799200717336,0.0510394838390397,0.0343644825087704,0.561559541825799,-0.254823595718813,0.177368433182869,0.0800874157973411,0.296815532270271,0.739994283361267,0.503657235776129,0.469950358870407,-0.200528366616526,0.328975758260811,0.294196789620805,0.689135223710279,0.750224149489549,-0.254823595718813,0.762639038811727,0.803639026403847,0.60421466994129,-0.213631522440041,0.402506155561509,0.428671328374266,0.162083788052296,-0.0671618906015356,0.386390192657484,0.487657205104907,0.237436487284316,-0.297677750761653,0.87443443871002,0.265896784379685,0.0757209420311159,-0.0509647191437626,0.336237563369843,-0.427643502130611,0.159719755774222,0.31192005181947,0.168327457833702
"shannonD",0.152357433153734,0.418509680369505,0.767909709237607,-0.158876252480298,-0.0246660759819434,NA,-0.155956484197713,0.600117531708755,1,0.945279791104496,0.538542464723833,-0.0246660759819434,-0.0246660759819434,NA,0.527077472827567,-0.0345183053637532,0.247533537354769,0.123628488035332,0.408613006669589,0.0636634576085756,0.230950772956563,0.0911981509088852,0.107740563662792,0.0927270472987835,0.260560583545377,0.197801014955431,-0.434035673423166,0.286468478197093,-0.191742375359181,0.697168464262372,0.0277067236506322,0.157742665595182,-0.422295470683214,0.513609609284554,-0.333232362107518,0.277641861624949,0.701739840503514,0.197801014955431,0.68945129464571,0.676044515877377,0.598262972982795,-0.0749869495321581,0.228114194802714,0.27553198649489,-0.104526287772037,-0.312400576902811,0.0696598364667168,0.330974158786517,-0.110639098766985,-0.333683851830652,0.673465854536091,0.68983274142557,0.138842462756597,-0.0873662950673025,0.0143987839122195,0.0603648410003795,0.215094721015022,0.021145012559229,0.0341460145744479
"evenness",0.0745591602183119,0.408232992179548,0.616417551097413,-0.216032801651936,-0.096785108417929,NA,-0.0980062467076825,0.366626514864668,0.945279791104496,1,0.41412165401471,-0.096785108417929,-0.096785108417929,NA,0.396923633120145,-0.0730767116862457,0.201040030981091,0.0940953261090257,0.417440076132609,-0.0761432913381951,0.211209465464313,0.158115152331199,0.0429596241948046,-0.000489754542778076,0.244291759386975,0.436432484669702,-0.500894091103975,0.26618772141997,-0.258559388028726,0.536679130168569,-0.0567679522438614,0.16988240074456,-0.433645943888004,0.541973517134605,-0.399915248293403,0.103202373169566,0.549162106995463,0.436432484669702,0.480345167385914,0.458955338514706,0.424211074643942,-0.0535995890149545,0.0960160055922523,0.137230971383246,-0.167830177567516,-0.274610885831916,-0.00974224831722169,0.233239366460053,-0.16479995916687,-0.18122573026511,0.425667975747914,0.711839335266941,0.0888947159717583,-0.0461496335215739,-0.0698527652005954,0.285080877014734,0.203320298788086,-0.00109767964729382,0.0846296556354526
