,deploy_num,halodule,zostera,oyster,richness,shannonD,avg_shoot_density,depth_m_avg,sal_avg,comm_richness_sum,comm_shannonD_sum,carnivore,herbivore,omnivore,num_bai_chr,seagrass_perimeter,seagrass_perim.area.ratio,saltmarsh_core.area,oyster_core.area,richness_landscape,TFAvgPresentNight
deploy_num,1,-0.232082128,0.175916591,-0.264820449,-0.049487166,-0.018191306,-0.34139352,0.521841985,-0.613410014,0.518359522,0.902850789,-0.280345461,-0.264820449,0.328452558,0.004468311,-0.048743673,0.082608082,0.054034953,0.107621629,0.382518426,-0.78176339
halodule,-0.232082128,1,-0.140125219,0.305938831,0.397215402,0.152357433,0.68444865,-0.409484878,0.140839153,0.274257833,-0.034983527,0.461893181,-0.202543317,-0.094854288,0.54616052,0.263791407,-0.41076105,-0.110893696,0.042830251,-0.420109028,0.33282306
zostera,0.175916591,-0.140125219,1,-0.019582135,0.201211756,0.41850968,-0.273379045,0.203028072,-0.121119623,-0.214253797,0.186272029,0.023390427,0.18089511,-0.175952154,0.223310581,0.571715328,0.451541305,0.219736857,-0.087689342,-0.169666193,0.054616059
oyster,-0.264820449,0.305938831,-0.019582135,1,0.356753034,-0.024666076,0.534105422,0.071801424,-0.019766107,-0.061259908,-0.405501631,0.409920791,-0.090909091,-0.19832707,-0.112102411,-0.254270217,-0.272719691,0.609360884,0.644234168,-0.090909091,0.702419702
richness,-0.049487166,0.397215402,0.201211756,0.356753034,1,0.600117532,0.372565519,0.259813097,0.322238826,0.06377992,0.051039484,0.561559542,-0.254823596,0.177368433,0.689135224,0.60421467,-0.213631522,0.428671328,0.487657205,-0.050964719,0.380111731
shannonD,-0.018191306,0.152357433,0.41850968,-0.024666076,0.600117532,1,0.247533537,0.408613007,0.063663458,0.091198151,0.107740564,0.260560584,0.197801015,-0.434035673,0.277641862,0.598262973,-0.07498695,0.275531986,0.330974159,-0.087366295,0.086494997
avg_shoot_density,-0.34139352,0.68444865,-0.273379045,0.534105422,0.372565519,0.247533537,1,-0.127831528,0.016915966,0.041881973,-0.391348324,0.273563449,-0.250161903,-0.35809574,0.08412353,-0.00752997,-0.590036285,0.071863583,0.508618609,-0.030877824,0.437849355
depth_m_avg,0.521841985,-0.409484878,0.203028072,0.071801424,0.259813097,0.408613007,-0.127831528,1,-0.239396498,0.448023592,0.325697487,0.170941135,0.202349467,0.055667172,-0.252802426,0.013364114,0.121862893,0.190095956,0.667899441,0.498258365,-0.274565557
sal_avg,-0.613410014,0.140839153,-0.121119623,-0.019766107,0.322238826,0.063663458,0.016915966,-0.239396498,1,-0.238915009,-0.39350052,0.396552615,-0.019766107,0.124629089,0.304934589,0.502508131,0.412471631,-0.007706128,-0.115199775,-0.013440953,0.358506256
comm_richness_sum,0.518359522,0.274257833,-0.214253797,-0.061259908,0.06377992,0.091198151,0.041881973,0.448023592,-0.238915009,1,0.510464681,0.45266298,0.253791046,0.263684452,0.083139983,-0.110575857,-0.052542274,-0.200710834,0.214438194,0.253791046,-0.392945164
comm_shannonD_sum,0.902850789,-0.034983527,0.186272029,-0.405501631,0.051039484,0.107740564,-0.391348324,0.325697487,-0.39350052,0.510464681,1,-0.23180785,-0.30677213,0.286014901,0.245808363,0.207027546,0.14147001,0.031730647,-0.095092626,0.149465365,-0.790018126
carnivore,-0.280345461,0.461893181,0.023390427,0.409920791,0.561559542,0.260560584,0.273563449,0.170941135,0.396552615,0.45266298,-0.23180785,1,0.418381692,0.262697177,0.439647484,0.232232264,0.03479651,0.099171384,0.251827635,0.010416282,0.543813784
herbivore,-0.264820449,-0.202543317,0.18089511,-0.090909091,-0.254823596,0.197801015,-0.250161903,0.202349467,-0.019766107,0.253791046,-0.30677213,0.418381692,1,-0.168964464,-0.239206987,-0.150427683,0.211487895,-0.217086799,-0.144387494,-0.090909091,0.212998261
omnivore,0.328452558,-0.094854288,-0.175952154,-0.19832707,0.177368433,-0.434035673,-0.35809574,0.055667172,0.124629089,0.263684452,0.286014901,0.262697177,-0.168964464,1,0.465311874,0.006728495,0.116587084,-0.166034297,-0.197877793,0.350588348,-0.171685402
num_bai_chr,0.004468311,0.54616052,0.223310581,-0.112102411,0.689135224,0.277641862,0.08412353,-0.252802426,0.304934589,0.083139983,0.245808363,0.439647484,-0.239206987,0.465311874,1,0.683509334,-0.086609576,0.004697183,-0.234565324,-0.256467682,0.154260893
seagrass_perimeter,-0.048743673,0.263791407,0.571715328,-0.254270217,0.60421467,0.598262973,-0.00752997,0.013364114,0.502508131,-0.110575857,0.207027546,0.232232264,-0.150427683,0.006728495,0.683509334,1,0.354325846,0.029847902,-0.111585505,-0.155029732,0.010881571
seagrass_perim.area.ratio,0.082608082,-0.41076105,0.451541305,-0.272719691,-0.213631522,-0.07498695,-0.590036285,0.121862893,0.412471631,-0.052542274,0.14147001,0.03479651,0.211487895,0.116587084,-0.086609576,0.354325846,1,0.059690278,-0.338837697,0.327591185,-0.219113111
saltmarsh_core.area,0.054034953,-0.110893696,0.219736857,0.609360884,0.428671328,0.275531986,0.071863583,0.190095956,-0.007706128,-0.200710834,0.031730647,0.099171384,-0.217086799,-0.166034297,0.004697183,0.029847902,0.059690278,1,0.410301431,0.11438663,0.302499218
oyster_core.area,0.107621629,0.042830251,-0.087689342,0.644234168,0.487657205,0.330974159,0.508618609,0.667899441,-0.115199775,0.214438194,-0.095092626,0.251827635,-0.144387494,-0.197877793,-0.234565324,-0.111585505,-0.338837697,0.410301431,1,0.244129018,0.21468714
richness_landscape,0.382518426,-0.420109028,-0.169666193,-0.090909091,-0.050964719,-0.087366295,-0.030877824,0.498258365,-0.013440953,0.253791046,0.149465365,0.010416282,-0.090909091,0.350588348,-0.256467682,-0.155029732,0.327591185,0.11438663,0.244129018,1,-0.365970439
