Site,PerchPercentPresenceNight,PerchAvgPresentNight,PerchMaxRate
C7,20,256.3,1084
S10,38,74.82894737,565
S12,17,414,1322
M2,42,648.5952381,1784
C2,16.84210526,786.84375,1708
S2,0.877192982,81.5,149
S4,24.21052632,350.3913043,1010
M1,54.21052632,221.3495146,1295
CB,2.051282051,10.125,18
SB,0,0,0
SC,0,0,0
MA,43.58974359,1083.037433,2348
C8,0,0,0
S6,0,0,0
S9,0.56980057,130.5,151
M7,1.709401709,52.66666667,150
C4,1.219512195,90.33333333,96
C5,0.406504065,173,173
S14,0,0,0
S15,0,0,0
C3,0,0,0
C6,0,0,0
S1,0,0,0
S17,0,0,0
