Var1,Var2,Var3,Var4,Var5
C7,245.046031746032,53.2478947368421,145.03117201426,22.441836972751
S10,89.6033333333333,25.58,69.8368764568765,11.0208333333333
S12,326.573333333333,70.1,288.449696969697,29.3354166666667
M2,642.687781954887,270.05,549.634426065163,112.614583333333
C2,772.417857142857,137.236842105263,772.417857142857,54.3229166666667
S2,NaN,0.635964912280702,NaN,0.373263888888889
S4,314.70119047619,75.4894736842105,302.717857142857,29.9125
M1,226.225832763728,122.736842105263,214.525607655502,48.8310726950355
CB,NaN,0.169230769230769,15.7962962962963,0.245833333333333
SB,NaN,0,NaN,0.065625
SC,NaN,0.369230769230769,NaN,0.279166666666667
MA,1063.97137008585,478.855477855478,1021.25393288261,194.586174242424
C8,11,0.0313390313390313,NaN,0.0335648148148148
S6,NaN,0,NaN,0
S9,127.5,0.726495726495726,127.5,0.295138888888889
M7,NaN,0.965811965811966,NaN,0.431712962962963
C4,NaN,1.0650406504065,NaN,0.454861111111111
C5,172,0.699186991869919,172,0.298611111111111
S14,1,0.00434782608695652,NaN,0.0861111111111111
S15,1,0.00526315789473684,NaN,0.253951149425287
C3,9,0.0348837209302326,9,0.015625
C6,NaN,0,NaN,0.0225694444444444
S1,5,0.0193798449612403,5,0.00868055555555556
S17,NaN,0,19,0.0659722222222222
