low_spl,site
77.2921221,C7
80.97856523,C7
85.71195739,C7
81.61773291,C7
83.68316584,C7
80.72978853,C7
82.19382356,C7
83.25839331,C7
85.20590546,C7
88.37799929,C7
84.77170201,C7
97.6816223,C7
91.75910344,C7
88.9247469,C7
91.76444182,C7
89.4730801,C7
89.32688845,C7
80.95627282,C7
84.59372795,C7
83.47573994,C7
88.25056442,C7
88.69684811,C7
87.26362327,C7
85.35747721,C7
88.05433449,C7
91.52452956,C7
91.1356005,C7
93.29573939,C7
85.35157598,C7
87.53384774,C7
87.74685586,C7
91.02270583,C7
111.0562321,C7
81.77303613,C7
82.18780878,C7
77.83560186,C7
80.88262624,C7
80.93598375,C7
82.78541873,C7
89.5395248,C7
92.23499443,C7
90.69001658,C7
90.41896528,C7
86.71245416,C7
106.3399714,C7
88.38523315,C7
82.57822913,C7
84.24570012,C7
84.31352615,C7
80.08277199,C7
85.9964609,C7
90.27078578,C7
89.23344551,C7
88.79654401,C7
87.86363394,C7
89.80407204,C7
88.55907357,C7
90.34407408,C7
87.05506472,C7
85.28264715,C7
107.2469895,C7
112.626841,C7
107.5087321,C7
101.6529171,C7
96.40919481,C7
87.75732371,C7
84.85130672,C7
106.8108499,C7
90.57490654,C7
91.48817361,C7
88.85266922,C7
89.81886276,C7
86.19791203,C7
86.80429995,C7
88.35850775,C7
89.94440041,C7
114.1920529,C7
110.3509159,C7
114.693871,C7
90.24505241,C7
89.54222512,C7
85.40772339,S10
88.28772396,S10
88.41823246,S10
88.16711561,S10
89.6603253,S10
89.86847644,S10
89.74144661,S10
90.37678495,S10
92.28675611,S10
93.20759016,S10
95.29533537,S10
101.2050877,S10
101.6590707,S10
100.0220164,S10
99.62670922,S10
99.89514783,S10
94.2489087,S10
88.70113252,S10
86.76755812,S10
88.86658461,S10
90.50236056,S10
92.46289887,S10
91.12455512,S10
97.24259781,S10
96.41029925,S10
96.53336405,S10
97.37028827,S10
97.72381886,S10
97.53709665,S10
95.96289765,S10
94.83554687,S10
93.37095384,S10
92.07589013,S10
91.40446136,S10
88.76402093,S10
94.49641936,S10
93.79961454,S10
97.61913505,S10
99.25945649,S10
100.0352444,S10
100.1252144,S10
99.25716356,S10
