deployment,temperature
1,20.3
1,20
1,19.8
1,19.4
1,19.4
1,19.2
1,19.1
1,19.1
1,19.2
1,19.3
1,19.4
1,19.6
1,19.7
1,19.9
1,19.9
1,19.8
1,19.6
1,19.5
1,19.4
1,19.4
1,19.4
1,19.4
1,19.4
1,19.4
1,19.4
1,19.4
1,19.4
1,19.5
1,19.6
1,19.7
1,19.6
1,19.6
1,19.7
1,19.6
1,19.4
1,19.4
1,19.3
1,19.2
1,19.2
1,19.2
1,19.4
1,19.5
1,19.8
1,20
1,20.3
1,20.4
1,20.8
1,21.6
1,22.3
1,22.7
1,23
1,23.4
1,23.5
1,23.9
1,24.1
1,24.5
1,24.5
1,24.2
1,24
1,23.5
1,22.9
1,22.4
1,22.1
1,21.9
1,21.9
1,21.8
1,21.7
1,21.6
1,21.6
1,21.5
1,21.5
1,21.5
1,21.4
1,21.4
1,21.3
1,21.2
1,21.1
1,21.1
1,21
1,21
1,20.9
1,20.9
1,20.9
1,20.9
1,20.8
1,20.8
1,20.7
1,20.6
1,20.5
1,20.4
1,20.4
1,20.4
1,20.4
1,20.4
1,20.4
1,20.4
1,20.3
1,20.2
1,19.9
1,19.8
1,19.7
1,19.6
1,19.6
1,19.6
1,19.7
1,19.7
1,19.6
1,19.6
1,19.4
1,19.4
1,19.5
1,19.8
1,20
1,20.2
1,20.3
1,20.2
1,20.1
1,20
1,20.1
1,20.1
1,20.1
1,20.1
1,20.1
1,20.1
1,20.2
1,20.3
1,20.3
1,20.4
1,20.4
1,20.6
1,20.7
1,20.8
1,20.8
1,20.8
1,20.9
1,21
1,21.2
1,21.4
1,21.7
1,21.9
1,22.2
1,22.4
1,22.8
1,23.4
1,24
1,24.6
1,25
1,25.3
1,25.7
1,26
1,26.3
1,26.5
1,26.6
1,26.6
1,26.6
1,26.7
1,26.6
1,26.5
1,26.3
1,25.3
1,24.6
1,24
1,23.8
1,23.5
1,23.3
1,23
1,22.8
1,22.7
1,22.6
1,22.4
1,22.4
1,22.3
1,22.1
1,22.1
1,22
1,21.9
1,21.8
1,21.7
1,21.7
1,21.6
1,21.6
1,21.5
1,21.5
1,21.5
1,21.6
1,21.6
1,21.6
1,21.6
1,21.6
1,21.6
1,21.6
1,21.6
1,21.7
1,21.7
1,21.7
1,21.4
1,21.3
1,21.1
1,20.9
1,20.9
1,20.9
1,20.8
1,20.8
1,20.8
1,20.8
1,20.7
1,20.7
1,20.7
1,20.7
1,20.7
1,20.7
1,20.8
1,21
1,21.2
1,21.4
1,21.3
1,21.1
1,21
1,21
1,21
1,21
1,21
1,21
1,21
1,21.1
1,21.1
1,21.2
1,21.4
1,21.4
1,21.4
1,21.5
1,21.6
1,21.8
1,22
1,22.3
1,22.6
1,22.9
1,23.3
1,23.5
1,23.9
1,24.1
1,24.7
1,25
1,25.3
1,25.5
1,26
