Site,BoatMaxRateAll,BoatAvgPresent,BoatPercentPresence,nFiles
C7,5,1.52173913,4.791666667,480
S10,9,3.204545455,9.166666667,480
S12,3,1.321428571,5.833333333,480
M2,4,2,2.916666667,480
C2,11,2.597315436,31.04166667,480
S2,3,1.423076923,9.027777778,576
S4,8,1.692810458,31.875,480
M1,8,2.393939394,6.875,480
CB,4,1.5,3.125,960
SB,2,1.180555556,7.5,960
SC,4,1.295081967,19.0625,960
MA,1,1,0.09469697,1056
C8,0,NaN,0,864
S6,2,1.2,1.736111111,864
S9,7,1.682692308,12.03703704,864
M7,1,1,0.231481481,864
C4,7,1.921568627,26.5625,576
C5,7,1.886010363,33.50694444,576
S14,0,NaN,0,864
S15,0,NaN,0,864
C3,1,1,0.868055556,576
C6,1,1,0.694444444,576
S1,2,1.055555556,3.125,576
S17,2,2,0.173611111,576
