,deploy_num,zostera,saltmarsh,shannonD,richness_comb,total_cover,depth_m_avg,sal_avg,carnivore,herbivore,omnivore,soniferous_S,num_bai_chr,seagrass_core.area,seagrass_perimeter,seagrass_perim.area.ratio,saltmarsh_perim.area.ratio,oyster_core.area,habitat_total,NNratio,richness_landscape,TFAvgPresentNight
deploy_num,1,0.099457788,0.356182142,0.093050192,0.224661684,0.139769926,0.258768413,-0.566163634,-0.126188157,-0.183140309,0.378840514,0.310317965,-0.005775302,0.080655271,0.002467337,-0.141736427,0.051333039,-0.051259223,0.14519855,0.028551136,0.254728317,-0.516526928
zostera,0.099457788,1,-0.315386605,0.298280933,-0.110691099,0.465315144,-0.006049251,-0.08292058,0.470376666,0.266688919,-0.01044477,0.500619213,0.447172849,0.412791565,0.573413898,0.011409443,-0.332493448,-0.247931958,-0.109956281,-0.043085936,-0.208392056,0.112760904
saltmarsh,0.356182142,-0.315386605,1,0.120346541,0.588943085,-0.022703016,0.121415512,-0.235550769,-0.395324896,-0.109495622,-0.123046278,-0.427252466,-0.254601372,-0.304606198,-0.272080948,-0.065572677,0.256657347,0.217185455,0.275293768,0.135470793,0.228701064,-0.133359731
shannonD,0.093050192,0.298280933,0.120346541,1,0.492996534,0.451520201,0.260943824,-0.014326068,0.192832429,0.159297552,-0.185823962,0.182444086,0.228317972,0.253819291,0.330216837,-0.100362495,0.092230728,0.264923806,0.362877377,0.536036676,-0.022306497,0.176783622
richness_comb,0.224661684,-0.110691099,0.588943085,0.492996534,1,0.399433522,0.259294633,-0.181871977,-0.05703153,-0.061541083,0.086872232,-0.110151656,-0.107448574,-0.246938465,0.011162623,-0.043048709,0.300137826,0.49708895,0.590871482,0.281566015,0.199726277,0.349355154
total_cover,0.139769926,0.465315144,-0.022703016,0.451520201,0.399433522,1,0.043001294,-0.119330074,0.592084945,0.024991493,0.123756506,0.520723055,0.595299981,0.515990506,0.660310308,-0.134706157,-0.255223137,0.149546831,0.243525455,-0.095881947,-0.156279379,0.474392477
depth_m_avg,0.258768413,-0.006049251,0.121415512,0.260943824,0.259294633,0.043001294,1,-0.24130279,-0.06964958,0.090070475,0.007526419,0.042164205,-0.232670771,-0.133590091,0.047686448,-0.219569464,0.142889184,0.556141432,0.354094232,0.317908519,0.166395238,0.273216686
sal_avg,-0.566163634,-0.08292058,-0.235550769,-0.014326068,-0.181871977,-0.119330074,-0.24130279,1,0.226088512,-0.016264687,-0.050142897,-0.221833221,0.234790029,0.20820872,0.287422759,0.229668951,0.001911241,-0.173225145,0.05404608,0.007725181,0.009426007,0.165274922
carnivore,-0.126188157,0.470376666,-0.395324896,0.192832429,-0.05703153,0.592084945,-0.06964958,0.226088512,1,0.423538662,0.232874387,0.611895037,0.618180661,0.514592425,0.41234061,-0.127601491,-0.245792186,-0.197911999,-0.220192031,-0.093317536,-0.140009559,0.31853367
herbivore,-0.183140309,0.266688919,-0.109495622,0.159297552,-0.061541083,0.024991493,0.090070475,-0.016264687,0.423538662,1,-0.085168498,0.146303901,-0.103485626,-0.090546617,-0.026704558,0.030795044,-0.235773997,-0.139856073,-0.182764389,0.076951935,-0.100789246,0.153126092
omnivore,0.378840514,-0.01044477,-0.123046278,-0.185823962,0.086872232,0.123756506,0.007526419,-0.050142897,0.232874387,-0.085168498,1,0.229257614,0.35368206,0.102310538,0.209712695,0.066680911,0.015324204,-0.057437165,0.116928198,-0.233934459,0.186558017,-0.162082624
soniferous_S,0.310317965,0.500619213,-0.427252466,0.182444086,-0.110151656,0.520723055,0.042164205,-0.221833221,0.611895037,0.146303901,0.229257614,1,0.389487924,0.550117491,0.3774557,-0.174447362,-0.299508047,-0.18269423,-0.207798598,0.026725319,-0.059171685,-0.065149082
num_bai_chr,-0.005775302,0.447172849,-0.254601372,0.228317972,-0.107448574,0.595299981,-0.232670771,0.234790029,0.618180661,-0.103485626,0.35368206,0.389487924,1,0.693680074,0.627974554,-0.120960396,-0.176119256,-0.256915733,-0.036463226,-0.166926229,-0.250159649,0.155480655
seagrass_core.area,0.080655271,0.412791565,-0.304606198,0.253819291,-0.246938465,0.515990506,-0.133590091,0.20820872,0.514592425,-0.090546617,0.102310538,0.550117491,0.693680074,1,0.683421938,-0.246793053,-0.243071767,-0.09547504,-0.031127429,0.103505592,-0.116672415,0.060740625
seagrass_perimeter,0.002467337,0.573413898,-0.272080948,0.330216837,0.011162623,0.660310308,0.047686448,0.287422759,0.41234061,-0.026704558,0.209712695,0.3774557,0.627974554,0.683421938,1,0.15991002,-0.324674416,0.078691877,0.345608261,-0.057573801,-0.005031529,0.311170285
seagrass_perim.area.ratio,-0.141736427,0.011409443,-0.065572677,-0.100362495,-0.043048709,-0.134706157,-0.219569464,0.229668951,-0.127601491,0.030795044,0.066680911,-0.174447362,-0.120960396,-0.246793053,0.15991002,1,-0.080068044,-0.059045172,0.203011606,-0.149182755,0.493842093,-0.100171191
saltmarsh_perim.area.ratio,0.051333039,-0.332493448,0.256657347,0.092230728,0.300137826,-0.255223137,0.142889184,0.001911241,-0.245792186,-0.235773997,0.015324204,-0.299508047,-0.176119256,-0.243071767,-0.324674416,-0.080068044,1,0.279738905,-0.113454166,0.662191076,0.506166029,-0.056034152
oyster_core.area,-0.051259223,-0.247931958,0.217185455,0.264923806,0.49708895,0.149546831,0.556141432,-0.173225145,-0.197911999,-0.139856073,-0.057437165,-0.18269423,-0.256915733,-0.09547504,0.078691877,-0.059045172,0.279738905,1,0.501011,0.439516449,0.211161273,0.538413374
habitat_total,0.14519855,-0.109956281,0.275293768,0.362877377,0.590871482,0.243525455,0.354094232,0.05404608,-0.220192031,-0.182764389,0.116928198,-0.207798598,-0.036463226,-0.031127429,0.345608261,0.203011606,-0.113454166,0.501011,1,-0.027625337,0.259432587,0.34607792
NNratio,0.028551136,-0.043085936,0.135470793,0.536036676,0.281566015,-0.095881947,0.317908519,0.007725181,-0.093317536,0.076951935,-0.233934459,0.026725319,-0.166926229,0.103505592,-0.057573801,-0.149182755,0.662191076,0.439516449,-0.027625337,1,0.29440319,-0.0149502
richness_landscape,0.254728317,-0.208392056,0.228701064,-0.022306497,0.199726277,-0.156279379,0.166395238,0.009426007,-0.140009559,-0.100789246,0.186558017,-0.059171685,-0.250159649,-0.116672415,-0.005031529,0.493842093,0.506166029,0.211161273,0.259432587,0.29440319,1,-0.17433793
TFAvgPresentNight,-0.516526928,0.112760904,-0.133359731,0.176783622,0.349355154,0.474392477,0.273216686,0.165274922,0.31853367,0.153126092,-0.162082624,-0.065149082,0.155480655,0.060740625,0.311170285,-0.100171191,-0.056034152,0.538413374,0.34607792,-0.0149502,-0.17433793,1
