,deploy_num,halodule,zostera,ruppia,saltmarsh,richness,shannonD,richness_comb,depth_m_avg,sal_avg,comm_shannonD_sum,herbivore,omnivore,num_bai_chr,seagrass_core.area,seagrass_perimeter,seagrass_perim.area.ratio,saltmarsh_area,saltmarsh_perim.area.ratio,oyster_perimeter,oyster_perim.area.ratio,NNratio,dist2adjPatch,avg_temp,avg_spl_low
deploy_num,1,-0.083695986,0.099457788,0.010933746,0.356182142,0.197385508,0.093050192,0.224661684,0.258768413,-0.566163634,0.273503228,-0.183140309,0.378840514,-0.005775302,0.080655271,0.002467337,-0.141736427,0.126938233,0.051333039,0.127715141,0.060060243,0.028551136,-0.065393089,0.655712403,-0.211463119
halodule,-0.083695986,1,0.46194773,0.297253753,-0.452482644,0.581981914,0.137620127,-0.107239982,-0.297837363,0.067602565,0.484838472,0.080058475,0.094235045,0.659253532,0.609134692,0.438382261,-0.220471052,-0.46663597,-0.292499625,-0.430811087,-0.476678267,-0.18540435,0.033308996,0.321878499,-0.492794399
zostera,0.099457788,0.46194773,1,0.296929214,-0.315386605,0.411431084,0.298280933,-0.110691099,-0.006049251,-0.08292058,0.402138693,0.266688919,-0.01044477,0.447172849,0.412791565,0.573413898,0.011409443,-0.280311611,-0.332493448,-0.255244441,-0.165090389,-0.043085936,0.043240526,0.214669743,-0.141655464
ruppia,0.010933746,0.297253753,0.296929214,1,-0.167327395,0.386694094,0.555209546,-0.094044939,0.019234332,0.189937349,0.28329766,-0.066441963,-0.100841094,0.468178134,0.605474763,0.501825858,-0.066491497,-0.085228453,-0.242990383,-0.188033746,-0.426059727,0.130465125,-0.025793925,0.100688501,-0.307911591
saltmarsh,0.356182142,-0.452482644,-0.315386605,-0.167327395,1,0.070807511,0.120346541,0.588943085,0.121415512,-0.235550769,-0.072553536,-0.109495622,-0.123046278,-0.254601372,-0.304606198,-0.272080948,-0.065572677,0.385440966,0.256657347,0.272267509,0.198124701,0.135470793,-0.142362423,0.079134797,-0.029843706
richness,0.197385508,0.581981914,0.411431084,0.386694094,0.070807511,1,0.610076912,0.612870097,0.117387801,-0.026294705,0.603621445,0.028116078,0.247650153,0.513941398,0.424887581,0.498328774,-0.16897729,0.082255553,-0.001187191,0.076974028,-0.133881698,0.177390559,-0.31923662,0.408630681,-0.58543111
shannonD,0.093050192,0.137620127,0.298280933,0.555209546,0.120346541,0.610076912,1,0.492996534,0.260943824,-0.014326068,0.1294077,0.159297552,-0.185823962,0.228317972,0.253819291,0.330216837,-0.100362495,0.239288481,0.092230728,0.198024167,-0.072059938,0.536036676,-0.13331864,0.095360887,-0.169396845
richness_comb,0.224661684,-0.107239982,-0.110691099,-0.094044939,0.588943085,0.612870097,0.492996534,1,0.259294633,-0.181871977,0.202355996,-0.061541083,0.086872232,-0.107448574,-0.246938465,0.011162623,-0.043048709,0.6049232,0.300137826,0.564140709,0.25726985,0.281566015,-0.369753763,0.207385826,-0.252455194
depth_m_avg,0.258768413,-0.297837363,-0.006049251,0.019234332,0.121415512,0.117387801,0.260943824,0.259294633,1,-0.24130279,0.022608036,0.090070475,0.007526419,-0.232670771,-0.133590091,0.047686448,-0.219569464,0.295245457,0.142889184,0.547605021,0.222263336,0.317908519,-0.106513533,0.121066943,0.267627017
sal_avg,-0.566163634,0.067602565,-0.08292058,0.189937349,-0.235550769,-0.026294705,-0.014326068,-0.181871977,-0.24130279,1,-0.165051523,-0.016264687,-0.050142897,0.234790029,0.20820872,0.287422759,0.229668951,-0.001078329,0.001911241,-0.192505052,0.029960931,0.007725181,-0.025690037,-0.048731789,-0.136125463
comm_shannonD_sum,0.273503228,0.484838472,0.402138693,0.28329766,-0.072553536,0.603621445,0.1294077,0.202355996,0.022608036,-0.165051523,1,-0.013099891,0.298068233,0.369969002,0.338658495,0.42315637,-0.082552702,0.003222036,-0.19664575,-0.250957028,-0.165862611,-0.009728133,-0.192310706,0.41318747,-0.56335046
herbivore,-0.183140309,0.080058475,0.266688919,-0.066441963,-0.109495622,0.028116078,0.159297552,-0.061541083,0.090070475,-0.016264687,-0.013099891,1,-0.085168498,-0.103485626,-0.090546617,-0.026704558,0.030795044,-0.157704368,-0.235773997,-0.11406113,0.187097109,0.076951935,-0.060553235,-0.015889919,0.151675733
omnivore,0.378840514,0.094235045,-0.01044477,-0.100841094,-0.123046278,0.247650153,-0.185823962,0.086872232,0.007526419,-0.050142897,0.298068233,-0.085168498,1,0.35368206,0.102310538,0.209712695,0.066680911,0.045984826,0.015324204,0.096091159,0.138146007,-0.233934459,-0.1371433,0.355680484,-0.182865483
num_bai_chr,-0.005775302,0.659253532,0.447172849,0.468178134,-0.254601372,0.513941398,0.228317972,-0.107448574,-0.232670771,0.234790029,0.369969002,-0.103485626,0.35368206,1,0.693680074,0.627974554,-0.120960396,-0.269457332,-0.176119256,-0.273103394,-0.401215336,-0.166926229,0.14112398,0.337319913,-0.378198921
seagrass_core.area,0.080655271,0.609134692,0.412791565,0.605474763,-0.304606198,0.424887581,0.253819291,-0.246938465,-0.133590091,0.20820872,0.338658495,-0.090546617,0.102310538,0.693680074,1,0.683421938,-0.246793053,-0.354141876,-0.243071767,-0.316706408,-0.529524256,0.103505592,0.008535005,0.352053297,-0.389772887
seagrass_perimeter,0.002467337,0.438382261,0.573413898,0.501825858,-0.272080948,0.498328774,0.330216837,0.011162623,0.047686448,0.287422759,0.42315637,-0.026704558,0.209712695,0.627974554,0.683421938,1,0.15991002,0.007064153,-0.324674416,0.093300421,-0.281136421,-0.057573801,-0.038872124,0.327236316,-0.139414603
