,deploy_num,zostera,saltmarsh,evenness,richness_comb,total_cover,depth_m_avg,sal_avg,total_abund_sum,omnivore,soniferous_S,num_ops_tau,seagrass_perimeter,seagrass_perim.area.ratio,saltmarsh_perim.area.ratio,oyster_area,NNratio,richness_landscape,avg_temp,ToadCallRate
deploy_num,1,0.099457788,0.356182142,0.110123113,0.224661684,0.139769926,0.258768413,-0.566163634,-0.104073296,0.378840514,0.310317965,-0.183140309,0.002467337,-0.141736427,0.051333039,0.085799701,0.028551136,0.254728317,0.655712403,-0.465550583
zostera,0.099457788,1,-0.315386605,0.143468726,-0.110691099,0.465315144,-0.006049251,-0.08292058,0.463294884,-0.01044477,0.500619213,0.266688919,0.573413898,0.011409443,-0.332493448,-0.2666588,-0.043085936,-0.208392056,0.214669743,0.030905366
saltmarsh,0.356182142,-0.315386605,1,0.24016277,0.588943085,-0.022703016,0.121415512,-0.235550769,-0.396429988,-0.123046278,-0.427252466,-0.109495622,-0.272080948,-0.065572677,0.256657347,0.261896456,0.135470793,0.228701064,0.079134797,-0.081872524
evenness,0.110123113,0.143468726,0.24016277,1,0.611478416,0.310436959,0.271451887,-0.103737718,0.024356703,-0.186930885,0.014739902,0.228432442,0.120094358,-0.075670649,0.229563594,0.310942535,0.563582973,0.04219349,0.032970995,0.129004375
richness_comb,0.224661684,-0.110691099,0.588943085,0.611478416,1,0.399433522,0.259294633,-0.181871977,-0.051572395,0.086872232,-0.110151656,-0.061541083,0.011162623,-0.043048709,0.300137826,0.565801129,0.281566015,0.199726277,0.207385826,0.329317873
total_cover,0.139769926,0.465315144,-0.022703016,0.310436959,0.399433522,1,0.043001294,-0.119330074,0.590424303,0.123756506,0.520723055,0.024991493,0.660310308,-0.134706157,-0.255223137,0.182205612,-0.095881947,-0.156279379,0.387331799,0.39726488
depth_m_avg,0.258768413,-0.006049251,0.121415512,0.271451887,0.259294633,0.043001294,1,-0.24130279,-0.068227892,0.007526419,0.042164205,0.090070475,0.047686448,-0.219569464,0.142889184,0.5542786,0.317908519,0.166395238,0.121066943,0.230710792
sal_avg,-0.566163634,-0.08292058,-0.235550769,-0.103737718,-0.181871977,-0.119330074,-0.24130279,1,0.220196903,-0.050142897,-0.221833221,-0.016264687,0.287422759,0.229668951,0.001911241,-0.198248152,0.007725181,0.009426007,-0.048731789,0.144178231
total_abund_sum,-0.104073296,0.463294884,-0.396429988,0.024356703,-0.051572395,0.590424303,-0.068227892,0.220196903,1,0.283436057,0.61568692,0.413378929,0.417821671,-0.122200096,-0.241597993,-0.29597788,-0.104576292,-0.128026824,0.404508472,0.222646158
omnivore,0.378840514,-0.01044477,-0.123046278,-0.186930885,0.086872232,0.123756506,0.007526419,-0.050142897,0.283436057,1,0.229257614,-0.085168498,0.209712695,0.066680911,0.015324204,0.080747356,-0.233934459,0.186558017,0.355680484,-0.199898581
soniferous_S,0.310317965,0.500619213,-0.427252466,0.014739902,-0.110151656,0.520723055,0.042164205,-0.221833221,0.61568692,0.229257614,1,0.146303901,0.3774557,-0.174447362,-0.299508047,-0.336200062,0.026725319,-0.059171685,0.427245826,-0.131056974
num_ops_tau,-0.183140309,0.266688919,-0.109495622,0.228432442,-0.061541083,0.024991493,0.090070475,-0.016264687,0.413378929,-0.085168498,0.146303901,1,-0.026704558,0.030795044,-0.235773997,-0.124319334,0.076951935,-0.100789246,-0.015889919,0.150531642
seagrass_perimeter,0.002467337,0.573413898,-0.272080948,0.120094358,0.011162623,0.660310308,0.047686448,0.287422759,0.417821671,0.209712695,0.3774557,-0.026704558,1,0.15991002,-0.324674416,0.111416306,-0.057573801,-0.005031529,0.327236316,0.267490257
seagrass_perim.area.ratio,-0.141736427,0.011409443,-0.065572677,-0.075670649,-0.043048709,-0.134706157,-0.219569464,0.229668951,-0.122200096,0.066680911,-0.174447362,0.030795044,0.15991002,1,-0.080068044,0.114305698,-0.149182755,0.493842093,-0.100191584,-0.062760138
saltmarsh_perim.area.ratio,0.051333039,-0.332493448,0.256657347,0.229563594,0.300137826,-0.255223137,0.142889184,0.001911241,-0.241597993,0.015324204,-0.299508047,-0.235773997,-0.324674416,-0.080068044,1,0.150585549,0.662191076,0.506166029,-0.085144248,-0.097935244
oyster_area,0.085799701,-0.2666588,0.261896456,0.310942535,0.565801129,0.182205612,0.5542786,-0.198248152,-0.29597788,0.080747356,-0.336200062,-0.124319334,0.111416306,0.114305698,0.150585549,1,0.129975621,0.234571855,-0.049791412,0.585651228
NNratio,0.028551136,-0.043085936,0.135470793,0.563582973,0.281566015,-0.095881947,0.317908519,0.007725181,-0.104576292,-0.233934459,0.026725319,0.076951935,-0.057573801,-0.149182755,0.662191076,0.129975621,1,0.29440319,-0.067552861,-0.03623537
richness_landscape,0.254728317,-0.208392056,0.228701064,0.04219349,0.199726277,-0.156279379,0.166395238,0.009426007,-0.128026824,0.186558017,-0.059171685,-0.100789246,-0.005031529,0.493842093,0.506166029,0.234571855,0.29440319,1,0.212577577,-0.130667916
avg_temp,0.655712403,0.214669743,0.079134797,0.032970995,0.207385826,0.387331799,0.121066943,-0.048731789,0.404508472,0.355680484,0.427245826,-0.015889919,0.327236316,-0.100191584,-0.085144248,-0.049791412,-0.067552861,0.212577577,1,-0.113802556
ToadCallRate,-0.465550583,0.030905366,-0.081872524,0.129004375,0.329317873,0.39726488,0.230710792,0.144178231,0.222646158,-0.199898581,-0.131056974,0.150531642,0.267490257,-0.062760138,-0.097935244,0.585651228,-0.03623537,-0.130667916,-0.113802556,1
