,deploy_num,halodule,algae,oyster,saltmarsh,other,shannonD,evenness,seagrass,shannonD_comb,evenness_comb,total_cover,avg_blade_length,max10,depth_m_avg,sal_avg,total_abund_sum,comm_richness_sum,comm_shannonD_sum,carnivore,omnivore,soniferous_S,detritivore,invertivore,omni_2,planktivore,num_bai_chr,seagrass_area,seagrass_core.area,seagrass_perimeter,seagrass_perim.area.ratio,saltmarsh_area,saltmarsh_core.area,saltmarsh_perimeter,saltmarsh_perim.area.ratio,oyster_area,oyster_core.area,oyster_perimeter,oyster_perim.area.ratio,habitat_total,NNratio,dist2adjPatch,richness_landscape,avg_temp,avgTempAll,avgTempNight,medTemp,minTemp,maxTemp,avg_spl_low,avg_spl_high,TFPercentPresenceNight,TFAvgPresentNight,TFMaxRate,PerchPercentPresenceNight,PerchAvgPresentNight,PerchMaxRate
deploy_num,1,-0.21821789,-0.418146603,-0.092455526,0.516257504,-0.21821789,-0.234451208,-0.234451208,-0.21821789,-0.234451208,-0.234451208,0.239846508,-0.21821789,-0.21821789,-0.138920289,-0.554700196,0.422241627,-0.038662234,-0.320735858,0.156512066,0.416200156,-0.092450033,0.447906688,0.156512066,-0.106886834,-0.21821789,-0.654653671,0.028416611,0.45132212,-0.15240686,0.032441912,-0.079582336,-0.081158902,-0.221708334,-0.291934184,-0.163667248,-0.524735239,-0.071841156,-0.00037105,-0.099814235,-0.455475996,-0.006947488,0.333333333,0.712451429,0.636824352,0.700807071,0.686081651,0.708891991,0.015289102,-0.075118841,0.385817459,-0.430278789,-0.62133075,-0.560971128,-0.87292202,-0.599373124,-0.763051971
halodule,-0.21821789,1,-0.32736537,-0.38243824,-0.081936334,1,-0.224972407,-0.224972407,1,-0.224972407,-0.224972407,-0.472158744,1,1,-0.384765941,0.544704779,0.141630088,0.531517837,0.748970183,0.337040721,0.066777254,0.544704779,-0.076930124,0.337040721,0.967107829,1,-0.142857143,0.048893693,-0.149668204,0.080536628,0.276725175,0.627723259,0.717563363,-0.269548206,-0.420492958,-0.470362687,-0.454529797,-0.460619425,0.652534519,0.429545122,-0.327272069,0.202264789,0.21821789,0.295232324,0.237322761,0.253935863,0.228774924,0.21702506,0.053798735,-0.372866023,-0.542969266,-0.211990291,-0.242167048,-0.222122061,-0.146398136,-0.232043947,-0.228476634
algae,-0.418146603,-0.32736537,1,0.78213274,-0.333378296,-0.32736537,-0.037337808,-0.037337808,-0.32736537,-0.037337808,-0.037337808,0.694854754,-0.32736537,-0.32736537,0.338368735,-0.254781481,-0.150302959,-0.067174425,-0.120239442,-0.223066958,-0.105319472,-0.043992451,-0.058771243,-0.223066958,-0.333186899,-0.32736537,0.08541168,0.588124674,0.109549276,0.717461849,0.340491765,0.123322476,0.080885061,0.199165153,-0.234262814,0.836344714,0.815539364,0.773978213,-0.369511792,0.384094805,-0.171579577,-0.109887041,0.091904992,-0.401139071,-0.317913503,-0.258594606,-0.33677122,-0.044433185,-0.326800269,0.751905896,0.557188683,0.762201543,0.790939105,0.809100504,0.631496854,0.923237619,0.835005461
oyster,-0.092455526,-0.38243824,0.78213274,1,-0.528988056,-0.38243824,-0.126947001,-0.126947001,-0.38243824,-0.126947001,-0.126947001,0.796064601,-0.38243824,-0.38243824,0.613452365,-0.267517507,0.285262863,0.154722931,-0.189940787,-0.156326408,0.348254578,0.143247945,0.402394602,-0.156326408,-0.270116118,-0.38243824,-0.170051996,0.733609973,0.267039948,0.819268959,0.294357072,0.289781311,0.201955048,0.48073242,-0.3207553,0.969192176,0.715825209,0.959391098,-0.238063633,0.576828284,-0.297833036,-0.14722425,0.089758313,-0.11410791,-0.057887995,0.006191648,-0.060613606,0.137015344,-0.188439522,0.750851653,0.672675096,0.752869831,0.696155114,0.73285664,0.362226112,0.704246823,0.591521098
saltmarsh,0.516257504,-0.081936334,-0.333378296,-0.528988056,1,-0.081936334,-0.415752242,-0.415752242,-0.081936334,-0.415752242,-0.415752242,0.090959202,-0.081936334,-0.081936334,-0.227982013,-0.501233251,-0.163553261,-0.172192463,0.068819683,0.43107645,-0.287059853,-0.181279458,-0.27388789,0.43107645,-0.160901555,-0.081936334,-0.177178568,-0.191869399,0.451713182,-0.413620639,-0.319498192,-0.364992986,-0.294500172,-0.698919752,-0.093961031,-0.449226463,-0.354284318,-0.453812569,-0.357514677,-0.438905441,-0.202142409,0.006240482,0.132006167,0.260669261,0.163948976,0.218031476,0.192963877,0.362895106,-0.106705462,-0.237086148,0.003433272,-0.358277301,-0.404917607,-0.391610954,-0.395703481,-0.345884118,-0.39411509
other,-0.21821789,1,-0.32736537,-0.38243824,-0.081936334,1,-0.224972407,-0.224972407,1,-0.224972407,-0.224972407,-0.472158744,1,1,-0.384765941,0.544704779,0.141630088,0.531517837,0.748970183,0.337040721,0.066777254,0.544704779,-0.076930124,0.337040721,0.967107829,1,-0.142857143,0.048893693,-0.149668204,0.080536628,0.276725175,0.627723259,0.717563363,-0.269548206,-0.420492958,-0.470362687,-0.454529797,-0.460619425,0.652534519,0.429545122,-0.327272069,0.202264789,0.21821789,0.295232324,0.237322761,0.253935863,0.228774924,0.21702506,0.053798735,-0.372866023,-0.542969266,-0.211990291,-0.242167048,-0.222122061,-0.146398136,-0.232043947,-0.228476634
shannonD,-0.234451208,-0.224972407,-0.037337808,-0.126947001,-0.415752242,-0.224972407,1,1,-0.224972407,1,1,-0.461302633,-0.224972407,-0.224972407,-0.140712792,0.278699612,-0.443284365,-0.68278045,-0.641144323,-0.933580187,-0.240053954,-0.596699741,-0.208636282,-0.933580187,-0.265867627,-0.224972407,0.369960042,-0.697845987,-0.902704281,-0.486406587,-0.143376046,-0.068392765,-0.125792429,0.490554749,0.371021772,-0.043326037,-0.046669628,0.011742153,0.226585557,-0.174714154,0.412209879,0.473391206,-0.54998194,-0.342523082,-0.245885205,-0.290061745,-0.240726666,-0.39401664,-0.189813793,0.162696807,0.092078099,-0.162329,-0.077066022,-0.145086379,0.079503963,-0.110069314,-0.046234835
evenness,-0.234451208,-0.224972407,-0.037337808,-0.126947001,-0.415752242,-0.224972407,1,1,-0.224972407,1,1,-0.461302633,-0.224972407,-0.224972407,-0.140712792,0.278699612,-0.443284365,-0.68278045,-0.641144323,-0.933580187,-0.240053954,-0.596699741,-0.208636282,-0.933580187,-0.265867627,-0.224972407,0.369960042,-0.697845987,-0.902704281,-0.486406587,-0.143376046,-0.068392765,-0.125792429,0.490554749,0.371021772,-0.043326037,-0.046669628,0.011742153,0.226585557,-0.174714154,0.412209879,0.473391206,-0.54998194,-0.342523082,-0.245885205,-0.290061745,-0.240726666,-0.39401664,-0.189813793,0.162696807,0.092078099,-0.162329,-0.077066022,-0.145086379,0.079503963,-0.110069314,-0.046234835
seagrass,-0.21821789,1,-0.32736537,-0.38243824,-0.081936334,1,-0.224972407,-0.224972407,1,-0.224972407,-0.224972407,-0.472158744,1,1,-0.384765941,0.544704779,0.141630088,0.531517837,0.748970183,0.337040721,0.066777254,0.544704779,-0.076930124,0.337040721,0.967107829,1,-0.142857143,0.048893693,-0.149668204,0.080536628,0.276725175,0.627723259,0.717563363,-0.269548206,-0.420492958,-0.470362687,-0.454529797,-0.460619425,0.652534519,0.429545122,-0.327272069,0.202264789,0.21821789,0.295232324,0.237322761,0.253935863,0.228774924,0.21702506,0.053798735,-0.372866023,-0.542969266,-0.211990291,-0.242167048,-0.222122061,-0.146398136,-0.232043947,-0.228476634
shannonD_comb,-0.234451208,-0.224972407,-0.037337808,-0.126947001,-0.415752242,-0.224972407,1,1,-0.224972407,1,1,-0.461302633,-0.224972407,-0.224972407,-0.140712792,0.278699612,-0.443284365,-0.68278045,-0.641144323,-0.933580187,-0.240053954,-0.596699741,-0.208636282,-0.933580187,-0.265867627,-0.224972407,0.369960042,-0.697845987,-0.902704281,-0.486406587,-0.143376046,-0.068392765,-0.125792429,0.490554749,0.371021772,-0.043326037,-0.046669628,0.011742153,0.226585557,-0.174714154,0.412209879,0.473391206,-0.54998194,-0.342523082,-0.245885205,-0.290061745,-0.240726666,-0.39401664,-0.189813793,0.162696807,0.092078099,-0.162329,-0.077066022,-0.145086379,0.079503963,-0.110069314,-0.046234835
