,zostera,avg_shoot_density,depth_m_avg,sal_avg,comm_richness_sum,carnivore,omnivore,num_ops_tau,seagrass_perim.area.ratio,saltmarsh_area,saltmarsh_perim.area.ratio,oyster_core.area,oyster_perim.area.ratio,habitat_total,dist2adjPatch,avgTempNight,PerchAvgPresentNight
zostera,1,-0.273379045,0.203028072,-0.121119623,-0.214253797,0.023390427,-0.175952154,0.18089511,0.451541305,0.230433794,-0.331407671,-0.087689342,0.055115807,0.427392177,0.288958135,0.158920441,-0.162565545
avg_shoot_density,-0.273379045,1,-0.127831528,0.016915966,0.041881973,0.273563449,-0.35809574,-0.250161903,-0.590036285,0.066393651,0.276893046,0.508618609,-0.206374722,0.22334266,0.063501873,-0.242553701,0.202867841
depth_m_avg,0.203028072,-0.127831528,1,-0.239396498,0.448023592,0.170941135,0.055667172,0.202349467,0.121862893,0.236306551,0.098687524,0.667899441,0.312182439,0.268528893,-0.44284415,0.334846861,-0.246197042
sal_avg,-0.121119623,0.016915966,-0.239396498,1,-0.238915009,0.396552615,0.124629089,-0.019766107,0.412471631,-0.0522733,-0.067652629,-0.115199775,-0.063180396,0.274413256,-0.086903359,-0.060841129,0.227656645
comm_richness_sum,-0.214253797,0.041881973,0.448023592,-0.238915009,1,0.45266298,0.263684452,0.253791046,-0.052542274,-0.188965709,0.084506464,0.214438194,0.110622682,-0.126651876,-0.031825465,0.640262902,-0.164447399
carnivore,0.023390427,0.273563449,0.170941135,0.396552615,0.45266298,1,0.262697177,0.418381692,0.03479651,0.08357576,-0.038918298,0.251827635,0.157417143,0.283136719,-0.089344841,0.270204855,0.250958391
omnivore,-0.175952154,-0.35809574,0.055667172,0.124629089,0.263684452,0.262697177,1,-0.168964464,0.116587084,-0.143093049,0.424456561,-0.197877793,0.343028837,-0.070157472,-0.166294086,0.491111575,-0.089240051
seagrass_perim.area.ratio,0.451541305,-0.590036285,0.121862893,0.412471631,-0.052542274,0.03479651,0.116587084,0.211487895,1,0.069824435,-0.013003955,-0.338837697,0.442176019,0.028057702,-0.254056898,0.218348205,0.033001437
saltmarsh_area,0.230433794,0.066393651,0.236306551,-0.0522733,-0.188965709,0.08357576,-0.143093049,-0.229138407,0.069824435,1,-0.065117431,0.45039843,0.07189292,0.645842599,-0.449767341,0.142487173,-0.312933692
saltmarsh_perim.area.ratio,-0.331407671,0.276893046,0.098687524,-0.067652629,0.084506464,-0.038918298,0.424456561,-0.311587937,-0.013003955,-0.065117431,1,0.110508535,0.607369929,-0.177615258,-0.55227737,0.010817551,0.275028906
oyster_core.area,-0.087689342,0.508618609,0.667899441,-0.115199775,0.214438194,0.251827635,-0.197877793,-0.144387494,-0.338837697,0.45039843,0.110508535,1,0.038109274,0.442392656,-0.360788069,0.011119144,-0.181870412
oyster_perim.area.ratio,0.055115807,-0.206374722,0.312182439,-0.063180396,0.110622682,0.157417143,0.343028837,0.349736568,0.442176019,0.07189292,0.607369929,0.038109274,1,-0.28245579,-0.696901564,-0.123275144,0.530968709
habitat_total,0.427392177,0.22334266,0.268528893,0.274413256,-0.126651876,0.283136719,-0.070157472,-0.326515581,0.028057702,0.645842599,-0.177615258,0.442392656,-0.28245579,1,0.020534133,0.343152984,-0.3782132
dist2adjPatch,0.288958135,0.063501873,-0.44284415,-0.086903359,-0.031825465,-0.089344841,-0.166294086,-0.086324081,-0.254056898,-0.449767341,-0.55227737,-0.360788069,-0.696901564,0.020534133,1,0.084838427,-0.22991654
avgTempNight,0.158920441,-0.242553701,0.334846861,-0.060841129,0.640262902,0.270204855,0.491111575,-0.232510441,0.218348205,0.142487173,0.010817551,0.011119144,-0.123275144,0.343152984,0.084838427,1,-0.673559688
PerchAvgPresentNight,-0.162565545,0.202867841,-0.246197042,0.227656645,-0.164447399,0.250958391,-0.089240051,0.57064322,0.033001437,-0.312933692,0.275028906,-0.181870412,0.530968709,-0.3782132,-0.22991654,-0.673559688,1
