site,avg_spl_low,avg_spl_Llow,avg_spl_MFlow,avg_spl_high
C7,15378622227,1791859426,13586762802,683684195.2
SG10,3606834445,3345896252,260938193,415281857.7
SG12,11188232607,8218980834,2969251774,618351747.8
MF2,24944984653,4833517637,20111467016,1055869644
C2,1.48E+11,26001837755,1.22E+11,58841501385
SG2,3767468200,3342557129,424911070.8,14613712508
SG4,37928668477,34672473413,3256195064,8648241794
MF1,92592318482,22897624278,69694694204,1091172879
CB,2745186144,2141890815,603295329,197139953.7
SB,1471864621,595366260.6,876498360.5,6827468277
SC,9047594836,8253937129,793657707.7,7825178153
MFA,39211116381,9030183457,30180932924,368436369.5
C8,1035055673,840953196.6,194102475.9,550328761.2
SG6,2867774368,1841324017,1026450351,12723446542
SG9,2377405886,1921959426,455446459.5,5556162769
MF7,20689495725,17186162831,3503332894,1825102243
C4,90271044925,6355736047,83915308878,1.04E+11
C5,67317898607,7575907923,59741990684,1.33E+11
S14,4545172605,2766220627,1778951978,17990763554
S15,7104148926,5307253711,1796895215,26659911743
C3,29367425707,3590361200,25777064507,34493688396
C6,2598527044,2100026292,498500751.4,2423377236
SG1,12907190009,1253237772,11653952237,38502668273
SG17,7230179979,4803463024,2426716955,22096801461
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
