index,deploy_num.x,site,bare,halodule,zostera,ruppia,algae,oyster,saltmarsh,other,richness,shannonD,evenness,seagrass_comb,richness_comb,shannonD_comb,evenness_comb,totalcover,avg_shoot_density,avg_blade_length,max_10,max_25perc
1,1,Creek_7,81.06060606,0,0,0,0.606060606,9.242424242,9.090909091,0,3,0.812560482,1.703048175,0,3,0.231179837,1.703048175,18.93939394,NA,NA,NA,NA
2,1,Seagrass_10,74.60606061,24.90909091,0.333333333,0,0.151515152,0,0,0,3,0.10634669,0.222892375,25.24242424,2,0.10634669,0.222892375,25.39393939,58.1,5.771504854,22.5093,20.84133333
3,1,Seagrass_12,60.3030303,36.15151515,2.242424242,0,1.272727273,0,0,0.03030303,4,0.363305269,0.603436991,38.39393939,3,0.357335754,0.603436991,39.6969697,115.5,8.370303571,27.7493,27.04799199
4,1,Mudflat_2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
5,2,Creek_2,44.21212121,0,0,0,1.696969697,49.39393939,4.696969697,0,3,0.422367757,0.885241965,0,3,0.145745085,0.885241965,55.78787879,NA,NA,NA,NA
6,2,Seagrass_2,39.15151515,50.60606061,5.545454545,0,4.393939394,0.303030303,0,0,4,0.587785426,0.976290461,56.15151515,3,0.587785426,0.976290461,60.84848485,126.9090909,15.00574775,7.977033333,8.220074074
7,2,Seagrass_4,64.3030303,25.81818182,9.242424242,0,0.636363636,0,0,0,3,0.655975925,1.374862088,35.06060606,2,0.655975925,1.374862088,35.6969697,53.75,10.78745556,11.887,11.92974038
8,2,Mudflat_1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
9,3,Creek_B,86.36363636,1.515151515,0,0,0,0,11.66666667,0.454545455,3,0.490979612,1.029045776,1.515151515,3,0,1.029045776,13.63636364,NA,9.207111111,23.55797778,25.89036667
10,3,Seagrass_B,33.21212121,38.84848485,7.03030303,19.39393939,1.515151515,0,0,0,4,0.997120685,1.656181608,65.27272727,2,0.997120685,1.656181608,66.78787879,73.22222222,12.57451053,25.46393704,26.75420833
11,3,Seagrass_C,20.84848485,57.21212121,18.45454545,3.484848485,0,0,0,0,3,0.71160633,1.491458038,79.15151515,1,0.71160633,1.491458038,79.15151515,86.16666667,13.75742012,21.31653333,22.24694167
12,3,Mudflat_Core,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
13,4,Creek_8,87.24242424,0,0,0,0,5.727272727,7.03030303,0,2,0.687922012,2.285227458,0,2,0,2.285227458,12.75757576,NA,NA,NA,NA
14,4,Seagrass_6,57.72727273,41.15151515,0.757575758,0,0.363636364,0,0,0,3,0.139152821,0.291650854,41.90909091,2,0.139152821,0.291650854,42.27272727,64.46666667,20.22784848,21.54086667,21.88325833
15,4,Seagrass_9,57.81818182,41.27272727,0.454545455,0.454545455,0,0,0,0,3,0.118956735,0.249321811,42.18181818,1,0.118956735,0.249321811,42.18181818,70.5,22.55258442,14.8484,15.68575833
16,4,Mudflat_7,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
17,5,Creek_4,66.89285714,0,0,0,0.178571429,18.92857143,14,0,3,0.711773798,1.491809034,0,3,0.052973283,1.491809034,33.10714286,NA,NA,NA,NA
18,5,Creek_5,64.21212121,0,0,0,0.909090909,13.18181818,21.6969697,0,3,0.764577066,1.602479577,0,3,0.239217094,1.602479577,35.78787879,NA,NA,NA,NA
19,5,Seagrass_14,45.66666667,51.57575758,1.575757576,0,1.181818182,0,0,0,3,0.235385841,0.493345954,53.15151515,2,0.235385841,0.493345954,54.33333333,80,19.69942857,19.16886667,17.99700262
20,5,Seagrass_15,61.36363636,25.06060606,4.666666667,8.727272727,0.181818182,0,0,0,4,0.897369412,1.49049833,38.45454545,2,0.897369412,1.49049833,38.63636364,90.625,21.76328283,22.82463333,21.9848822
21,6,Creek_3,58.03030303,0,0,0,0.454545455,35.90909091,5.606060606,0,3,0.451345834,0.945977212,0,3,0.06719688,0.945977212,41.96969697,NA,NA,NA,NA
22,6,Creek_6,61.96969697,0,0,0,0,0.757575758,37.27272727,0,2,0.097728846,0.324648199,0,2,0,0.324648199,38.03030303,NA,NA,NA,NA
23,6,Seagrass_1,81.27272727,0.242424242,14.84848485,0,3.636363636,0,0,0,3,0.558538323,1.1706423,15.09090909,2,0.558538323,1.1706423,18.72727273,14.375,18.225125,26.41796667,26.67104103
24,6,Seagrass_17,58.75757576,35.45454545,5.727272727,0,0.060606061,0,0,0,3,0.413738013,0.867154856,41.18181818,2,0.413738013,0.867154856,41.24242424,91.41666667,23.19232773,29.90963333,31.13912222
