"","halodule","zostera","ruppia","algae","oyster","saltmarsh","other","richness","shannonD","evenness","seagrass","richness_comb","shannonD_comb","evenness_comb","total_cover","avg_blade_length","avg_shoot_density","max10","depth_m_avg","sal_avg","total_abund_sum","comm_richness_sum","comm_shannonD_sum","comm_evenness_sum","carnivore","herbivore","omnivore","soniferous_S","carn_2","detritivore","herb_2","invertivore","omni_2","piscivore","planktivore","num_bai_chr","num_ort_chr","num_ops_tau","seagrass_area","seagrass_core.area","seagrass_perimeter","seagrass_perim.area.ratio","saltmarsh_area","saltmarsh_core.area","saltmarsh_perimeter","saltmarsh_perim.area.ratio","oyster_area","oyster_core.area","oyster_perimeter","oyster_perim.area.ratio","habitat_total","NNratio","dist2adjPatch","richness_landscape","avg_temp","avg_spl_low","avg_spl_high","BI_low","BI_high"
"halodule",1,0.461947730026431,0.297253753262239,0.219740598485107,-0.390096330338017,-0.452482643808546,-0.153738578024168,0.581981913682749,0.137620127079191,-0.0392268889183497,0.966031733129515,-0.10723998207268,-0.529592309052693,NA,0.724937581581606,0.767437730985672,0.925511214175319,0.843731615560876,NA,NA,0.803096972748474,0.830128558556863,0.484838471737459,NA,0.809386483394209,0.0800584749363007,0.0942350454472959,0.7081992685336,0.597793741087907,0.674352895712916,0.451971494735589,0.784374068632858,0.186853801732994,0.611729994761233,0.325540088637164,0.659253531846254,0.733508727494317,0.0800584749363007,0.579071344603476,0.609134692060013,0.438382261142404,-0.220471051679446,-0.466635970388799,-0.420171624511976,-0.579230221857196,-0.292499625498417,-0.403002433129773,-0.303395814323582,-0.4308110873776,-0.476678266611976,-0.285238902030406,-0.185404350232153,0.0333089964804526,-0.309597370672303,0.321878499345623,-0.492794398949506,0.152909777885666,-0.433276590424925,0.193837889622427
"zostera",0.461947730026431,1,0.296929214142205,0.378304058483616,-0.270069895493748,-0.315386604634603,-0.127328687910123,0.411431083592402,0.298280933183383,0.143468725930562,0.627992754582021,-0.110691099010909,-0.371838748649195,NA,0.465315144479035,0.496822582505685,0.433500356023779,0.499023046476817,NA,NA,0.463294884465535,0.476063488295169,0.402138692851822,NA,0.470376665652274,0.266688918913682,-0.0104447699619882,0.500619212899811,0.0640931877227062,0.588983038834374,0.364695344709629,0.435971098137365,-0.202462181349193,0.771977954206482,-0.111027140318237,0.447172849030129,0.560645709966245,0.266688918913682,0.535394411875989,0.412791565363272,0.573413898168928,0.0114094434264767,-0.280311610579216,-0.25033638359552,-0.359649272476754,-0.332493447507714,-0.266658800425481,-0.247931958189441,-0.255244441272645,-0.165090388758584,-0.109956280884498,-0.0430859357958837,0.0432405258512703,-0.208392055680316,0.214669742542098,-0.141655463703871,0.267626236380766,-0.222474897165619,0.292097181373431
"ruppia",0.297253753262239,0.296929214142205,1,0.0701754979900519,-0.14389834031465,-0.16732739469112,-0.0709194084682423,0.386694093952052,0.555209545615285,0.310343429367586,0.471683538466634,-0.0940449392716698,-0.200499301299552,NA,0.400761480185448,0.253410331773853,0.299640330523964,0.30550919958523,NA,NA,0.254711362502672,0.260880522598167,0.283297660040548,NA,0.263886300785506,-0.0664419632062078,-0.100841094231596,0.404538351497692,0.0305867767368553,0.698438474861506,0.0270924158254836,0.179618345492581,-0.111009222935035,0.329383579843948,-0.0244802093568249,0.468178133985582,0.714631351814049,-0.0664419632062078,0.612715421606124,0.605474763335394,0.501825857508884,-0.0664914970788142,-0.0852284531572397,-0.0488008202551867,-0.22007594107494,-0.24299038276415,-0.169540933051293,-0.074635277553196,-0.188033746102953,-0.426059726927788,0.107679439946509,0.130465124679349,-0.02579392515104,-0.0883373555748107,0.100688501388535,-0.307911590715096,0.103024735298889,-0.0723163658986714,0.236489543467898
"algae",0.219740598485107,0.378304058483616,0.0701754979900519,1,0.0799848547838697,-0.174531442062817,-0.126383256891484,0.329479178787204,0.0059300236347588,-0.0459340262103418,0.267610871136915,0.243889397394363,-0.119276993641267,NA,0.337362684906264,0.258734108558978,0.330011774937381,0.231883727871514,NA,NA,0.26799399880235,0.243698837258436,0.160552702288088,NA,0.273650909937731,-0.015188162784737,-0.0333621943449864,0.254015177976718,-0.0678096011450473,0.0686395459332978,-0.193105000813518,0.303031236634558,-0.163645904457146,0.501224055651468,-0.145365269771418,-0.010733571187169,0.0311951587877388,-0.015188162784737,0.0344820727712231,-0.0175602959643646,0.0918718487191985,0.0176195121443819,0.0567088112316967,0.0657055883027065,-0.0115698257018822,-0.137502343900315,0.213475193201825,0.217886126322184,0.192613113941253,0.0771231164925889,0.106221978376807,-0.186890074503879,-0.238133882910479,0.00255392276699598,0.0770104427365085,-0.0724424633139625,0.357555771290874,0.0940941922977673,0.146696464306598
"oyster",-0.390096330338017,-0.270069895493748,-0.14389834031465,0.0799848547838697,1,0.199435494859279,-0.100509737955431,0.0619993287925647,0.162042960632579,0.275861441501635,-0.399237810605981,0.506479723171386,0.512509049840018,NA,0.194910891906096,-0.430365841850056,-0.398317698036275,-0.429144035408388,NA,NA,-0.325773228751933,-0.335711595501915,-0.17383135161411,NA,-0.340629967417908,-0.0941641287672438,0.187416483779591,-0.331580913346599,-0.249958640147522,-0.175632919132359,-0.144938746346445,-0.331748950772951,-0.10133484056302,-0.350411012173526,-0.160706296078308,-0.219213895839609,-0.293074149036716,-0.0941641287672438,-0.0842657402668496,-0.269839221820974,0.204209966130986,0.196063745417927,0.608868010829415,0.535361674525669,0.722937588272586,0.0898471817889487,0.950224481018439,0.718590141769475,0.956796018536011,0.177072036694551,0.698954595801893,0.0369138249219838,-0.144276493008006,0.193815021378515,-0.0478204115971517,0.439315417364438,0.448321790269609,0.766961817211836,-0.0151486289119179
"saltmarsh",-0.452482643808546,-0.315386604634603,-0.16732739469112,-0.174531442062817,0.199435494859279,1,0.159366938108071,0.0708075112401291,0.120346541237565,0.240162770004069,-0.463574627741543,0.588943085492417,0.519501453907647,NA,-0.0227030161223716,-0.444489702433132,-0.466659755081205,-0.457535895542829,NA,NA,-0.396429988317006,-0.442792804846427,-0.0725535355320886,NA,-0.39532489610444,-0.109495622434069,-0.123046277713513,-0.427252465826065,-0.291924316082604,-0.34324338122799,-0.168537196210307,-0.384679498556937,-0.0141300166344498,-0.410426063267953,-0.178203479529346,-0.254601372251831,-0.341798801853953,-0.109495622434069,-0.324619799344938,-0.304606197630076,-0.272080947617116,-0.0655726769843501,0.385440965905763,0.357698032361556,0.431916882765505,0.256657347208065,0.261896455859768,0.217185454799354,0.272267508824118,0.198124701404335,0.275293768488138,0.135470792626149,-0.142362423051324,0.228701063572356,0.0791347969308402,-0.0298437061207272,0.0712545640072784,0.222826933730202,0.177988169817423
"other",-0.153738578024168,-0.127328687910123,-0.0709194084682423,-0.126383256891484,-0.100509737955431,0.159366938108071,1,0.0300107870652508,-0.00175514171367581,0.0388266735270075,-0.163842442930592,0.229908924838633,0.147813378303006,NA,-0.185188298029291,0.0196740690673016,-0.160743528123908,-0.0329563781449391,NA,NA,-0.148828616295729,-0.0624545738573658,0.381067501358956,NA,-0.153074986048825,-0.0464082094101849,0.039146437370005,-0.0830655039180478,-0.116265576378117,-0.144857617516013,-0.0714321661566238,-0.147174453853963,0.727992953443216,-0.162333005879512,-0.0448633218752735,-0.106802083336934,-0.142666515654975,-0.0464082094101849,-0.0962870030359549,-0.15916926903553,-0.0110223867264782,0.186720948708101,0.590409966144857,0.669406223832594,0.127991991162061,-0.136554846090947,-0.142943799919773,-0.162774068839842,-0.131225384704261,0.32771081186867,0.450241937292702,-0.131474362323434,-0.0269345844934047,0.150613840015264,0.112657353432766,-0.203767519426487,-0.383635717023731,-0.168092425789883,-0.395162005997082
"richness",0.581981913682749,0.411431083592402,0.386694093952052,0.329479178787204,0.0619993287925647,0.0708075112401291,0.0300107870652508,1,0.610076911781539,0.504898169285719,0.626182937384189,0.61287009724538,0.0906526163621012,NA,0.81035708323544,0.568592623675701,0.583499254772917,0.582052752039082,NA,NA,0.591048859336034,0.606439074273066,0.60362144491563,NA,0.585947132472741,0.0281160778557767,0.247650153478554,0.565648891518943,0.417606555860236,0.616297098535738,0.366912944259262,0.557248290529301,0.152997177858738,0.53385484284924,0.244083100496701,0.513941397662878,0.594499837585311,0.0281160778557767,0.501787094156344,0.424887580894136,0.498328773808687,-0.16897729010209,0.0822555528417069,0.0871719657421788,0.0516586938068527,-0.00118719098703354,0.0938181522251275,0.142154039942422,0.0769740280686212,-0.133881697962668,0.269231877814257,0.177390559024898,-0.319236620326133,0.0130354721590557,0.408630680574098,-0.585431110211488,0.384450804910103,-0.0106614223459731,0.346903834279909
"shannonD",0.137620127079191,0.298280933183383,0.555209545615285,0.0059300236347588,0.162042960632579,0.120346541237565,-0.00175514171367581,0.610076911781539,1,0.943531053343285,0.265539470892229,0.492996533606253,0.479824274645326,NA,0.451520200876763,0.0762441110725812,0.16609937730851,0.126536691334905,NA,NA,0.180168378230911,0.107766419806473,0.129407699823913,NA,0.192832429375794,0.159297551543242,-0.185823961539162,0.182444085882333,-0.062270030193406,0.44035396931136,0.0493469959733491,0.145572407914723,-0.146028304741346,0.305171703755896,-0.227666218371532,0.228317972046705,0.445947647126536,0.159297551543242,0.315824354058847,0.253819291208374,0.330216836505456,-0.100362494605125,0.239288481304252,0.214094883925634,0.33892937096899,0.0922307279982436,0.203096008907987,0.26492380575914,0.198024167047156,-0.0720599383695675,0.362877376508434,0.536036676239612,-0.133318640113923,-0.0223064971943872,0.0953608870134559,-0.169396844911888,0.304820189385944,0.201257431178236,0.132286340122614
"evenness",-0.0392268889183497,0.143468725930562,0.310343429367586,-0.0459340262103418,0.275861441501635,0.240162770004069,0.0388266735270075,0.504898169285719,0.943531053343285,1,0.0480060359233526,0.611478416118164,0.685443276415221,NA,0.310436959028095,-0.0742022816869024,-0.0103556617667864,-0.0351685201142048,NA,NA,0.0243567025831756,-0.032440249605165,0.0214783164347714,NA,0.034828193550332,0.228432441769921,-0.186930884846411,0.0147399021560461,-0.161784295014053,0.194331152314836,-0.0533405176474833,0.010817366393445,-0.118879357170503,0.137318199618158,-0.269323068872679,0.0258277977426963,0.191472907995087,0.228432441769921,0.048115449677371,-0.0176815016506481,0.12009435827499,-0.0756706487251698,0.35349446557001,0.308645417515013,0.522311937432874,0.229563593911449,0.31094253463454,0.312224273560505,0.323065637123732,0.112243638913884,0.389925043825731,0.563582973126629,-0.171473057196916,0.0421934900949029,0.0329709951362559,-0.0717439470752148,0.291330137325749,0.291854101305452,0.0140452363377772
