"","halodule","zostera","ruppia","algae","oyster","saltmarsh","other","richness","shannonD","evenness","seagrass","richness_comb","shannonD_comb","evenness_comb","total_cover","avg_blade_length","avg_shoot_density","max10","depth_m_avg","sal_avg","total_abund_sum","comm_richness_sum","comm_shannonD_sum","comm_evenness_sum","carnivore","herbivore","omnivore","soniferous_S","carn_2","detritivore","herb_2","invertivore","omni_2","piscivore","planktivore","num_bai_chr","num_ort_chr","num_ops_tau","seagrass_area","seagrass_core.area","seagrass_perimeter","seagrass_perim.area.ratio","saltmarsh_area","saltmarsh_core.area","saltmarsh_perimeter","saltmarsh_perim.area.ratio","oyster_area","oyster_core.area","oyster_perimeter","oyster_perim.area.ratio","habitat_total","NNratio","dist2adjPatch","richness_landscape","avg_temp","avg_spl_low","avg_spl_high","ToadCallRate","ToadCallRateNorm"
"halodule",1,NA,NA,-0.327365369892132,-0.382438240442548,-0.0819363340217001,1,NA,-0.224972407318008,-0.224972407318008,1,NA,-0.224972407318008,-0.224972407318008,-0.472158743638972,1,NA,1,-0.36189337042113,0.544704779401922,0.141630087514186,0.531517836730181,0.748970183189539,NA,0.337040721288275,NA,0.066777253899648,0.544704779401922,NA,-0.0769301238179151,NA,0.337040721288275,0.967107829471919,NA,1,-0.142857142857143,NA,NA,0.0488936931717663,-0.149668204190172,0.0805366277705035,0.276725175467091,0.627723258528863,0.717563362709507,-0.269548206101946,-0.420492958309688,-0.470362687080279,-0.454529796907157,-0.460619424608694,0.652534519228565,0.429545122456134,-0.327272068626902,0.202264789433257,0.218217890235992,0.295232323546708,-0.372866023033685,-0.543872650363376,-0.267007853183209,-0.188193672440343
"zostera",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruppia",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"algae",-0.327365369892132,NA,NA,1,0.78213274026075,-0.333378295842478,-0.327365369892132,NA,-0.0373378083465315,-0.0373378083465315,-0.327365369892132,NA,-0.0373378083465315,-0.0373378083465315,0.694854754161277,-0.327365369892132,NA,-0.327365369892132,0.380413428159926,-0.254781480952173,-0.150302959378536,-0.0671744248262209,-0.120239442060522,NA,-0.223066957642872,NA,-0.105319472129998,-0.0439924512077675,NA,-0.0587712428214963,NA,-0.223066957642872,-0.333186899348786,NA,-0.327365369892132,0.0854116796763312,NA,NA,0.588124674036921,0.109549275570986,0.717461848708125,0.340491764905915,0.123322475763637,0.0808850605574662,0.199165152545075,-0.23426281424414,0.83634471412885,0.81553936424485,0.773978213331802,-0.369511791954328,0.384094805491957,-0.171579576693623,-0.109887040999693,0.0919049921753409,-0.40113907144477,0.751905896057548,0.560666630333049,0.883912422063048,0.829659233428988
"oyster",-0.382438240442548,NA,NA,0.78213274026075,1,-0.528988056471928,-0.382438240442548,NA,-0.12694700072713,-0.12694700072713,-0.382438240442548,NA,-0.12694700072713,-0.12694700072713,0.796064601228952,-0.382438240442548,NA,-0.382438240442548,0.658327399634442,-0.267517507120675,0.285262862981193,0.154722931207612,-0.189940787451843,NA,-0.156326408223651,NA,0.348254578423749,0.143247945468671,NA,0.402394602017127,NA,-0.15632640822365,-0.270116117608346,NA,-0.382438240442548,-0.170051995811223,NA,NA,0.733609973411768,0.267039948130102,0.8192689585177,0.294357072246436,0.289781311315842,0.201955047618238,0.4807324202427,-0.320755299926655,0.969192175907565,0.715825209436594,0.959391098138234,-0.238063633032936,0.576828283987058,-0.297833036442384,-0.147224250004603,0.0897583126319521,-0.114107909937078,0.750851653129643,0.670155998827942,0.724821406275427,0.757009581611116
"saltmarsh",-0.0819363340217001,NA,NA,-0.333378295842478,-0.528988056471928,1,-0.0819363340217001,NA,-0.415752241933221,-0.415752241933221,-0.0819363340217001,NA,-0.415752241933221,-0.415752241933221,0.090959202293536,-0.0819363340217001,NA,-0.0819363340217001,-0.344721964746041,-0.501233250844028,-0.163553261238403,-0.172192463281011,0.0688196829874267,NA,0.43107645039309,NA,-0.287059852686115,-0.181279457952942,NA,-0.273887890142904,NA,0.431076450393089,-0.160901555343024,NA,-0.0819363340217001,-0.177178568440089,NA,NA,-0.191869398949196,0.451713181933228,-0.413620639325811,-0.319498192350964,-0.364992985920347,-0.294500172294926,-0.698919752065678,-0.093961030767797,-0.449226463195688,-0.35428431805784,-0.453812568898412,-0.357514677357926,-0.438905441440316,-0.202142408793201,0.00624048163453712,0.132006166604528,0.260669260699544,-0.237086147779528,0.0107546869493455,-0.34648966711053,-0.368801226332969
"other",1,NA,NA,-0.327365369892132,-0.382438240442548,-0.0819363340217001,1,NA,-0.224972407318009,-0.224972407318009,1,NA,-0.224972407318009,-0.224972407318009,-0.472158743638972,1,NA,1,-0.36189337042113,0.544704779401922,0.141630087514186,0.531517836730181,0.748970183189539,NA,0.337040721288275,NA,0.066777253899648,0.544704779401922,NA,-0.0769301238179151,NA,0.337040721288276,0.967107829471919,NA,1,-0.142857142857143,NA,NA,0.0488936931717663,-0.149668204190172,0.0805366277705035,0.276725175467091,0.627723258528863,0.717563362709508,-0.269548206101946,-0.420492958309688,-0.470362687080279,-0.454529796907157,-0.460619424608694,0.652534519228565,0.429545122456134,-0.327272068626902,0.202264789433257,0.218217890235992,0.295232323546708,-0.372866023033685,-0.543872650363376,-0.267007853183209,-0.188193672440343
"richness",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"shannonD",-0.224972407318008,NA,NA,-0.0373378083465315,-0.12694700072713,-0.415752241933221,-0.224972407318009,NA,1,1,-0.224972407318008,NA,1,1,-0.461302632661283,-0.224972407318008,NA,-0.224972407318008,-0.045792609217013,0.278699612131508,-0.443284365398923,-0.68278045036492,-0.641144322868274,NA,-0.933580187051898,NA,-0.24005395432001,-0.59669974054402,NA,-0.208636281833637,NA,-0.933580187051898,-0.265867626924485,NA,-0.224972407318009,0.369960041619446,NA,NA,-0.697845987098958,-0.902704280653955,-0.486406587167318,-0.143376046436809,-0.0683927646157924,-0.125792428940844,0.490554748986931,0.371021772100449,-0.0433260369047343,-0.0466696276966422,0.0117421533698336,0.226585557064316,-0.174714154306684,0.412209878975664,0.473391205864221,-0.549981940301291,-0.342523081777329,0.162696806936454,0.0894176861411988,-0.0548698186735336,-0.237416805581636
"evenness",-0.224972407318008,NA,NA,-0.0373378083465315,-0.12694700072713,-0.415752241933221,-0.224972407318009,NA,1,1,-0.224972407318008,NA,1,1,-0.461302632661283,-0.224972407318008,NA,-0.224972407318008,-0.045792609217013,0.278699612131508,-0.443284365398923,-0.68278045036492,-0.641144322868274,NA,-0.933580187051898,NA,-0.24005395432001,-0.59669974054402,NA,-0.208636281833637,NA,-0.933580187051898,-0.265867626924485,NA,-0.224972407318009,0.369960041619446,NA,NA,-0.697845987098958,-0.902704280653955,-0.486406587167318,-0.143376046436809,-0.0683927646157924,-0.125792428940844,0.490554748986931,0.371021772100449,-0.0433260369047343,-0.0466696276966422,0.0117421533698336,0.226585557064316,-0.174714154306684,0.412209878975664,0.473391205864221,-0.549981940301291,-0.342523081777329,0.162696806936454,0.0894176861411988,-0.0548698186735336,-0.237416805581636
