"","deploy_num","site","richness_comb","total_cover","oyster_perimeter","saltmarsh_area","BoatPercentPresence","BoatProportionPresence","BoatAvgPresent","nFiles"
"1",1,"Creek_7",2,18.9393939393939,33640,46128,4.791666667,0.04791666667,1.52173913,480
"2",1,"Mudflat_2",0,0,10668,49350,2.916666667,0.02916666667,2,480
"3",1,"Seagrass_10",1,25.3939393939394,0,0,9.166666667,0.09166666667,3.204545455,480
"4",1,"Seagrass_12",1,39.6969696969697,2082,1359,5.833333333,0.05833333333,1.321428571,480
"5",2,"Creek_2",2,55.7878787878788,125350,216105,31.04166667,0.3104166667,2.597315436,480
"6",2,"Mudflat_1",0,0,3490,6414,6.875,0.06875,2.393939394,480
"7",2,"Seagrass_2",2,60.8484848484849,28080,72376,9.027777778,0.09027777778,1.423076923,576
"8",2,"Seagrass_4",1,35.6969696969697,4020,0,31.875,0.31875,1.692810458,480
"9",3,"Creek_B",2,13.6363636363636,2720,308538,3.125,0.03125,1.5,960
"10",3,"Mudflat_Core",0,0,0,0,0.09469697,0.0009469697,1,1056
"11",3,"Seagrass_B",1,66.7878787878788,0,59771,7.5,0.075,1.180555556,960
"12",3,"Seagrass_C",1,79.1515151515152,0,0,19.0625,0.190625,1.295081967,960
"13",4,"Creek_8",2,12.7575757575758,20804,64788,0,0,NA,864
"14",4,"Mudflat_7",0,0,12662,40623,0.231481481,0.00231481481,1,864
"15",4,"Seagrass_6",1,42.2727272727273,2652,9868,1.736111111,0.01736111111,1.2,864
"16",4,"Seagrass_9",1,42.1818181818182,6290,3988,12.03703704,0.1203703704,1.682692308,864
"17",5,"Creek_4",2,33.1071428571429,80366,248440,26.5625,0.265625,1.921568627,576
"18",5,"Creek_5",2,35.7878787878788,50666,134866,33.50694444,0.3350694444,1.886010363,576
"19",5,"Seagrass_14",1,54.3333333333333,0,0,0,0,NA,864
"20",5,"Seagrass_15",1,38.6363636363636,9460,19388,0,0,NA,864
"21",6,"Creek_3",2,41.969696969697,80794,162547,0.868055556,0.00868055556,1,576
"22",6,"Creek_6",2,38.030303030303,11264,33346,0.694444444,0.00694444444,1,576
"23",6,"Seagrass_1",1,18.7272727272727,18632,50282,3.125,0.03125,1.055555556,576
"24",6,"Seagrass_17",1,41.2424242424242,5914,12427,0.173611111,0.00173611111,2,576
