,halodule,zostera,ruppia,avg_shoot_density,depth_m_avg,sal_avg,total_abund_sum,comm_evenness_sum,soniferous_S,omni_2,piscivore,planktivore,num_bai_chr,num_ort_chr,num_ops_tau,seagrass_area,seagrass_perim.area.ratio,saltmarsh_area,oyster_area,habitat_total,richness_landscape,avg_temp,avg_spl_low,avg_spl_high,ToadCallRate,ToadCallRateNorm
halodule,1,-0.140125219,0.04637459,0.68444865,-0.409484878,0.140839153,0.448347355,-0.178372458,-0.112616156,0.349783876,-0.200117966,0.152466777,0.54616052,0.448039052,-0.202543317,0.337329399,-0.41076105,-0.145719175,-0.03918608,0.176191412,-0.420109028,0.298514301,-0.386694577,-0.066470623,0.254048034,0.15868082
zostera,-0.140125219,1,0.139274321,-0.273379045,0.203028072,-0.121119623,0.0128539,0.320958994,-0.026663787,-0.520355896,0.60662652,-0.376903913,0.223310581,0.279609314,0.18089511,0.376960198,0.451541305,0.230433794,0.042790314,0.427392177,-0.169666193,0.116715764,0.477098871,0.359573666,-0.013093531,0.060180869
ruppia,0.04637459,0.139274321,1,0.037895247,0.127222228,0.227394121,0.020256304,0.311596714,0.287110347,-0.23916356,0.135867982,-0.130466044,0.378600142,0.704877627,-0.14334227,0.64714729,-0.030363197,0.422655925,-0.105712868,0.721804985,-0.041458161,0.030454405,-0.427593885,0.080009984,-0.102654665,-0.242234154
avg_shoot_density,0.68444865,-0.273379045,0.037895247,1,-0.127831528,0.016915966,0.247886597,-0.516648784,-0.189603942,-0.046023089,-0.066016229,-0.106201275,0.08412353,0.071937532,-0.250161903,0.167138632,-0.590036285,0.066393651,0.3763684,0.22334266,-0.030877824,-0.14980892,-0.18838806,-0.188222405,0.35575328,0.307793484
depth_m_avg,-0.409484878,0.203028072,0.127222228,-0.127831528,1,-0.239396498,0.171376927,0.232539645,0.625698122,-0.107627561,0.561935837,-0.082529079,-0.252802426,0.099097227,0.202349467,0.074737214,0.121862893,0.236306551,0.530714698,0.268528893,0.498258365,0.34391726,0.268502259,0.664399904,-0.238134032,0.081682719
sal_avg,0.140839153,-0.121119623,0.227394121,0.016915966,-0.239396498,1,0.397011047,-0.350288274,-0.50205912,-0.119135788,-0.184999782,0.241183865,0.304934589,0.421051353,-0.019766107,0.420606183,0.412471631,-0.0522733,-0.161170873,0.274413256,-0.013440953,-0.034248474,-0.274508829,-0.476146926,0.323403411,0.045808734
total_abund_sum,0.448347355,0.0128539,0.020256304,0.247886597,0.171376927,0.397011047,1,-0.38245142,-0.116850608,0.071960219,0.372281869,0.467654757,0.459072199,0.544707759,0.401978866,0.246191529,0.041113935,0.073679263,0.276983889,0.274013914,0.030594622,0.484440307,-0.05033011,0.144450445,0.472847211,0.513552698
comm_evenness_sum,-0.178372458,0.320958994,0.311596714,-0.516648784,0.232539645,-0.350288274,-0.38245142,1,0.668204131,0.316751702,-0.08907913,0.022492063,0.244717248,0.244645215,-0.38926394,0.22662158,0.214917647,0.126360483,-0.223266503,0.212844716,0.064095134,0.519181208,-0.249338523,0.603053957,-0.722395926,-0.646180226
soniferous_S,-0.112616156,-0.026663787,0.287110347,-0.189603942,0.625698122,-0.50205912,-0.116850608,0.668204131,1,0.485115909,0.212015848,-0.056930235,-0.055075727,0.201641964,-0.064935065,0.084370311,-0.125119947,0.086050034,0.108487135,0.129567448,0.194805195,0.522951768,-0.091865591,0.778349708,-0.662871507,-0.352314046
omni_2,0.349783876,-0.520355896,-0.23916356,-0.046023089,-0.107627561,-0.119135788,0.071960219,0.316751702,0.485115909,1,-0.421667588,0.398261564,0.123226349,0.024284214,-0.205886748,-0.169740297,-0.116345881,-0.353131631,-0.220626032,-0.360585153,0.041534241,0.571408764,-0.349594522,0.303608231,-0.49103755,-0.360190563
piscivore,-0.200117966,0.60662652,0.135867982,-0.066016229,0.561935837,-0.184999782,0.372281869,-0.08907913,0.212015848,-0.421667588,1,-0.300534727,-0.026939447,0.217995615,0.538198048,0.185617629,0.101245408,0.356958517,0.475116599,0.413253558,-0.063637576,0.090401959,0.553399509,0.468206447,0.231628643,0.493176337
planktivore,0.152466777,-0.376903913,-0.130466044,-0.106201275,-0.082529079,0.241183865,0.467654757,0.022492063,-0.056930235,0.398261564,-0.300534727,1,0.56656038,0.227035218,-0.132790856,0.095913835,-0.114643337,-0.221249314,-0.124424636,-0.066354055,0.230971468,0.383557709,-0.41375594,-0.105173065,0.025322287,-0.172762566
num_bai_chr,0.54616052,0.223310581,0.378600142,0.08412353,-0.252802426,0.304934589,0.459072199,0.244717248,-0.055075727,0.123226349,-0.026939447,0.56656038,1,0.783826719,-0.239206987,0.737490128,-0.086609576,-0.04236269,-0.259186969,0.511931376,-0.256467682,0.399093807,-0.43012538,-0.01101437,0.060429348,-0.218462752
num_ort_chr,0.448039052,0.279609314,0.704877627,0.071937532,0.099097227,0.421051353,0.544707759,0.244645215,0.201641964,0.024284214,0.217995615,0.227035218,0.783826719,1,0.027701407,0.845215077,0.087845909,0.084459493,-0.180569129,0.677752005,-0.182883389,0.447847406,-0.33090144,0.184180456,-0.002879033,-0.130911388
num_ops_tau,-0.202543317,0.18089511,-0.14334227,-0.250161903,0.202349467,-0.019766107,0.401978866,-0.38926394,-0.064935065,-0.205886748,0.538198048,-0.132790856,-0.239206987,0.027701407,1,-0.232540726,0.211487895,-0.229138407,-0.124715171,-0.326515581,-0.090909091,-0.111417421,0.671600908,0.018149524,0.235468601,0.432765685
seagrass_area,0.337329399,0.376960198,0.64714729,0.167138632,0.074737214,0.420606183,0.246191529,0.22662158,0.084370311,-0.169740297,0.185617629,0.095913835,0.737490128,0.845215077,-0.232540726,1,0.020840749,-0.009148783,-0.159771342,0.74962555,-0.185656228,0.145684674,-0.221780733,0.003832946,-0.06519761,-0.293462255
seagrass_perim.area.ratio,-0.41076105,0.451541305,-0.030363197,-0.590036285,0.121862893,0.412471631,0.041113935,0.214917647,-0.125119947,-0.116345881,0.101245408,-0.114643337,-0.086609576,0.087845909,0.211487895,0.020840749,1,0.069824435,-0.178517228,0.028057702,0.327591185,0.238169785,0.297559161,0.195495124,-0.249576749,-0.170576437
saltmarsh_area,-0.145719175,0.230433794,0.422655925,0.066393651,0.236306551,-0.0522733,0.073679263,0.126360483,0.086050034,-0.353131631,0.356958517,-0.221249314,-0.04236269,0.084459493,-0.229138407,-0.009148783,0.069824435,1,0.665683504,0.645842599,0.159565748,0.183550985,-0.310008996,0.372598772,0.276430384,0.372084002
oyster_area,-0.03918608,0.042790314,-0.105712868,0.3763684,0.530714698,-0.161170873,0.276983889,-0.223266503,0.108487135,-0.220626032,0.475116599,-0.124424636,-0.259186969,-0.180569129,-0.124715171,-0.159771342,-0.178517228,0.665683504,1,0.393824395,0.261064536,0.193790985,-0.018426941,0.404692246,0.395494831,0.629095092
habitat_total,0.176191412,0.427392177,0.721804985,0.22334266,0.268528893,0.274413256,0.274013914,0.212844716,0.129567448,-0.360585153,0.413253558,-0.066354055,0.511931376,0.677752005,-0.326515581,0.74962555,0.028057702,0.645842599,0.393824395,1,-0.017136254,0.244036463,-0.346915036,0.269787316,0.161467526,0.071684345
richness_landscape,-0.420109028,-0.169666193,-0.041458161,-0.030877824,0.498258365,-0.013440953,0.030594622,0.064095134,0.194805195,0.041534241,-0.063637576,0.230971468,-0.256467682,-0.182883389,-0.090909091,-0.185656228,0.327591185,0.159565748,0.261064536,-0.017136254,1,0.179126388,0.071948463,0.281125998,-0.405243655,-0.273155488
avg_temp,0.298514301,0.116715764,0.030454405,-0.14980892,0.34391726,-0.034248474,0.484440307,0.519181208,0.522951768,0.571408764,0.090401959,0.383557709,0.399093807,0.447847406,-0.111417421,0.145684674,0.238169785,0.183550985,0.193790985,0.244036463,0.179126388,1,-0.308602892,0.756406896,-0.272249196,-0.061411325
avg_spl_low,-0.386694577,0.477098871,-0.427593885,-0.18838806,0.268502259,-0.274508829,-0.05033011,-0.249338523,-0.091865591,-0.349594522,0.553399509,-0.41375594,-0.43012538,-0.33090144,0.671600908,-0.221780733,0.297559161,-0.310008996,-0.018426941,-0.346915036,0.071948463,-0.308602892,1,0.088539268,-0.050932888,0.183253689
