site_code,site,transect,mean_10,mean_25percent
S10_T1,Seagrass_10,T1,6.4789,7.149
S10_T2,Seagrass_10,T2,7.7471,7.958222222
S10_T3,Seagrass_10,T3,9.7051,9.553
S12_T1,Seagrass_12,T1,10.9064,11.402875
S12_T2,Seagrass_12,T2,12.5293,12.9175
S12_T3,Seagrass_12,T3,12.2253,11.46884615
S2_T1,Seagrass_2,T1,21.9224,21.9224
S2_T2,Seagrass_2,T2,24.0735,24.0735
S2_T3,Seagrass_2,T3,18.6267,19.653875
S4_T1,Seagrass_4,T1,16.2834,16.718875
S4_T2,Seagrass_4,T2,14.9392,14.9392
S4_T3,Seagrass_4,T3,13.3226,15.3992
SB_T1,Seagrass_B,T1,22.5093,20.84133333
SB_T2,Seagrass_B,T2,21.3154,20.177
SB_T3,Seagrass_B,T3,16.6493,15.46494118
SC_T1,Seagrass_C,T1,19.5419,18.34906667
SC_T2,Seagrass_C,T2,21.6974,20.41093333
SC_T3,Seagrass_C,T3,22.035,20.93707692
S6_T1,Seagrass_6,T1,24.7415,24.60663636
S6_T2,Seagrass_6,T2,27.0341,26.56792308
S6_T3,Seagrass_6,T3,28.5352,28.5352
S9_T1,Seagrass_9,T1,23.6846,24.91
S9_T2,Seagrass_9,T2,29.399,32.0602
S9_T3,Seagrass_9,T3,29.119,29.8705
S14_T1,Seagrass_14,T1,31.2109,31.48666667
S14_T2,Seagrass_14,T2,27.4828,26.85138462
S14_T3,Seagrass_14,T3,23.7298,22.8234375
S15_T1,Seagrass_15,T1,32.0353,31.46915385
S15_T2,Seagrass_15,T2,22.0167,23.8082
S15_T3,Seagrass_15,T3,27.1369,28.136625
S1_T1,Seagrass_1,T1,14.796,14.796
S1_T2,Seagrass_1,T2,13.60133333,16.7465
S1_T3,Seagrass_1,T3,24.3515,28.2035
S17_T1,Seagrass_17,T1,32.7211,32.7211
S17_T2,Seagrass_17,T2,36.3332,36.773375
S17_T3,Seagrass_17,T3,30.8515,30.42358333
CB_T3,Creek_B,T3,9.207111111,13.06566667
