avgTempAll,avgTempNight,medTemp,minTemp,maxTemp,site
22.58541667,21.315,22.3,19.1,28.7,C7
22.94625,22.6345,23,19.6,27.3,S10
22.36171548,22.17564103,22.65,18.45,26.45,S12
21.62777778,21.03615385,21.45,19.2,25.55,M2
25.57291667,24.96157895,25.2,23,30.6,C2
24.85086806,24.49342105,24.7,21.1,29.4,S2
24.225625,24.11210526,24,22.1,27.4,S4
24.92604167,24.40315789,24.6,23.1,28,M1
26.51444328,26.16974359,26.275,24,30.45,CB
26.52919321,26.40181818,26.45,24.45,29.75,SB
26.54921218,26.22540541,26.35,24.9,29.55,SC
24.71398467,24.34752066,24.75,20.8,30,MA
26.8812065,25.71447368,26.5,21.45,34.35,C8
27.1728972,27.15387205,27.1,23.5,31.35,S6
27.15847953,27.14645062,27.25,23.45,31.2,S9
26.91157407,26.73062678,26.75,23.65,30.75,M7
26.23213028,26.01184211,26.15,24.15,28.6,C4
25.99216549,25.80065789,25.85,24.55,27.95,C5
26.27103594,25.988125,26.45,21,29.95,S14
26.09545455,25.82390625,26.15,21.2,30.05,S15
25.94982332,25.69833333,25.85,23.95,29.65,C3
26.13662587,25.6625969,25.95,23.85,31.15,C6
25.98450704,25.78761261,25.85,24.2,29.75,S1
25.81826923,25.81,25.8,23.9,28.95,S17
