spl_high,site
79.45034695,C7
81.31463185,C7
80.63509352,C7
81.74763499,C7
79.14892185,C7
81.39649746,C7
82.9491698,C7
79.50922494,C7
80.76084357,C7
83.59242527,C7
81.91301482,C7
88.07704014,C7
86.85085103,C7
86.73551627,C7
88.45086636,C7
85.97366292,C7
86.01146733,C7
80.35119602,C7
81.08025394,C7
82.16708894,C7
84.33867995,C7
86.30507313,C7
85.49988855,C7
82.58450667,C7
87.24764285,C7
91.17564282,C7
91.81099528,C7
93.61589044,C7
88.24300048,C7
89.92551108,C7
89.78271571,C7
90.59222649,C7
100.2341162,C7
85.66228232,C7
78.25339777,C7
78.63302972,C7
80.84313031,C7
82.47060198,C7
84.12506433,C7
89.81359788,C7
92.10728082,C7
88.83828865,C7
90.41373353,C7
89.03759044,C7
91.60820022,C7
88.30881162,C7
86.78079931,C7
88.46106032,C7
89.1806034,C7
86.24984706,C7
92.54076019,C7
85.15311343,C7
87.23672511,C7
87.65967732,C7
87.24802132,C7
88.97415888,C7
88.99470988,C7
90.92071107,C7
88.00716703,C7
89.45326339,C7
93.23034994,C7
95.43702967,C7
97.89223127,C7
92.77026234,C7
88.88785483,C7
91.32268671,C7
89.76563314,C7
92.24192203,C7
90.27213647,C7
89.78624282,C7
88.8423827,C7
89.02658126,C7
87.80794605,C7
89.60928016,C7
89.48097813,C7
92.6951343,C7
95.80200678,C7
93.45824992,C7
98.33486839,C7
92.64209615,C7
91.04646494,C7
85.50220739,S10
85.55082231,S10
86.27818431,S10
85.54187259,S10
87.42507628,S10
87.10807487,S10
86.37940418,S10
86.099467,S10
86.30366005,S10
86.15963016,S10
88.14289143,S10
90.48305211,S10
89.20347344,S10
88.54856709,S10
87.52530669,S10
87.65460993,S10
86.90899306,S10
85.40578763,S10
83.24732446,S10
83.69956971,S10
84.50245388,S10
84.75241613,S10
84.06458559,S10
84.66212157,S10
87.21551428,S10
88.62505758,S10
89.32825588,S10
88.37644548,S10
87.36814472,S10
87.79464624,S10
87.13936774,S10
87.54710361,S10
86.93991572,S10
85.99877008,S10
80.45797239,S10
83.36228862,S10
82.6227297,S10
82.77536316,S10
93.42904558,S10
86.78803531,S10
89.15794937,S10
88.00026556,S10
88.17225387,S10
88.56317832,S10
88.40540324,S10
88.9172873,S10
86.52903698,S10
86.8925282,S10
85.9179564,S10
85.39009887,S10
84.82095037,S10
83.49383544,S10
86.30824048,S10
87.00678715,S10
87.56982422,S10
88.67312836,S10
88.11330111,S10
87.60498158,S10
87.99133284,S10
87.70294274,S10
87.47373473,S10
88.38405632,S10
87.72248604,S10
87.46410585,S10
85.66473576,S10
86.60416946,S10
85.84487395,S10
85.26610533,S10
85.68332168,S10
86.61407641,S10
87.39831774,S10
87.06897173,S10
88.94286245,S10
87.42222309,S10
88.62775246,S10
87.59045325,S10
87.63314172,S10
86.41426743,S10
87.0623928,S10
87.85687532,S10
86.61648446,S10
