sites,deploy
c7,1
c7,1
c7,1
c7,1
c7,1
c7,1
c7,1
c7,1
s10,1
s10,1
s10,1
s10,1
s10,1
s10,1
s10,1
s10,1
s12,1
s12,1
s12,1
s12,1
s12,1
s12,1
s12,1
s12,1
m2,1
m2,1
m2,1
m2,1
m2,1
m2,1
m2,1
m2,1
c8,2
c8,2
c8,2
c8,2
c8,2
c8,2
c8,2
s2,2
s2,2
s2,2
s2,2
s2,2
s2,2
s2,2
s4,2
s4,2
s4,2
s4,2
s4,2
s4,2
m1,2
m1,2
m1,2
m1,2
m1,2
m1,2
m1,2
cB,3
cB,3
cB,3
cB,3
cB,3
cB,3
cB,3
cB,3
cB,3
cB,3
cB,3
cB,3
sB,3
sB,3
sB,3
sB,3
sB,3
sB,3
sB,3
sB,3
sB,3
sB,3
sB,3
sB,3
sC,3
sC,3
sC,3
sC,3
sC,3
sC,3
sC,3
sC,3
sC,3
sC,3
sC,3
sC,3
mA,3
mA,3
mA,3
mA,3
mA,3
mA,3
mA,3
mA,3
mA,3
mA,3
mA,3
mA,3
mA,3
c8,4
c8,4
c8,4
c8,4
c8,4
c8,4
c8,4
c8,4
c8,4
s6,4
s6,4
s6,4
s6,4
s6,4
s6,4
s6,4
s6,4
s6,4
s9,4
s9,4
s9,4
s9,4
s9,4
s9,4
s9,4
s9,4
s9,4
m7,4
m7,4
m7,4
m7,4
m7,4
m7,4
m7,4
m7,4
m7,4
c4,5
c4,5
c4,5
c4,5
c4,5
c4,5
c4,5
c4,5
c4,5
c5,5
c5,5
c5,5
c5,5
c5,5
c5,5
c5,5
c5,5
c5,5
s14,5
s14,5
s14,5
s14,5
s14,5
s14,5
s14,5
s14,5
s14,5
s14,5
s14,5
s14,5
s14,5
s15,5
s15,5
s15,5
s15,5
s15,5
s15,5
s15,5
s15,5
s15,5
s15,5
s15,5
s15,5
s15,5
c3,6
c3,6
c3,6
c3,6
c3,6
c3,6
c3,6
c6,6
c6,6
c6,6
c6,6
c6,6
c6,6
c6,6
s1,6
s1,6
s1,6
s1,6
s1,6
s1,6
s1,6
s17,6
s17,6
s17,6
s17,6
s17,6
s17,6
s17,6
