index,site,deploy_num,recording_start,recording_end,lat,long,depth_meters,nDays,nFiles,
1,Creek_7,1,5/16/2019,5/21/2019,34.63508333,76.53018333,1,5,480,5
2,Seagrass_10,1,5/16/2019,5/21/2019,34.66981667,76.564,0.68,5,480,
3,Seagrass_12,1,5/16/2019,5/21/2019,36.66261667,76.558,0.4,5,480,
4,Mudflat_2,1,5/16/2019,5/21/2019,34.70761667,76.59701667,1.2,5,480,
5,Creek_2,2,6/18/2019,6/24/2019,34.6932,76.61354,0.85,6,576,
6,Seagrass_2,2,6/14/2019,6/24/2019,34.69881,76.59599,missing,10,960,576
7,Seagrass_4,2,6/14/2019,6/24/2019,34.70428,76.58095,missing,10,960,480
8,Mudflat_1,2,6/18/2019,6/24/2019,34.69326,76.62637,0.6,6,576,480
9,Creek_B,3,6/29/2019,7/9/2019,34.75903333,76.4503,0.56,10,960,
10,Seagrass_B,3,6/29/2019,7/9/2019,34.76266667,76.4403,0.7,10,960,
11,Seagrass_C,3,6/29/2019,7/9/2019,34.74528333,76.4503,0.67,10,960,
12,Mudflat_A,3,6/29/2019,7/9/2019,34.84963333,76.35605,0.77,10,960,1056
13,Creek_8,4,7/16/2019,7/25/2019,34.64163333,76.53015,0.65,9,864,
14,Seagrass_6,4,7/16/2019,7/25/2019,34.6719,76.57433333,0.7,9,864,
15,Seagrass_9,4,7/16/2019,7/25/2019,34.66635,76.56656667,0.49,9,864,
16,Mudflat_7,4,7/16/2019,7/25/2019,34.6571,76.5283,0.68,9,864,
17,Creek_4,5,8/2/2019,8/8/2019,34.7188,76.60891667,0.84,6,576,
18,Creek_5,5,8/2/2019,8/8/2019,34.70975,76.60068333,0.83,6,576,
19,Seagrass_14,5,8/3/2019,8/11/2019,34.69637,76.61938,1,8,768,864
20,Seagrass_15,5,8/3/2019,8/11/2019,34.65731,76.54071,0.91,8,768,864
21,Creek_3,6,8/14/2019,8/19/2019,34.697,76.60718333,0.65,5,480,576
22,Creek_6,6,8/14/2019,8/19/2019,34.6561,76.5235,0.62,5,480,576
23,Seagrass_1,6,8/14/2019,8/19/2019,34.69122,76.62159,0.62,5,480,576
24,Seagrass_17,6,8/14/2019,8/19/2019,34.66416667,76.52881667,0.72,5,480,576
