site,deploy_num,deploy_start,deploy_end,deploy_time_edt,lat,long,ST_color,ST_serial,depth_meters,transect,transect_depth_start,transect_depth_end,quadrat,bare,halodule,zostera,ruppia,algae,oyster,spartina,juncus,other,shoot density1_16m2,canopy sampled,transect_lat_start,transect_long_start,transect_lat_end,transect_long_end,notes
Mudflat_2,1,5/15/2019,5/22/2019,16:28,34.70761667,76.59701667,yellow,,1.2,1,25,82,0,100,0,0,0,0,0,0,0,0,NA,no,34.70782,76.597125,34.70743333,76.59695333,
Mudflat_2,1,5/15/2019,5/22/2019,16:28,34.70761667,76.59701667,yellow,,1.2,1,25,82,5,100,0,0,0,0,0,0,0,0,NA,no,34.70782,76.597125,34.70743333,76.59695333,
Mudflat_2,1,5/15/2019,5/22/2019,16:28,34.70761667,76.59701667,yellow,,1.2,1,25,82,10,100,0,0,0,0,0,0,0,0,NA,no,34.70782,76.597125,34.70743333,76.59695333,
Mudflat_2,1,5/15/2019,5/22/2019,16:28,34.70761667,76.59701667,yellow,,1.2,1,25,82,15,100,0,0,0,0,0,0,0,0,NA,no,34.70782,76.597125,34.70743333,76.59695333,
Mudflat_2,1,5/15/2019,5/22/2019,16:28,34.70761667,76.59701667,yellow,,1.2,1,25,82,20,100,0,0,0,0,0,0,0,0,NA,no,34.70782,76.597125,34.70743333,76.59695333,
Mudflat_2,1,5/15/2019,5/22/2019,16:28,34.70761667,76.59701667,yellow,,1.2,1,25,82,25,100,0,0,0,0,0,0,0,0,NA,no,34.70782,76.597125,34.70743333,76.59695333,
Mudflat_2,1,5/15/2019,5/22/2019,16:28,34.70761667,76.59701667,yellow,,1.2,1,25,82,30,100,0,0,0,0,0,0,0,0,NA,no,34.70782,76.597125,34.70743333,76.59695333,
Mudflat_2,1,5/15/2019,5/22/2019,16:28,34.70761667,76.59701667,yellow,,1.2,1,25,82,35,100,0,0,0,0,0,0,0,0,NA,no,34.70782,76.597125,34.70743333,76.59695333,
Mudflat_2,1,5/15/2019,5/22/2019,16:28,34.70761667,76.59701667,yellow,,1.2,1,25,82,40,100,0,0,0,0,0,0,0,0,NA,no,34.70782,76.597125,34.70743333,76.59695333,
Mudflat_2,1,5/15/2019,5/22/2019,16:28,34.70761667,76.59701667,yellow,,1.2,1,25,82,45,100,0,0,0,0,0,0,0,0,NA,no,34.70782,76.597125,34.70743333,76.59695333,
Mudflat_2,1,5/15/2019,5/22/2019,16:28,34.70761667,76.59701667,yellow,,1.2,1,25,82,50,100,0,0,0,0,0,0,0,0,NA,no,34.70782,76.597125,34.70743333,76.59695333,
Mudflat_2,1,5/15/2019,5/22/2019,16:28,34.70761667,76.59701667,yellow,,1.2,2,25,17,0,100,0,0,0,0,0,0,0,0,NA,no,34.70771833,76.59729167,34.70757,76.59677167,
Mudflat_2,1,5/15/2019,5/22/2019,16:28,34.70761667,76.59701667,yellow,,1.2,2,25,17,5,100,0,0,0,0,0,0,0,0,NA,no,34.70771833,76.59729167,34.70757,76.59677167,
Mudflat_2,1,5/15/2019,5/22/2019,16:28,34.70761667,76.59701667,yellow,,1.2,2,25,17,10,100,0,0,0,0,0,0,0,0,NA,no,34.70771833,76.59729167,34.70757,76.59677167,
Mudflat_2,1,5/15/2019,5/22/2019,16:28,34.70761667,76.59701667,yellow,,1.2,2,25,17,15,100,0,0,0,0,0,0,0,0,NA,no,34.70771833,76.59729167,34.70757,76.59677167,
Mudflat_2,1,5/15/2019,5/22/2019,16:28,34.70761667,76.59701667,yellow,,1.2,2,25,17,20,100,0,0,0,0,0,0,0,0,NA,no,34.70771833,76.59729167,34.70757,76.59677167,
Mudflat_2,1,5/15/2019,5/22/2019,16:28,34.70761667,76.59701667,yellow,,1.2,2,25,17,25,100,0,0,0,0,0,0,0,0,NA,no,34.70771833,76.59729167,34.70757,76.59677167,
Mudflat_2,1,5/15/2019,5/22/2019,16:28,34.70761667,76.59701667,yellow,,1.2,2,25,17,30,100,0,0,0,0,0,0,0,0,NA,no,34.70771833,76.59729167,34.70757,76.59677167,
Mudflat_2,1,5/15/2019,5/22/2019,16:28,34.70761667,76.59701667,yellow,,1.2,2,25,17,35,100,0,0,0,0,0,0,0,0,NA,no,34.70771833,76.59729167,34.70757,76.59677167,
Mudflat_2,1,5/15/2019,5/22/2019,16:28,34.70761667,76.59701667,yellow,,1.2,2,25,17,40,100,0,0,0,0,0,0,0,0,NA,no,34.70771833,76.59729167,34.70757,76.59677167,
Mudflat_2,1,5/15/2019,5/22/2019,16:28,34.70761667,76.59701667,yellow,,1.2,2,25,17,45,100,0,0,0,0,0,0,0,0,NA,no,34.70771833,76.59729167,34.70757,76.59677167,
Mudflat_2,1,5/15/2019,5/22/2019,16:28,34.70761667,76.59701667,yellow,,1.2,2,25,17,50,100,0,0,0,0,0,0,0,0,NA,no,34.70771833,76.59729167,34.70757,76.59677167,
Mudflat_2,1,5/15/2019,5/22/2019,16:28,34.70761667,76.59701667,yellow,,1.2,3,28,16,0,100,0,0,0,0,0,0,0,0,NA,no,34.70771833,76.59729167,34.70757,76.59677167,
Mudflat_2,1,5/15/2019,5/22/2019,16:28,34.70761667,76.59701667,yellow,,1.2,3,28,16,5,100,0,0,0,0,0,0,0,0,NA,no,34.70785833,76.59692667,34.70742,34.59707167,
Mudflat_2,1,5/15/2019,5/22/2019,16:28,34.70761667,76.59701667,yellow,,1.2,3,28,16,10,100,0,0,0,0,0,0,0,0,NA,no,34.70785833,76.59692667,34.70742,34.59707167,
Mudflat_2,1,5/15/2019,5/22/2019,16:28,34.70761667,76.59701667,yellow,,1.2,3,28,16,15,100,0,0,0,0,0,0,0,0,NA,no,34.70785833,76.59692667,34.70742,34.59707167,
Mudflat_2,1,5/15/2019,5/22/2019,16:28,34.70761667,76.59701667,yellow,,1.2,3,28,16,20,100,0,0,0,0,0,0,0,0,NA,no,34.70785833,76.59692667,34.70742,34.59707167,
Mudflat_2,1,5/15/2019,5/22/2019,16:28,34.70761667,76.59701667,yellow,,1.2,3,28,16,25,100,0,0,0,0,0,0,0,0,NA,no,34.70785833,76.59692667,34.70742,34.59707167,
Mudflat_2,1,5/15/2019,5/22/2019,16:28,34.70761667,76.59701667,yellow,,1.2,3,28,16,30,100,0,0,0,0,0,0,0,0,NA,no,34.70785833,76.59692667,34.70742,34.59707167,
Mudflat_2,1,5/15/2019,5/22/2019,16:28,34.70761667,76.59701667,yellow,,1.2,3,28,16,35,100,0,0,0,0,0,0,0,0,NA,no,34.70785833,76.59692667,34.70742,34.59707167,
Mudflat_2,1,5/15/2019,5/22/2019,16:28,34.70761667,76.59701667,yellow,,1.2,3,28,16,40,100,0,0,0,0,0,0,0,0,NA,no,34.70785833,76.59692667,34.70742,34.59707167,
Mudflat_2,1,5/15/2019,5/22/2019,16:28,34.70761667,76.59701667,yellow,,1.2,3,28,16,45,100,0,0,0,0,0,0,0,0,NA,no,34.70785833,76.59692667,34.70742,34.59707167,
Mudflat_2,1,5/15/2019,5/22/2019,16:28,34.70761667,76.59701667,yellow,,1.2,3,28,16,50,100,0,0,0,0,0,0,0,0,NA,no,34.70785833,76.59692667,34.70742,34.59707167,
Seagrass_10,1,5/15/2019,5/22/2019,14:40,34.66981667,76.564,red,,0.68,1,70,30,0,100,0,0,0,0,0,0,0,0,NA,no,34.66993333,76.56348333,34.66975,76.56426667,
Seagrass_10,1,5/15/2019,5/22/2019,14:40,34.66981667,76.564,red,,0.68,1,70,30,5,100,0,0,0,0,0,0,0,0,NA,no,34.66993333,76.56348333,34.66975,76.56426667,
Seagrass_10,1,5/15/2019,5/22/2019,14:40,34.66981667,76.564,red,,0.68,1,70,30,10,100,0,0,0,0,0,0,0,0,NA,no,34.66993333,76.56348333,34.66975,76.56426667,
Seagrass_10,1,5/15/2019,5/22/2019,14:40,34.66981667,76.564,red,,0.68,1,70,30,15,80,15,0,0,5,0,0,0,0,22,yes,34.66993333,76.56348333,34.66975,76.56426667,
Seagrass_10,1,5/15/2019,5/22/2019,14:40,34.66981667,76.564,red,,0.68,1,70,30,20,100,0,0,0,0,0,0,0,0,NA,no,34.66993333,76.56348333,34.66975,76.56426667,
Seagrass_10,1,5/15/2019,5/22/2019,14:40,34.66981667,76.564,red,,0.68,1,70,30,25,99,1,0,0,0,0,0,0,0,5,yes,34.66993333,76.56348333,34.66975,76.56426667,
Seagrass_10,1,5/15/2019,5/22/2019,14:40,34.66981667,76.564,red,,0.68,1,70,30,30,90,10,0,0,0,0,0,0,0,NA,no,34.66993333,76.56348333,34.66975,76.56426667,
Seagrass_10,1,5/15/2019,5/22/2019,14:40,34.66981667,76.564,red,,0.68,1,70,30,35,98,2,0,0,0,0,0,0,0,4,yes,34.66993333,76.56348333,34.66975,76.56426667,
Seagrass_10,1,5/15/2019,5/22/2019,14:40,34.66981667,76.564,red,,0.68,1,70,30,40,100,0,0,0,0,0,0,0,0,NA,no,34.66993333,76.56348333,34.66975,76.56426667,
Seagrass_10,1,5/15/2019,5/22/2019,14:40,34.66981667,76.564,red,,0.68,1,70,30,45,98,2,0,0,0,0,0,0,0,0,no,34.66993333,76.56348333,34.66975,76.56426667,
Seagrass_10,1,5/15/2019,5/22/2019,14:40,34.66981667,76.564,red,,0.68,1,70,30,50,100,0,0,0,0,0,0,0,0,NA,no,34.66993333,76.56348333,34.66975,76.56426667,
Seagrass_10,1,5/15/2019,5/22/2019,14:40,34.66981667,76.564,red,,0.68,2,71,18,0,100,0,0,0,0,0,0,0,0,NA,no,34.67003333,76.56388333,34.66963333,76.56416667,
Seagrass_10,1,5/15/2019,5/22/2019,14:40,34.66981667,76.564,red,,0.68,2,71,18,5,19,80,1,0,0,0,0,0,0,NA,no,34.67003333,76.56388333,34.66963333,76.56416667,
Seagrass_10,1,5/15/2019,5/22/2019,14:40,34.66981667,76.564,red,,0.68,2,71,18,10,10,85,5,0,0,0,0,0,0,62,yes,34.67003333,76.56388333,34.66963333,76.56416667,
Seagrass_10,1,5/15/2019,5/22/2019,14:40,34.66981667,76.564,red,,0.68,2,71,18,15,30,70,0,0,0,0,0,0,0,NA,no,34.67003333,76.56388333,34.66963333,76.56416667,
Seagrass_10,1,5/15/2019,5/22/2019,14:40,34.66981667,76.564,red,,0.68,2,71,18,20,100,0,0,0,0,0,0,0,0,NA,no,34.67003333,76.56388333,34.66963333,76.56416667,
Seagrass_10,1,5/15/2019,5/22/2019,14:40,34.66981667,76.564,red,,0.68,2,71,18,25,100,0,0,0,0,0,0,0,0,NA,no,34.67003333,76.56388333,34.66963333,76.56416667,
Seagrass_10,1,5/15/2019,5/22/2019,14:40,34.66981667,76.564,red,,0.68,2,71,18,30,30,70,0,0,0,0,0,0,0,95,yes,34.67003333,76.56388333,34.66963333,76.56416667,
Seagrass_10,1,5/15/2019,5/22/2019,14:40,34.66981667,76.564,red,,0.68,2,71,18,35,100,0,0,0,0,0,0,0,0,NA,no,34.67003333,76.56388333,34.66963333,76.56416667,
