site,hydrophone,distance,frequency,soundFile,depthSt_cm,depthChange_cm,height_cm,latitude,longitude,meanSPL,meanTL
MS,r,1,100,o,114.3,10.16,42,34.6903,-76.6232,126.9723138,0
MS,y,2,100,o,114.3,5.08,44,34.69031,-76.6232,113.9992933,12.97302048
MS,b,3,100,o,111.76,8.89,40,34.69033,-76.6232,98.05452338,28.91779044
MS,r,1,200,o,114.3,10.16,42,34.6903,-76.6232,141.9987826,0
MS,y,2,200,o,114.3,5.08,44,34.69031,-76.6232,131.1809097,10.81787288
MS,b,3,200,o,111.76,8.89,40,34.69033,-76.6232,114.3301031,27.66867944
MS,y,4,200,o,106.68,17.78,35.5,34.69035,-76.6233,104.1311906,37.86759201
MS,r,1,300,o,114.3,10.16,42,34.6903,-76.6232,132.4575206,0
MS,y,2,300,o,114.3,5.08,44,34.69031,-76.6232,122.7065126,9.751008
MS,b,3,300,o,111.76,8.89,40,34.69033,-76.6232,107.7274384,24.73008213
MS,r,1,400,o,114.3,10.16,42,34.6903,-76.6232,133.9039249,0
MS,y,2,400,o,114.3,5.08,44,34.69031,-76.6232,126.9885767,6.915348211
MS,b,3,400,o,111.76,8.89,40,34.69033,-76.6232,114.86459,19.03933492
MS,y,4,400,o,106.68,17.78,35.5,34.69035,-76.6233,106.1982791,27.70564579
MS,r,1,500,o,114.3,10.16,42,34.6903,-76.6232,133.8503145,0
MS,y,2,500,o,114.3,5.08,44,34.69031,-76.6232,127.6002674,6.250047089
MS,b,3,500,o,111.76,8.89,40,34.69033,-76.6232,118.1190716,15.73124289
MS,b,5,500,o,91.44,10.16,37,34.69038,-76.6233,99.09710045,34.75321408
MS,r,1,1000,o,114.3,10.16,42,34.6903,-76.6232,133.8010798,0
MS,y,2,1000,o,114.3,5.08,44,34.69031,-76.6232,129.4108711,4.390208744
MS,b,3,1000,o,111.76,8.89,40,34.69033,-76.6232,125.1058181,8.695261756
MS,y,4,1000,o,106.68,17.78,35.5,34.69035,-76.6233,119.2177133,14.58336647
MS,b,5,1000,o,91.44,10.16,37,34.69038,-76.6233,114.0923842,19.70869559
MS,r,1,2000,o,114.3,10.16,42,34.6903,-76.6232,141.1190549,0
MS,y,2,2000,o,114.3,5.08,44,34.69031,-76.6232,142.4166305,-1.297575611
MS,b,3,2000,o,111.76,8.89,40,34.69033,-76.6232,135.0654712,6.053583689
MS,y,4,2000,o,106.68,17.78,35.5,34.69035,-76.6233,134.7343102,6.384744711
MS,b,5,2000,o,91.44,10.16,37,34.69038,-76.6233,130.4657281,10.65332679
MS,y,6,2000,o,71.12,2.54,41,34.69047,-76.6235,111.2428242,29.87623062
MS,b,7,2000,o,93.98,7.62,39,NaN,NaN,98.26771055,42.85134432
MS,r,1,10000,o,114.3,10.16,42,34.6903,-76.6232,134.3914085,0
MS,y,2,10000,o,114.3,5.08,44,34.69031,-76.6232,131.471072,2.9203365
MS,b,3,10000,o,111.76,8.89,40,34.69033,-76.6232,126.8462779,7.5451306
MS,y,4,10000,o,106.68,17.78,35.5,34.69035,-76.6233,117.2127767,17.17863173
MS,b,5,10000,o,91.44,10.16,37,34.69038,-76.6233,118.2190466,16.17236182
MS,y,6,10000,o,71.12,2.54,41,34.69047,-76.6235,109.9301324,24.46127602
MS,b,7,10000,o,93.98,7.62,39,NaN,NaN,107.3875536,27.00385487
S2,r,1,100,o,99.06,20.066,52,34.69783,-76.594467,122.5771217,0
S2,y,2,100,o,101.6,7.62,53.5,34.69783,-76.594483,105.9838303,16.5932914
S2,b,3,100,o,101.6,7.62,47,34.69783,-76.5945,92.28877985,30.28834184
S2,r,1,200,o,99.06,20.066,52,34.69783,-76.594467,137.2136825,0
S2,y,2,200,o,101.6,7.62,53.5,34.69783,-76.594483,123.9767457,13.23693677
S2,b,3,200,o,101.6,7.62,47,34.69783,-76.5945,111.5895548,25.62412764
S2,y,4,200,o,101.6,14.605,49,34.69782,-76.59453,94.99817179,42.21551066
S2,r,1,300,o,99.06,20.066,52,34.69783,-76.594467,127.3528646,0
S2,y,2,300,o,101.6,7.62,53.5,34.69783,-76.594483,117.9833589,9.369505656
S2,b,3,300,o,101.6,7.62,47,34.69783,-76.5945,109.7264091,17.62645549
S2,y,4,300,o,101.6,14.605,49,34.69782,-76.59453,93.23323833,34.11962622
S2,r,1,400,o,99.06,20.066,52,34.69783,-76.594467,127.6950993,0
S2,y,2,400,o,101.6,7.62,53.5,34.69783,-76.594483,120.4739327,7.221166556
S2,b,3,400,o,101.6,7.62,47,34.69783,-76.5945,115.8463769,11.8487224
S2,y,4,400,o,101.6,14.605,49,34.69782,-76.59453,106.874009,20.82109026
S2,b,5,400,o,101.6,14.351,49,34.6978,-76.59462,96.22678646,31.46831279
S2,r,1,500,o,99.06,20.066,52,34.69783,-76.594467,124.9728953,0
S2,y,2,500,o,101.6,7.62,53.5,34.69783,-76.594483,117.0818092,7.891086089
S2,b,3,500,o,101.6,7.62,47,34.69783,-76.5945,114.0192655,10.95362979
S2,y,4,500,o,101.6,14.605,49,34.69782,-76.59453,107.5555108,17.41738441
S2,b,5,500,o,101.6,14.351,49,34.6978,-76.59462,96.46147989,28.51141536
S2,r,1,1000,o,99.06,20.066,52,34.69783,-76.594467,132.6453162,0
S2,y,2,1000,o,101.6,7.62,53.5,34.69783,-76.594483,122.0333894,10.61192679
S2,b,3,1000,o,101.6,7.62,47,34.69783,-76.5945,104.5487574,28.09655873
S2,y,4,1000,o,101.6,14.605,49,34.69782,-76.59453,93.69789512,38.94742103
S2,r,1,2000,o,99.06,20.066,52,34.69783,-76.594467,145.7769469,0
S2,y,2,2000,o,101.6,7.62,53.5,34.69783,-76.594483,139.4792814,6.297665511
S2,b,3,2000,o,101.6,7.62,47,34.69783,-76.5945,134.9871194,10.78982753
S2,y,4,2000,o,101.6,14.605,49,34.69782,-76.59453,120.3658757,25.41107124
S2,r,1,10000,o,99.06,20.066,52,34.69783,-76.594467,129.9310175,0
S2,y,2,10000,o,101.6,7.62,53.5,34.69783,-76.594483,127.4358451,2.4951724
