Date,Project,Daily Tow #,Site,Project Site Name,Station,Habitat,Lat Start,Long Start,TOD,Duration (min.sec),Speed (km/hr),Distance (m),Distance (speed*duration calculation),Depth (m),Temp (°C),Sal (ppt),Other Notes
20190521,Annual Trawling,1,"Back sound, NC",MF7,7,mudflat,34º39.512,76º31.753,10:20,2,4.7,177,,0.5,25.1,31,
20190521,Annual Trawling,2,"Back sound, NC",MF7,7,mudflat,34º39.469,76º31.792,10:29,2,3.5,129,,1,25,31,
20190521,Annual Trawling,3,"Back sound, NC",SG18,18,seagrass,34º39.462,76º31.932,10:36,2,3.5,126,,0.5,25.3,35,
20190521,Annual Trawling,4,"Back sound, NC",SG18,18,seagrass,34º39.374,76º31.902,10:43,2,3.2,114,,0.5,25.3,35,
20190521,Annual Trawling,5,"Back sound, NC",SG15,15,seagrass,34º39.432,76º32.324,10:56,2,4.3,150,,0.5,25.5,31,
20190521,Annual Trawling,6,"Back sound, NC",SG15,15,seagrass,34º39.475,76º32.447,11:03,2,3.7,128,,0.75,25.5,31,
20190521,Annual Trawling,7,"Back sound, NC",C8,8,creek,34º38.557,76º31.786,11:34,2,3.2,113,,1,27.5,32,
20190521,Annual Trawling,8,"Back sound, NC",C8,8,creek,34º38.500,76º31.815,11:40,2,3.4,119,,0.75,27.5,32,
20190521,Annual Trawling,9,"Back sound, NC",MF6,6,mudflat,34º40.627,76º34.611,11:58,2,3.5,125,,1,26.8,33,
20190521,Annual Trawling,10,"Back sound, NC",MF6,6,mudflat,34º40.671,76º34.763,12:05,2,3.5,123,,1,26.8,33,
20190521,Annual Trawling,11,"Back sound, NC",SG4,4,seagrass,34º42.170,76º35.260,12:15,2,3.2,117,,0.5,25.8,35,
20190521,Annual Trawling,12,"Back sound, NC",SG4,4,seagrass,34º42.212,76º35.281,12:22,2,3.7,133,,1,25.8,35,
20190521,Annual Trawling,13,"Back sound, NC",C2,2,creek,34º41.621,76º36.838,12:46,2,4,138,,1,25.8,32,
20190521,Annual Trawling,14,"Back sound, NC",C2,2,creek,34º41.622,76º36.875,12:54,2,3.1,110,,0.5,26.2,32,
20190522,Annual Trawling,1,"Back sound, NC",C7,7,creek,34º38.214,76º31.843,13:08,2,4,139,,1,25.8,35,
20190522,Annual Trawling,2,"Back sound, NC",C7,7,creek,34º38.126,76º31.820,13:14,2,4.3,144,,1,25.9,35,
20190522,Annual Trawling,3,"Back sound, NC",SG17,17,seagrass,34º39.838,34º39.781,13:31,2,3.1,107,,0.8,24.6,35,
20190522,Annual Trawling,4,"Back sound, NC",SG17,17,seagrass,34º39.781,76º31.616,13:39,2,3.7,132,,1,24.6,35,
20190522,Annual Trawling,5,"Back sound, NC",SG12,12,seagrass,34º39.437,76º33.160,13:53,2,3.2,108,,0.4,24.6,36,
20190522,Annual Trawling,6,"Back sound, NC",SG12,12,seagrass,34º39.475,76º33.226,14:01,2,3.5,118,,0.4,24.9,36,
20190522,Annual Trawling,7,"Back sound, NC",SG10,10,seagrass,34º40.040,76º33.756,14:18,2,3.4,115,,0.5,25.4,36,may not have fished effectively because of crab pot fouling
20190522,Annual Trawling,8,"Back sound, NC",SG10,10,seagrass,34º40.063,76º33.764,14:28,2,3.5,118,,0.5,25.4,36,
20190522,Annual Trawling,9,"Back sound, NC",MF2,2,mudflat,34º42.470,76º35.826,14:48,2,3.7,126,,0.5,25.4,36,
20190522,Annual Trawling,10,"Back sound, NC",MF2,2,mudflat,34º42.470,76º35.794,14:56,1:45,4,129,,0.5,25.4,36,
20190624,Annual Trawling,1,"Back sound, NC",SG16,16,seagrass,34º40.719,76º32.234,12:50,2,4.3,154,,0.75,28.7,35,
20190624,Annual Trawling,2,"Back sound, NC",SG16,16,seagrass,34º40.713,76º32.156,13:00,2:15,3.5,144,,0.75,28.7,35,
20190624,Annual Trawling,3,"Back sound, NC",SG16A,16A,seagrass,34º40.643,76º32.417,13:13,2:10,4,161,,1,28.6,35,
20190624,Annual Trawling,4,"Back sound, NC",SG16A,16A,seagrass,34º40.665,76º32.495,13:18,2,4,143,,1,28.6,35,
20190624,Annual Trawling,5,"Back sound, NC",MF8,8,mudflat,34º39.476,76º31.867,13:46,2,5.3,177,,1.25,27.9,35,
20190624,Annual Trawling,6,"Back sound, NC",MF8,8,mudflat,34º39.583,76º31.963,13:52,2,4.2,145,,1.5,27.9,35,
20190624,Annual Trawling,7,"Back sound, NC",MF9,9,mudflat,34º38.391,76º32.197,14:01,2,3.7,132,,1,27.9,35,
