site,hydrophone,distance,frequency,soundFile,depthSt_cm,depthChange_cm,height_cm,latitude,longitude,spl1,spl2,spl3,spl4,spl5,spl6,spl7,spl8,spl9,spl10,tl1,tl2,tl3,tl4,tl5,tl6,tl7,tl8,tl9,tl10
MS,r,1,100,o,114.3,10.16,42,34.6903,-76.6232,127.8727603,127.3450369,126.4262337,127.0981011,127.5848754,126.0550715,126.7935509,127.1477994,127.0361887,127.2639668,0,0,0,0,0,0,0,0,0,0
MS,y,2,100,o,114.3,5.08,44,34.69031,-76.6232,115.8959273,114.5348348,113.0967394,114.6170727,115.5989567,111.9383626,113.4279023,113.9577015,113.9401672,114.8819029,11.976833,12.8102021,13.3294943,12.4810284,11.9859187,14.1167089,13.3656486,13.1900979,13.0960215,12.3820639
MS,b,3,100,o,111.76,8.89,40,34.69033,-76.6232,98.50584351,97.91008835,98.35608352,97.33785431,98.41746493,96.78008018,98.23119984,97.37306107,99.52301871,98.56185953,29.36691679,29.43494855,28.07015018,29.76024679,29.16741047,29.27499132,28.56235106,29.77473833,27.51316999,28.70210727
MS,r,1,200,o,114.3,10.16,42,34.6903,-76.6232,141.668809,142.4371455,142.3176032,142.2263105,141.337144,142.4610262,142.1474981,141.1093391,142.6425073,141.3104693,0,0,0,0,0,0,0,0,0,0
MS,y,2,200,o,114.3,5.08,44,34.69031,-76.6232,130.0084259,131.9801204,131.7829437,131.4804915,130.3905357,132.4172992,131.2962209,129.0208724,132.8069515,129.452752,11.6603831,10.4570251,10.5346595,10.745819,10.9466083,10.043727,10.8512772,12.0884667,9.8355558,11.8577173
MS,b,3,200,o,111.76,8.89,40,34.69033,-76.6232,112.8634263,115.7869616,115.985716,114.1441321,113.808119,115.6730826,114.3918875,111.6254343,115.8286466,111.7269485,28.8053827,26.6501839,26.3318872,28.0821784,27.529025,26.7879436,27.7556106,29.4839048,26.8138607,29.5835208
MS,y,4,200,o,106.68,17.78,35.5,34.69035,-76.6233,104.242437,104.5205226,102.6430189,105.3696199,104.610858,104.5109462,104.3764449,104.4259704,103.8031082,102.920226,37.426372,37.9166229,39.6745843,36.8566906,36.726286,37.95008,37.7710532,36.6833687,38.8393991,38.3902433
MS,r,1,300,o,114.3,10.16,42,34.6903,-76.6232,131.5183165,133.2354916,131.8179538,132.3031602,131.5069824,132.8825807,131.9717533,132.7648931,132.7130167,132.9218532,0,0,0,0,0,0,0,0,0,0
MS,y,2,300,o,114.3,5.08,44,34.69031,-76.6232,121.8022024,124.8403255,122.2788641,122.3526533,121.3151819,123.824413,121.2802903,122.886677,123.9841295,121.5960784,9.7161141,8.3951661,9.5390897,9.9505069,10.1918005,9.0581677,10.691463,9.8782161,8.7288872,11.3257748
MS,b,3,300,o,111.76,8.89,40,34.69033,-76.6232,106.2811269,110.8018926,107.3252919,107.3972438,106.8208351,109.6896034,106.4516974,108.6282067,106.9117873,105.5203876,25.2371896,22.433599,24.4926619,24.9059164,24.6861473,23.1929773,25.5200559,24.1366864,25.8012294,27.4014656
